Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),127.64,0.00,280.73,,,,,,131.59,,159.72,165.23,177.35,33.63
Active Decode Throughput Per User (tokens/sec/user),65.30,0.00,209.04,,,,,,66.17,,80.24,83.02,90.61,14.85
Active Prefill Throughput (tokens/sec),2698.66,31.44,4073.41,,,,,,3138.06,,4048.67,4048.67,4073.41,1282.45
Active Prefill Throughput Per User (tokens/sec/user),2679.74,31.44,4073.41,,,,,,3122.82,,4048.67,4048.67,4073.41,1287.06
Active Total Throughput (tokens/sec),325.86,54.92,4135.41,,,,,,132.74,,150.44,2577.33,3913.83,769.14
Credit-to-Start Latency (ms),1.28,0.69,2.14,63.87,0.72,0.78,0.82,0.99,1.24,1.45,1.80,1.97,2.10,0.37
Decode Duration (ms),7453.62,1516.98,12546.46,372680.92,1993.58,3876.96,4545.99,5643.93,7075.10,9466.78,10388.35,11845.51,12395.93,2481.04
E2E Output Token Throughput (tokens/sec/user),64.98,57.77,75.06,3248.79,57.78,59.67,60.46,61.88,64.48,67.06,70.74,72.56,74.00,4.02
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.10
Effective Decode Concurrency,1.91,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.28
Effective Decode Throughput (tokens/sec),127.46,0.00,280.73,,,,,,131.58,,159.69,165.22,177.35,33.94
Effective Decode Throughput Per User (tokens/sec/user),65.21,0.00,209.04,,,,,,66.16,,80.24,83.02,90.61,15.04
Effective Latency (CO-aware) (ms),7751.38,1695.45,12896.59,387568.80,2138.33,4081.95,4810.66,6212.92,7629.80,9703.73,10856.65,12087.77,12655.38,2469.45
Effective Prefill Concurrency,0.07,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.27
Effective Prefill Throughput (tokens/sec),198.39,0.00,4073.41,,,,,,0.00,,0.00,2511.82,3850.37,785.46
Effective Prefill Throughput Per User (tokens/sec/user),197.00,0.00,4073.41,,,,,,0.00,,0.00,2403.11,3850.37,781.59
Effective Total Throughput (tokens/sec),325.86,0.00,4135.41,,,,,,132.74,,150.44,2577.33,3913.83,769.13
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,181.56,40.00,303.00,9078.00,50.29,98.10,113.60,138.25,175.50,228.75,249.60,270.85,298.59,57.36
