Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),91.47,0.00,231.04,,,,,,90.26,,108.26,113.40,120.83,12.73
Active Decode Throughput Per User (tokens/sec/user),91.47,0.00,231.04,,,,,,90.26,,108.26,113.40,120.83,12.73
Active Prefill Throughput (tokens/sec),2664.42,179.07,3379.79,,,,,,2863.52,,3379.79,3379.79,3379.79,1118.56
Active Prefill Throughput Per User (tokens/sec/user),2664.42,179.07,3379.79,,,,,,2863.52,,3379.79,3379.79,3379.79,1118.56
Active Total Throughput (tokens/sec),192.78,88.09,3379.79,,,,,,90.85,,101.65,101.65,3379.79,547.42
Credit-to-Start Latency (ms),1.54,0.77,2.36,4.62,0.79,0.84,0.91,1.13,1.48,1.92,2.18,2.27,2.34,0.65
Decode Duration (ms),5320.27,2882.54,7662.63,15960.80,2933.20,3135.85,3389.16,4149.08,5415.62,6539.13,7213.23,7437.93,7617.69,1952.63
E2E Output Token Throughput (tokens/sec/user),89.06,86.26,93.89,267.17,86.28,86.34,86.41,86.64,87.02,90.45,92.52,93.21,93.76,3.43
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),87.81,0.00,231.04,,,,,,89.68,,107.50,113.30,120.73,21.84
Effective Decode Throughput Per User (tokens/sec/user),87.81,0.00,231.04,,,,,,89.68,,107.50,113.30,120.73,21.84
Effective Latency (CO-aware) (ms),5539.86,3133.55,7770.22,16619.59,3185.19,3391.77,3650.00,4424.68,5715.82,6743.02,7359.34,7564.78,7729.13,1897.00
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),104.83,0.00,3379.79,,,,,,0.00,,0.00,0.00,3379.79,563.52
Effective Prefill Throughput Per User (tokens/sec/user),104.83,0.00,3379.79,,,,,,0.00,,0.00,0.00,3379.79,563.52
Effective Total Throughput (tokens/sec),192.65,0.00,3379.79,,,,,,90.85,,101.65,101.65,3379.79,547.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,178.33,98.00,257.00,535.00,99.64,106.20,114.40,139.00,180.00,218.50,241.60,249.30,255.46,64.92
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.47,0.00,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.71,1.14,1.28,1.39,0.67
HTTP Connection Overhead (ms),0.68,0.00,2.05,2.05,0.00,0.00,0.00,0.00,0.00,1.02,1.64,1.84,2.01,0.97
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),51.34,28.49,73.69,154.03,28.96,30.83,33.16,40.17,51.85,62.77,69.32,71.51,73.25,18.46
HTTP Data Sent (KB),2.83,0.26,4.82,8.50,0.32,0.58,0.89,1.84,3.42,4.12,4.54,4.68,4.79,1.91
HTTP DNS Lookup (ms),0.21,0.00,0.63,0.63,0.00,0.00,0.00,0.00,0.00,0.31,0.50,0.56,0.61,0.30
HTTP Duration (excl. conn) (ms),5538.17,3131.08,7768.47,16614.51,3182.76,3389.47,3647.86,4423.02,5714.95,6741.71,7357.77,7563.12,7727.40,1897.33
HTTP Receiving (ms),5320.29,2882.55,7662.69,15960.88,2933.21,3135.86,3389.17,4149.09,5415.64,6539.16,7213.28,7437.98,7617.75,1952.65
HTTP Sending (ms),0.81,0.20,1.93,2.43,0.20,0.21,0.22,0.25,0.29,1.11,1.61,1.77,1.90,0.80
HTTP Total Time (ms),5538.85,3131.08,7770.52,16616.55,3182.76,3389.47,3647.86,4423.02,5714.95,6742.73,7359.41,7564.96,7729.41,1898.13
HTTP Waiting (TTFB) (ms),217.07,103.85,299.11,651.20,106.74,118.29,132.73,176.05,248.24,273.68,288.94,294.03,298.10,82.71
Input Sequence Length (tokens),581.00,19.00,1012.00,1743.00,32.86,88.30,157.60,365.50,712.00,862.00,952.00,982.00,1006.00,415.84
Inter Chunk Latency (ms),30.00,21.04,67.63,15960.80,23.05,24.59,25.23,27.03,30.18,32.58,34.30,35.12,37.30,4.17
Inter Token Latency (ms),10.73,9.84,11.35,32.20,9.86,9.95,10.07,10.42,11.01,11.18,11.28,11.32,11.35,0.65
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),487.67,294.00,676.00,1463.00,297.98,313.90,333.80,393.50,493.00,584.50,639.40,657.70,672.34,156.00
Output Token Throughput Per User (tokens/sec/user),93.53,88.09,101.65,280.58,88.14,88.37,88.64,89.47,90.85,96.25,99.49,100.57,101.43,5.85
Prefill Throughput Per User (tokens/sec/user),2140.80,179.07,3379.79,6422.39,232.76,447.52,715.96,1521.30,2863.52,3121.66,3276.54,3328.16,3369.47,1403.07
Reasoning Token Count (tokens),487.67,294.00,676.00,1463.00,297.98,313.90,333.80,393.50,493.00,584.50,639.40,657.70,672.34,156.00
Request Latency (ms),5538.32,3131.19,7768.74,16614.97,3182.86,3389.57,3647.96,4423.12,5715.05,6741.89,7358.00,7563.37,7727.66,1897.39
Time to First Token (ms),218.06,106.10,299.43,654.17,108.95,120.36,134.61,177.37,248.64,274.04,289.27,294.35,298.41,81.83
Time to Second Token (ms),32.51,31.61,33.64,97.52,31.63,31.68,31.74,31.94,32.27,32.95,33.37,33.50,33.61,0.84
Tokens In Flight (tokens),751.88,0.00,1505.00,,,,,,737.16,,1351.08,1428.04,1488.51,432.58

Metric,Value
Benchmark Duration (sec),16.62
Input Token Throughput (tokens/sec),104.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),87.99
Request Count,3.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),1743.00
Total Output Sequence Length (tokens),1463.00
Total Reasoning Tokens (tokens),1463.00
Total Token Throughput (tokens/sec),192.83
