Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),143.16,0.00,258.06,,,,,,141.89,,171.53,177.81,200.61,23.25
Active Decode Throughput Per User (tokens/sec/user),53.37,0.00,173.67,,,,,,51.52,,69.22,77.76,85.99,11.44
Active Prefill Throughput (tokens/sec),311.87,85.62,373.24,,,,,,373.24,,373.24,373.24,373.24,82.12
Active Prefill Throughput Per User (tokens/sec/user),116.04,85.62,128.45,,,,,,124.41,,124.41,124.41,124.41,11.24
Active Total Throughput (tokens/sec),145.92,52.40,373.24,,,,,,154.83,,154.83,154.83,256.43,32.16
Credit-to-Start Latency (ms),1.42,1.26,1.53,4.26,1.26,1.28,1.30,1.36,1.47,1.50,1.52,1.53,1.53,0.12
Decode Duration (ms),11872.62,10219.02,12843.43,35617.86,10265.75,10452.66,10686.30,11387.22,12555.41,12699.42,12785.82,12814.62,12837.67,1175.17
E2E Output Token Throughput (tokens/sec/user),51.07,47.29,54.11,153.22,47.38,47.74,48.20,49.56,51.82,52.96,53.65,53.88,54.06,2.83
Effective Concurrency,2.77,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.48
Effective Decode Concurrency,2.74,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.55
Effective Decode Throughput (tokens/sec),141.95,0.00,258.06,,,,,,141.69,,171.53,177.81,200.61,26.60
Effective Decode Throughput Per User (tokens/sec/user),52.92,0.00,173.67,,,,,,51.33,,69.22,77.76,85.99,12.40
Effective Latency (CO-aware) (ms),12018.01,10383.88,13008.41,36054.04,10429.43,10611.66,10839.45,11522.81,12661.75,12835.08,12939.08,12973.74,13001.48,1164.14
Effective Prefill Concurrency,0.03,0.00,3.00,,,,,,0.00,,0.00,0.00,2.00,0.30
Effective Prefill Throughput (tokens/sec),3.92,0.00,373.24,,,,,,0.00,,0.00,0.00,201.96,35.94
Effective Prefill Throughput Per User (tokens/sec/user),1.46,0.00,128.45,,,,,,0.00,,0.00,0.00,100.98,12.99
Effective Total Throughput (tokens/sec),145.87,0.00,373.24,,,,,,154.83,,154.83,154.83,256.43,32.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,233.33,192.00,258.00,700.00,193.16,197.80,203.60,221.00,250.00,254.00,256.40,257.20,257.84,29.41
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.03,0.83,1.14,3.08,0.84,0.86,0.89,0.97,1.11,1.13,1.14,1.14,1.14,0.14
HTTP Connection Overhead (ms),1.50,1.20,1.73,4.49,1.21,1.24,1.27,1.38,1.57,1.65,1.69,1.71,1.72,0.22
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),66.68,54.83,73.59,200.04,55.17,56.51,58.19,63.23,71.62,72.61,73.20,73.39,73.55,8.42
HTTP Data Sent (KB),0.24,0.23,0.25,0.73,0.23,0.23,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.01
HTTP DNS Lookup (ms),0.47,0.37,0.62,1.41,0.37,0.37,0.38,0.40,0.42,0.52,0.58,0.60,0.61,0.11
HTTP Duration (excl. conn) (ms),12016.37,10382.08,13006.75,36049.12,10427.64,10609.90,10837.72,11521.18,12660.28,12833.52,12937.46,12972.11,12999.82,1164.24
HTTP Receiving (ms),11872.73,10219.11,12843.56,35618.18,10265.84,10452.75,10686.39,11387.31,12555.50,12699.53,12785.95,12814.76,12837.80,1175.18
HTTP Sending (ms),1.50,1.26,1.77,4.51,1.27,1.29,1.31,1.37,1.48,1.63,1.71,1.74,1.76,0.21
HTTP Total Time (ms),12017.87,10383.64,13008.48,36053.61,10429.20,10611.43,10839.21,11522.56,12661.48,12834.98,12939.08,12973.78,13001.54,1164.22
HTTP Waiting (TTFB) (ms),142.14,103.52,161.71,426.43,104.67,109.28,115.05,132.36,161.20,161.45,161.61,161.66,161.70,27.31
Input Sequence Length (tokens),17.00,14.00,19.00,51.00,14.08,14.40,14.80,16.00,18.00,18.50,18.80,18.90,18.98,2.16
Inter Chunk Latency (ms),51.10,21.74,120.27,35617.86,31.15,34.54,38.88,45.58,50.60,57.78,60.62,62.69,76.60,10.00
Inter Token Latency (ms),19.43,18.36,20.86,58.29,18.37,18.43,18.50,18.72,19.08,19.97,20.50,20.68,20.82,1.05
OSL Mismatch Diff % (%),-0.23,-0.41,0.00,-0.70,-0.40,-0.39,-0.38,-0.35,-0.30,-0.15,-0.06,-0.03,-0.01,0.17
Output Sequence Length (tokens),616.67,491.00,685.00,1850.00,494.66,509.30,527.60,582.50,674.00,679.50,682.80,683.90,684.78,88.97
Output Token Count (tokens),114.00,89.00,139.00,228.00,89.50,91.50,94.00,101.50,114.00,126.50,134.00,136.50,138.50,25.00
Output Token Throughput Per User (tokens/sec/user),51.61,47.95,54.48,154.83,48.04,48.39,48.84,50.18,52.40,53.44,54.06,54.27,54.44,2.72
Prefill Throughput Per User (tokens/sec/user),124.41,85.62,171.29,373.24,86.23,88.69,91.76,100.98,116.34,143.81,160.30,165.79,170.19,35.44
Reasoning Token Count (tokens),540.67,402.00,685.00,1622.00,404.66,415.30,428.60,468.50,535.00,610.00,655.00,670.00,682.00,115.60
Request Latency (ms),12016.59,10382.34,13006.94,36049.78,10427.90,10610.16,10837.97,11521.42,12660.50,12833.72,12937.65,12972.30,13000.02,1164.21
Time to First Output Token (ms),9700.52,8421.20,10979.85,19401.05,8446.79,8549.13,8677.07,9060.86,9700.52,10340.19,10723.98,10851.91,10954.26,1279.32
Time to First Token (ms),143.97,105.09,163.52,431.92,106.25,110.91,116.73,134.20,163.32,163.42,163.48,163.50,163.51,27.50
Time to Second Token (ms),45.70,39.44,58.18,137.10,39.44,39.45,39.45,39.46,39.48,48.83,54.44,56.31,57.81,8.82
Tokens In Flight (tokens),858.80,0.00,1560.99,,,,,,923.80,,1357.40,1460.50,1537.19,422.79

Metric,Value
Benchmark Duration (sec),13.01
Input Token Throughput (tokens/sec),3.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),142.18
Request Count,3.00
Request Throughput (requests/sec),0.23
Total Input Sequence Length (tokens),51.00
Total Output Sequence Length (tokens),1850.00
Total Output Tokens (tokens),228.00
Total Reasoning Tokens (tokens),1622.00
Total Token Throughput (tokens/sec),146.10
