Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),176.61,0.00,424.17,,,,,,180.29,,220.05,226.90,241.34,44.52
Active Decode Throughput Per User (tokens/sec/user),45.88,0.00,194.23,,,,,,45.99,,55.74,57.41,63.38,10.46
Active Prefill Throughput (tokens/sec),2250.72,30.50,4550.44,,,,,,2295.86,,3764.43,4001.05,4550.44,1331.47
Active Prefill Throughput Per User (tokens/sec/user),2121.03,30.50,3861.40,,,,,,2273.01,,3754.63,3764.43,3861.40,1230.01
Active Total Throughput (tokens/sec),413.90,52.72,4634.89,,,,,,184.03,,220.44,2792.61,3894.51,801.85
Credit-to-Start Latency (ms),1.50,0.64,3.40,75.07,0.67,0.74,0.87,1.08,1.35,1.85,2.27,2.53,3.16,0.58
Decode Duration (ms),10871.40,1757.17,21316.37,543570.00,2613.44,5068.47,6711.95,7796.92,10614.07,13413.72,15192.21,16677.99,20661.83,3937.63
E2E Output Token Throughput (tokens/sec/user),45.84,38.30,59.16,2291.76,39.46,41.09,42.11,43.79,45.15,48.12,50.04,52.29,56.17,3.66
Effective Concurrency,3.93,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.31
Effective Decode Concurrency,3.81,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.45
Effective Decode Throughput (tokens/sec),176.46,0.00,424.17,,,,,,180.27,,220.05,226.87,241.34,44.80
Effective Decode Throughput Per User (tokens/sec/user),45.84,0.00,194.23,,,,,,45.99,,55.73,57.41,63.38,10.54
Effective Latency (CO-aware) (ms),11203.59,1928.98,21766.06,560179.66,2785.34,5281.42,7016.23,8317.36,10865.08,13860.20,15805.45,16935.97,21017.09,3947.28
Effective Prefill Concurrency,0.11,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),237.43,0.00,4550.44,,,,,,0.00,,54.25,2655.02,3764.43,815.50
Effective Prefill Throughput Per User (tokens/sec/user),223.75,0.00,3861.40,,,,,,0.00,,54.25,2275.22,3754.63,764.27
Effective Total Throughput (tokens/sec),413.89,0.00,4634.89,,,,,,184.03,,220.44,2792.61,3894.51,801.84
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,187.32,35.00,371.00,9366.00,50.19,91.55,110.60,140.50,181.50,234.00,263.50,287.15,356.79,66.75
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.24
HTTP Connection Overhead (ms),0.05,0.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,0.35
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),53.81,10.50,106.05,2690.40,14.79,26.52,32.15,40.46,52.22,67.13,75.53,82.26,101.80,18.95
HTTP Data Sent (KB),3.27,0.19,16.73,163.27,0.19,0.19,0.20,0.24,2.24,4.67,7.42,11.30,15.61,3.78
HTTP DNS Lookup (ms),0.02,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.11
HTTP Duration (excl. conn) (ms),11201.95,1926.94,21764.50,560097.36,2782.93,5279.81,7014.93,8315.98,10863.44,13858.79,15804.71,16933.06,21015.68,3947.29
HTTP Receiving (ms),10874.42,1757.14,21366.16,543720.92,2613.46,5068.47,6711.97,7796.93,10614.07,13452.23,15192.22,16678.01,20687.21,3940.33
HTTP Sending (ms),0.32,0.10,2.51,16.00,0.11,0.14,0.18,0.24,0.28,0.32,0.36,0.40,1.50,0.32
HTTP Total Time (ms),11202.00,1926.94,21764.50,560099.84,2784.14,5279.81,7014.93,8315.98,10863.44,13858.79,15804.71,16933.06,21015.68,3947.19
