Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),143.87,0.00,291.54,,,,,,142.54,,171.24,174.87,192.66,26.30
Active Decode Throughput Per User (tokens/sec/user),73.95,0.00,281.18,,,,,,71.90,,86.48,90.68,107.78,13.97
Active Prefill Throughput (tokens/sec),799.97,113.36,1253.67,,,,,,1253.67,,1253.67,1253.67,1253.67,527.48
Active Prefill Throughput Per User (tokens/sec/user),769.05,113.36,1253.67,,,,,,1253.67,,1253.67,1253.67,1253.67,561.72
Active Total Throughput (tokens/sec),171.70,65.27,1318.94,,,,,,146.65,,150.60,150.60,1318.94,168.30
Credit-to-Start Latency (ms),1.51,1.32,1.82,4.52,1.32,1.32,1.33,1.35,1.38,1.60,1.73,1.78,1.81,0.23
Decode Duration (ms),6936.73,3058.50,10342.28,20810.18,3145.52,3493.59,3928.68,5233.95,7409.40,8875.84,9755.70,10048.99,10283.62,2992.32
E2E Output Token Throughput (tokens/sec/user),75.45,64.32,82.92,226.35,64.62,65.80,67.28,71.71,79.11,81.02,82.16,82.54,82.85,8.02
Effective Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.17
Effective Decode Concurrency,1.93,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.30
Effective Decode Throughput (tokens/sec),142.47,0.00,291.54,,,,,,142.36,,170.50,174.87,192.66,29.74
Effective Decode Throughput Per User (tokens/sec/user),73.23,0.00,281.18,,,,,,71.79,,86.48,90.68,107.78,15.68
Effective Latency (CO-aware) (ms),7103.03,3160.86,10511.70,21309.08,3250.38,3608.43,4055.99,5398.69,7636.52,9074.11,9936.67,10224.19,10454.20,3024.58
Effective Prefill Concurrency,0.05,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.25
Effective Prefill Throughput (tokens/sec),29.16,0.00,1253.67,,,,,,0.00,,0.00,0.00,1253.67,180.61
Effective Prefill Throughput Per User (tokens/sec/user),28.03,0.00,1253.67,,,,,,0.00,,0.00,0.00,1253.67,179.65
Effective Total Throughput (tokens/sec),171.63,0.00,1318.94,,,,,,146.65,,150.60,150.60,1318.94,168.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,175.00,78.00,257.00,525.00,80.24,89.20,100.40,134.00,190.00,223.50,243.60,250.30,255.66,73.84
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.80,0.00,1.35,2.41,0.02,0.11,0.21,0.53,1.05,1.20,1.29,1.32,1.35,0.58
HTTP Connection Overhead (ms),1.29,0.00,2.23,3.87,0.03,0.16,0.33,0.82,1.64,1.94,2.12,2.18,2.22,0.94
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),50.10,22.62,73.70,150.31,23.25,25.76,28.89,38.30,53.99,63.85,69.76,71.73,73.31,21.04
HTTP Data Sent (KB),0.57,0.22,1.22,1.71,0.22,0.23,0.23,0.24,0.26,0.74,1.03,1.13,1.20,0.46
HTTP DNS Lookup (ms),0.49,0.00,0.88,1.47,0.01,0.06,0.12,0.29,0.59,0.73,0.82,0.85,0.87,0.37
HTTP Duration (excl. conn) (ms),7101.34,3159.35,10509.68,21304.03,3248.87,3606.92,4054.48,5397.18,7635.00,9072.34,9934.74,10222.21,10452.18,3024.39
HTTP Receiving (ms),6936.74,3058.52,10342.31,20810.23,3145.54,3493.61,3928.70,5233.96,7409.40,8875.85,9755.73,10049.02,10283.65,2992.32
HTTP Sending (ms),1.21,0.35,1.80,3.62,0.37,0.46,0.57,0.91,1.47,1.64,1.74,1.77,1.80,0.62
HTTP Total Time (ms),7102.63,3160.99,10511.91,21307.90,3250.47,3608.39,4055.79,5398.00,7635.00,9073.45,9936.53,10224.22,10454.37,3024.52
HTTP Waiting (TTFB) (ms),163.39,99.36,225.25,490.17,100.68,105.98,112.60,132.46,165.56,195.41,213.31,219.28,224.06,51.42
Input Sequence Length (tokens),105.00,13.00,283.00,315.00,13.12,13.60,14.20,16.00,19.00,151.00,230.20,256.60,277.72,125.89
Inter Chunk Latency (ms),39.87,11.35,135.75,20810.18,29.65,32.69,34.02,35.70,39.67,43.65,45.35,46.31,48.39,6.92
Inter Token Latency (ms),13.11,11.72,15.32,39.33,11.73,11.78,11.83,12.00,12.29,13.80,14.72,15.02,15.26,1.58
OSL Mismatch Diff % (%),-0.11,-0.33,0.00,-0.33,-0.32,-0.30,-0.26,-0.17,0.00,0.00,0.00,0.00,0.00,0.16
Output Sequence Length (tokens),514.00,262.00,676.00,1542.00,268.84,296.20,330.40,433.00,604.00,640.00,661.60,668.80,674.56,180.60
Output Token Count (tokens),166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,0.00
Output Token Throughput Per User (tokens/sec/user),77.33,65.27,85.34,231.99,65.59,66.88,68.49,73.32,81.38,83.36,84.55,84.94,85.26,8.68
Prefill Throughput Per User (tokens/sec/user),498.56,113.36,1253.67,1495.69,113.67,114.89,116.42,121.01,128.65,691.16,1028.67,1141.17,1231.17,533.98
Reasoning Token Count (tokens),458.67,262.00,676.00,1376.00,265.52,279.60,297.20,350.00,438.00,557.00,628.40,652.20,671.24,169.65
Request Latency (ms),7101.52,3159.55,10509.88,21304.57,3249.06,3607.11,4054.67,5397.34,7635.14,9072.51,9934.93,10222.41,10452.39,3024.39
Time to First Output Token (ms),5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,5735.47,0.00
Time to First Token (ms),164.80,101.05,225.74,494.39,102.38,107.70,114.36,134.33,167.60,196.67,214.11,219.92,224.57,50.94
Time to Second Token (ms),48.90,38.26,66.99,146.71,38.32,38.58,38.90,39.86,41.46,54.22,61.88,64.44,66.48,12.86
Tokens In Flight (tokens),786.62,0.00,1550.10,,,,,,801.02,,1389.57,1474.34,1532.61,436.48

Metric,Value
Benchmark Duration (sec),10.80
Input Token Throughput (tokens/sec),29.16
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),142.75
Request Count,3.00
Request Throughput (requests/sec),0.28
Total Input Sequence Length (tokens),315.00
Total Output Sequence Length (tokens),1542.00
Total Output Tokens (tokens),166.00
Total Reasoning Tokens (tokens),1376.00
Total Token Throughput (tokens/sec),171.91
