Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),126.35,0.00,306.77,,,,,,137.71,,170.71,179.56,192.65,46.66
Active Decode Throughput Per User (tokens/sec/user),68.38,0.00,233.18,,,,,,70.43,,88.35,92.80,106.71,19.58
Active Prefill Throughput (tokens/sec),1453.64,41.24,3057.68,,,,,,1577.00,,2787.55,3013.07,3057.68,955.85
Active Prefill Throughput Per User (tokens/sec/user),1426.41,41.24,3057.68,,,,,,1525.85,,2787.55,3013.07,3057.68,948.81
Active Total Throughput (tokens/sec),410.92,49.10,3116.15,,,,,,141.21,,1646.62,2155.69,3075.75,692.71
Credit-to-Start Latency (ms),1.59,0.74,5.35,79.70,0.78,0.92,0.99,1.09,1.35,1.72,2.31,3.13,4.49,0.81
Decode Duration (ms),1808.30,321.45,3534.86,90415.16,528.49,766.06,993.68,1474.68,1702.90,2158.18,2593.93,2762.55,3227.07,623.83
E2E Output Token Throughput (tokens/sec/user),63.95,47.35,87.91,3197.26,50.00,53.44,55.92,59.72,63.73,68.24,70.23,73.55,82.41,6.80
Effective Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.17
Effective Decode Concurrency,1.77,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.45
Effective Decode Throughput (tokens/sec),125.13,0.00,306.77,,,,,,137.59,,170.28,179.49,192.65,48.05
Effective Decode Throughput Per User (tokens/sec/user),67.72,0.00,233.18,,,,,,70.30,,88.22,92.80,106.71,20.60
Effective Latency (CO-aware) (ms),2021.65,614.23,3689.70,101082.52,758.26,1004.90,1183.50,1666.39,1998.21,2418.12,2901.93,2953.18,3409.29,621.67
Effective Prefill Concurrency,0.20,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.42
Effective Prefill Throughput (tokens/sec),285.76,0.00,3057.68,,,,,,0.00,,1577.00,2094.57,3013.07,716.47
Effective Prefill Throughput Per User (tokens/sec/user),280.41,0.00,3057.68,,,,,,0.00,,1525.85,2094.57,3013.07,705.92
Effective Total Throughput (tokens/sec),410.89,0.00,3116.15,,,,,,141.21,,1646.62,2155.69,3075.75,692.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.32,9.00,84.00,2216.00,13.90,20.45,25.70,37.25,43.50,53.00,63.20,66.00,76.65,14.27
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),13.08,2.97,24.39,653.89,4.36,6.26,7.75,11.04,12.87,15.50,18.45,19.24,22.30,4.08
HTTP Data Sent (KB),1.58,0.17,6.56,78.81,0.17,0.18,0.18,0.20,0.99,2.53,3.71,4.59,6.10,1.55
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2019.91,611.92,3688.23,100995.37,756.48,1002.33,1181.77,1664.71,1996.59,2416.70,2900.47,2952.06,3407.84,621.69
HTTP Receiving (ms),1811.31,321.46,3534.85,90565.63,528.51,766.06,993.68,1474.68,1702.90,2158.18,2593.94,2780.52,3227.07,625.90
HTTP Sending (ms),0.27,0.11,0.39,13.42,0.11,0.12,0.14,0.18,0.29,0.34,0.36,0.38,0.39,0.09
HTTP Total Time (ms),2019.91,611.92,3688.23,100995.37,756.48,1002.33,1181.77,1664.71,1996.59,2416.70,2900.47,2952.06,3407.84,621.69
HTTP Waiting (TTFB) (ms),208.33,101.37,415.54,10416.32,106.14,123.94,133.75,152.86,184.68,275.02,317.52,326.92,388.42,73.13
Input Sequence Length (tokens),293.04,6.00,1272.00,14652.00,6.49,8.00,9.00,15.00,187.00,474.50,708.10,877.45,1180.86,309.37
Inter Chunk Latency (ms),41.80,20.74,261.91,90415.16,28.90,32.34,33.78,35.98,40.02,43.88,46.07,47.99,125.47,14.52
Inter Token Latency (ms),14.01,10.22,16.54,700.34,10.84,11.91,12.35,13.42,13.98,14.89,15.43,15.87,16.45,1.27
OSL Mismatch Diff % (%),-0.09,-1.42,0.00,-4.70,-1.21,-0.89,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.30
Output Sequence Length (tokens),129.32,29.00,249.00,6466.00,38.80,63.80,75.80,104.25,125.00,157.25,178.70,195.10,224.99,41.55
Output Token Throughput Per User (tokens/sec/user),72.03,60.47,97.81,3601.27,60.79,63.01,64.82,67.16,71.54,74.51,81.00,83.93,92.56,7.04
Prefill Throughput Per User (tokens/sec/user),1121.25,41.24,3057.68,56062.59,45.09,54.48,67.17,107.13,1047.95,1764.60,2451.80,2774.69,3035.82,922.01
Reasoning Token Count (tokens),129.32,29.00,249.00,6466.00,38.80,63.80,75.80,104.25,125.00,157.25,178.70,195.10,224.99,41.55
Request Latency (ms),2017.05,612.48,3688.31,100852.38,756.85,1002.49,1181.95,1664.81,1996.75,2394.77,2866.08,2952.15,3407.96,619.60
Time to First Token (ms),208.74,101.74,416.00,10437.22,106.49,124.36,134.30,153.23,185.14,275.55,317.79,327.36,388.77,73.14
Time to Second Token (ms),39.31,20.74,125.59,1965.30,23.48,29.12,30.66,32.54,38.66,41.29,45.25,51.58,95.53,14.25
Tokens In Flight (tokens),709.17,0.00,1955.36,,,,,,661.23,,1322.51,1643.87,1876.99,424.62

Metric,Value
Benchmark Duration (sec),51.27
Input Token Throughput (tokens/sec),285.76
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),126.11
Request Count,50.00
Request Throughput (requests/sec),0.98
Total Input Sequence Length (tokens),14652.00
Total Output Sequence Length (tokens),6466.00
Total Reasoning Tokens (tokens),6466.00
Total Token Throughput (tokens/sec),411.86
