Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),165.27,64.99,432.34,,,,,,162.90,,200.61,201.45,357.48,38.53
Active Decode Throughput Per User (tokens/sec/user),62.56,32.96,178.74,,,,,,60.67,,72.76,74.65,151.10,15.82
Active Prefill Throughput (tokens/sec),225.84,87.55,248.70,,,,,,248.70,,248.70,248.70,248.70,44.78
Active Prefill Throughput Per User (tokens/sec/user),82.21,76.00,96.70,,,,,,82.90,,82.90,82.90,96.70,3.89
Active Total Throughput (tokens/sec),172.05,60.96,248.70,,,,,,182.80,,182.80,248.70,248.70,34.93
Credit-to-Start Latency (ms),15.43,8.89,19.57,46.29,9.07,9.79,10.68,13.36,17.83,18.70,19.22,19.40,19.54,4.68
Decode Duration (ms),2521.21,2076.27,2755.81,7563.63,2089.37,2141.80,2207.33,2403.91,2731.56,2743.68,2750.96,2753.38,2755.32,314.78
E2E Output Token Throughput (tokens/sec/user),56.62,54.07,58.95,169.87,54.13,54.35,54.63,55.46,56.84,57.90,58.53,58.74,58.91,2.00
Effective Concurrency,2.72,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.55
Effective Decode Concurrency,2.52,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.86
Effective Decode Throughput (tokens/sec),153.69,0.00,432.34,,,,,,158.06,,200.61,201.45,357.48,56.21
Effective Decode Throughput Per User (tokens/sec/user),58.18,0.00,178.74,,,,,,59.33,,72.04,74.65,151.10,22.09
Effective Latency (CO-aware) (ms),2743.44,2311.10,2992.64,8230.33,2323.41,2372.65,2434.20,2618.85,2926.59,2959.61,2979.43,2986.03,2991.32,306.90
Effective Prefill Concurrency,0.21,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.74
Effective Prefill Throughput (tokens/sec),16.97,0.00,248.70,,,,,,0.00,,0.00,248.70,248.70,60.78
Effective Prefill Throughput Per User (tokens/sec/user),6.18,0.00,96.70,,,,,,0.00,,0.00,82.90,82.90,21.69
Effective Total Throughput (tokens/sec),170.66,0.00,248.70,,,,,,182.80,,182.80,248.70,248.70,38.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.00,41.00,58.00,156.00,41.32,42.60,44.20,49.00,57.00,57.50,57.80,57.90,57.98,7.79
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.96,5.34,7.10,17.87,5.34,5.35,5.36,5.39,5.44,6.27,6.76,6.93,7.06,0.81
HTTP Connection Overhead (ms),7.59,6.83,8.92,22.78,6.83,6.85,6.87,6.93,7.03,7.97,8.54,8.73,8.88,0.94
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),15.29,12.15,16.96,45.87,12.24,12.61,13.07,14.46,16.77,16.86,16.92,16.94,16.95,2.22
HTTP Data Sent (KB),0.24,0.23,0.25,0.73,0.23,0.23,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.01
HTTP DNS Lookup (ms),1.64,1.49,1.83,4.91,1.49,1.50,1.51,1.54,1.59,1.71,1.78,1.80,1.82,0.14
HTTP Duration (excl. conn) (ms),2726.95,2292.14,2971.71,8180.84,2304.64,2354.63,2417.11,2604.57,2916.99,2944.35,2960.76,2966.24,2970.61,308.26
HTTP Receiving (ms),2521.32,2076.38,2755.93,7563.95,2089.48,2141.90,2207.43,2404.01,2731.64,2743.79,2751.08,2753.51,2755.45,314.78
HTTP Sending (ms),8.33,6.57,10.69,25.00,6.59,6.69,6.80,7.15,7.74,9.22,10.10,10.40,10.63,1.74
HTTP Total Time (ms),2734.54,2298.97,2980.63,8203.62,2311.47,2361.48,2423.98,2611.49,2924.02,2952.32,2969.31,2974.97,2979.50,308.86
HTTP Waiting (TTFB) (ms),197.30,178.78,208.03,591.89,179.31,181.41,184.04,191.93,205.08,206.55,207.44,207.73,207.97,13.15
Input Sequence Length (tokens),17.00,14.00,19.00,51.00,14.08,14.40,14.80,16.00,18.00,18.50,18.80,18.90,18.98,2.16
Inter Chunk Latency (ms),49.44,16.75,68.09,7563.63,18.22,39.05,40.70,44.91,49.76,55.61,60.43,61.38,67.11,8.99
Inter Token Latency (ms),16.42,15.97,16.88,49.26,15.98,16.02,16.06,16.19,16.40,16.64,16.78,16.83,16.87,0.37
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),60.93,59.24,62.60,182.80,59.28,59.41,59.59,60.10,60.96,61.78,62.27,62.44,62.57,1.37
Prefill Throughput Per User (tokens/sec/user),82.90,64.44,96.70,248.70,64.90,66.75,69.06,76.00,87.55,92.13,94.87,95.79,96.52,13.58
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),2728.01,2293.28,2973.07,8184.04,2305.76,2355.72,2418.16,2605.49,2917.70,2945.38,2961.99,2967.53,2971.96,308.24
Time to First Token (ms),206.80,186.13,217.26,620.40,186.75,189.22,192.31,201.57,217.01,217.13,217.21,217.23,217.25,14.61
Time to Second Token (ms),27.30,21.18,39.47,81.89,21.18,21.18,21.19,21.21,21.25,30.36,35.82,37.64,39.10,8.60
Tokens In Flight (tokens),238.66,0.00,420.09,,,,,,265.80,,365.64,392.86,411.02,109.33

Metric,Value
Benchmark Duration (sec),2.98
Input Token Throughput (tokens/sec),16.97
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),154.69
Request Count,3.00
Request Throughput (requests/sec),1.00
Total Input Sequence Length (tokens),51.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),171.65
