Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),98.95,0.00,274.75,,,,,,96.83,,118.21,125.73,141.96,15.56
Active Decode Throughput Per User (tokens/sec/user),98.95,0.00,274.75,,,,,,96.83,,118.21,125.73,141.96,15.56
Active Prefill Throughput (tokens/sec),1602.09,71.72,3485.42,,,,,,1618.83,,3168.74,3169.20,3485.42,1035.99
Active Prefill Throughput Per User (tokens/sec/user),1602.09,71.72,3485.42,,,,,,1618.83,,3168.74,3169.20,3485.42,1035.99
Active Total Throughput (tokens/sec),257.87,71.72,3485.42,,,,,,98.25,,124.11,1697.74,3168.74,571.97
Credit-to-Start Latency (ms),1.10,0.52,2.00,54.94,0.56,0.69,0.73,0.86,1.03,1.20,1.66,1.75,1.97,0.35
Decode Duration (ms),1277.29,262.75,2339.42,63864.52,346.01,634.71,728.40,1000.78,1275.86,1573.06,1801.72,1973.31,2263.85,426.85
E2E Output Token Throughput (tokens/sec/user),88.92,77.66,100.38,4446.17,79.08,80.66,81.97,84.91,88.37,92.88,96.24,98.51,100.03,5.54
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),88.34,0.00,274.75,,,,,,94.77,,117.22,124.68,141.62,33.95
Effective Decode Throughput Per User (tokens/sec/user),88.34,0.00,274.75,,,,,,94.77,,117.22,124.68,141.62,33.95
Effective Latency (CO-aware) (ms),1429.81,375.13,2481.35,71490.52,451.65,766.31,914.75,1196.00,1427.29,1692.43,1896.48,2066.22,2405.47,421.64
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),169.11,0.00,3485.42,,,,,,0.00,,110.76,1697.74,3168.74,596.35
Effective Prefill Throughput Per User (tokens/sec/user),169.11,0.00,3485.42,,,,,,0.00,,110.76,1697.74,3168.74,596.35
Effective Total Throughput (tokens/sec),257.46,0.00,3485.42,,,,,,98.25,,124.11,1697.74,3168.74,571.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,43.92,9.00,81.00,2196.00,12.43,23.00,25.80,35.00,43.50,54.00,62.10,67.20,77.08,14.38
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),13.00,2.97,23.93,649.76,3.96,7.01,7.83,10.45,12.84,15.93,18.20,19.62,22.61,4.12
HTTP Data Sent (KB),1.44,0.19,5.43,72.15,0.19,0.19,0.20,0.24,1.03,1.84,3.46,4.42,5.12,1.38
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1428.58,373.25,2480.52,71429.18,449.63,765.02,913.29,1194.71,1426.42,1691.17,1895.24,2065.08,2404.65,421.77
HTTP Receiving (ms),1277.67,262.74,2339.40,63883.38,346.01,634.71,728.41,1000.79,1275.86,1573.07,1801.73,1973.33,2263.83,426.46
HTTP Sending (ms),0.25,0.11,0.39,12.55,0.12,0.14,0.15,0.20,0.25,0.31,0.33,0.35,0.38,0.07
HTTP Total Time (ms),1428.58,373.25,2480.52,71429.18,449.63,765.02,913.29,1194.71,1426.42,1691.17,1895.24,2065.08,2404.65,421.77
HTTP Waiting (TTFB) (ms),150.67,71.98,305.55,7533.26,73.79,82.47,93.14,105.44,139.79,171.24,240.04,262.34,298.59,57.71
Input Sequence Length (tokens),242.00,6.00,970.00,12100.00,6.49,8.00,9.00,16.25,178.50,336.75,634.80,784.45,905.32,254.68
Inter Chunk Latency (ms),29.77,12.16,61.60,63864.52,20.35,23.97,24.98,26.89,29.95,32.72,34.30,35.11,36.89,3.98
Inter Token Latency (ms),10.04,8.06,11.36,502.11,8.12,8.53,9.00,9.68,10.18,10.55,10.84,11.06,11.28,0.75
OSL Mismatch Diff % (%),-0.09,-1.32,0.00,-4.33,-1.25,-0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
Output Sequence Length (tokens),127.42,29.00,249.00,6371.00,38.80,67.40,83.20,104.00,125.00,155.00,169.90,190.40,223.03,39.89
Output Token Throughput Per User (tokens/sec/user),100.19,88.03,124.11,5009.37,88.62,90.43,92.27,94.78,98.23,103.30,111.09,117.42,123.20,8.12
Prefill Throughput Per User (tokens/sec/user),1255.31,71.72,3485.42,62765.28,71.77,86.72,112.21,157.91,1162.33,2084.02,2679.13,3048.15,3330.47,1017.47
Reasoning Token Count (tokens),127.42,29.00,249.00,6371.00,38.80,67.40,83.20,104.00,125.00,155.00,169.90,190.40,223.03,39.89
Request Latency (ms),1428.34,373.42,2480.66,71417.14,449.79,765.16,896.84,1194.86,1426.54,1691.33,1895.34,2065.17,2404.76,422.22
Time to First Token (ms),151.05,72.23,306.07,7552.62,74.11,82.73,93.59,105.89,140.07,171.71,240.50,262.67,299.09,57.73
Time to Second Token (ms),25.45,12.16,34.63,1272.53,13.39,16.22,17.52,22.75,26.06,29.15,31.49,32.69,34.45,5.20
Tokens In Flight (tokens),306.93,0.00,1083.00,,,,,,248.95,,696.00,838.00,997.13,246.73

Metric,Value
Benchmark Duration (sec),71.55
Input Token Throughput (tokens/sec),169.11
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),89.04
Request Count,50.00
Request Throughput (requests/sec),0.70
Total Input Sequence Length (tokens),12100.00
Total Output Sequence Length (tokens),6371.00
Total Reasoning Tokens (tokens),6371.00
Total Token Throughput (tokens/sec),258.16
