Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),160.24,0.00,324.74,,,,,,129.89,,237.62,243.19,255.80,54.66
Active Decode Throughput Per User (tokens/sec/user),97.90,0.00,248.93,,,,,,95.51,,126.97,129.89,167.14,23.19
Active Prefill Throughput (tokens/sec),278.15,76.07,344.81,,,,,,344.81,,344.81,344.81,344.81,89.27
Active Prefill Throughput Per User (tokens/sec/user),102.36,76.07,186.42,,,,,,114.94,,114.94,114.94,114.94,17.44
Active Total Throughput (tokens/sec),175.15,95.80,344.81,,,,,,176.58,,254.64,344.81,344.81,82.99
Credit-to-Start Latency (ms),1.67,1.50,1.84,5.00,1.50,1.51,1.53,1.58,1.66,1.75,1.80,1.82,1.83,0.14
Decode Duration (ms),1057.74,614.89,1753.67,3173.22,618.68,633.86,652.84,709.77,804.66,1279.16,1563.87,1658.77,1734.69,498.16
E2E Output Token Throughput (tokens/sec/user),74.35,63.42,91.08,223.06,63.52,63.93,64.45,65.99,68.57,79.82,86.57,88.83,90.63,12.01
Effective Concurrency,1.93,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.95
Effective Decode Concurrency,1.71,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.99
Effective Decode Throughput (tokens/sec),151.15,0.00,324.74,,,,,,128.01,,237.62,243.19,255.80,64.74
Effective Decode Throughput Per User (tokens/sec/user),92.35,0.00,248.93,,,,,,88.48,,126.46,129.40,167.14,31.93
Effective Latency (CO-aware) (ms),1198.60,774.47,1857.09,3595.80,778.26,793.45,812.42,869.36,964.24,1410.67,1678.52,1767.80,1839.23,472.02
Effective Prefill Concurrency,0.22,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.75
Effective Prefill Throughput (tokens/sec),23.67,0.00,344.81,,,,,,0.00,,0.00,344.81,344.81,81.86
Effective Prefill Throughput Per User (tokens/sec/user),8.71,0.00,186.42,,,,,,0.00,,0.00,114.94,114.94,29.01
Effective Total Throughput (tokens/sec),174.82,0.00,344.81,,,,,,176.58,,254.64,344.81,344.81,83.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
