Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),96.28,0.00,212.67,,,,,,95.96,,105.89,108.99,113.80,8.84
Active Decode Throughput Per User (tokens/sec/user),96.28,0.00,212.67,,,,,,95.96,,105.89,108.99,113.80,8.84
Active Prefill Throughput (tokens/sec),3090.34,145.21,4167.97,,,,,,3023.64,,4167.97,4167.97,4167.97,1341.35
Active Prefill Throughput Per User (tokens/sec/user),3090.34,145.21,4167.97,,,,,,3023.64,,4167.97,4167.97,4167.97,1341.35
Active Total Throughput (tokens/sec),201.87,93.67,4167.97,,,,,,97.60,,97.69,97.69,4167.97,607.01
Credit-to-Start Latency (ms),1.60,1.35,1.86,4.81,1.36,1.38,1.40,1.48,1.60,1.73,1.81,1.83,1.86,0.21
Decode Duration (ms),5046.57,3002.02,6909.80,15139.72,3046.53,3224.60,3447.19,4114.96,5227.90,6068.85,6573.42,6741.61,6876.17,1600.49
E2E Output Token Throughput (tokens/sec/user),92.53,89.98,96.68,277.58,90.00,90.07,90.17,90.45,90.93,93.80,95.53,96.10,96.56,2.96
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),92.82,0.00,212.67,,,,,,95.57,,105.85,108.94,113.80,19.92
Effective Decode Throughput Per User (tokens/sec/user),92.82,0.00,212.67,,,,,,95.57,,105.85,108.94,113.80,19.92
Effective Latency (CO-aware) (ms),5237.56,3235.05,6994.05,15712.68,3280.02,3459.91,3684.76,4359.32,5483.58,6238.81,6691.95,6843.00,6963.84,1544.43
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),108.91,0.00,4167.97,,,,,,0.00,,0.00,0.00,4167.97,622.99
Effective Prefill Throughput Per User (tokens/sec/user),108.91,0.00,4167.97,,,,,,0.00,,0.00,0.00,4167.97,622.99
Effective Total Throughput (tokens/sec),201.73,0.00,4167.97,,,,,,97.60,,97.69,97.69,4167.97,606.82
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,185.33,111.00,253.00,556.00,112.62,119.10,127.20,151.50,192.00,222.50,240.80,246.90,251.78,58.16
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.35,0.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.52,0.83,0.93,1.02,0.49
HTTP Connection Overhead (ms),0.50,0.00,1.51,1.51,0.00,0.00,0.00,0.00,0.00,0.75,1.21,1.36,1.48,0.71
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
