Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),182.44,0.00,938.51,,,,,,188.82,,228.09,236.36,249.84,48.80
Active Decode Throughput Per User (tokens/sec/user),47.54,0.00,234.63,,,,,,48.02,,57.73,60.06,66.78,10.94
Active Prefill Throughput (tokens/sec),2532.07,39.59,5153.65,,,,,,2891.93,,4109.43,4166.11,5153.65,1253.06
Active Prefill Throughput Per User (tokens/sec/user),2443.51,39.59,4166.11,,,,,,2648.62,,3781.23,4109.43,4166.11,1199.76
Active Total Throughput (tokens/sec),456.49,53.02,5240.93,,,,,,191.99,,207.73,3085.04,4242.17,874.45
Credit-to-Start Latency (ms),1.88,0.44,4.38,94.11,0.48,0.79,0.95,1.18,1.52,2.28,3.57,4.08,4.35,1.04
Decode Duration (ms),10962.71,5535.53,21199.12,548135.37,5755.49,6409.37,7465.83,8922.48,10548.97,12876.70,14540.36,14818.09,19459.00,2988.88
E2E Output Token Throughput (tokens/sec/user),46.67,39.52,54.58,2333.27,39.59,40.95,42.11,44.07,45.98,49.48,51.92,53.41,54.51,3.81
Effective Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.40
Effective Decode Concurrency,3.80,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.52
Effective Decode Throughput (tokens/sec),182.26,0.00,938.51,,,,,,188.82,,228.09,236.36,249.84,49.10
Effective Decode Throughput Per User (tokens/sec/user),47.50,0.00,234.63,,,,,,48.02,,57.73,60.06,66.78,11.03
Effective Latency (CO-aware) (ms),11302.46,5991.23,21993.46,565123.05,6191.50,6718.09,7901.60,9269.75,10871.30,13314.84,14832.58,15359.32,20045.98,3032.09
Effective Prefill Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),274.22,0.00,5153.65,,,,,,0.00,,49.08,2946.49,4109.43,888.36
Effective Prefill Throughput Per User (tokens/sec/user),264.63,0.00,4166.11,,,,,,0.00,,49.08,2891.93,3781.23,855.85
Effective Total Throughput (tokens/sec),456.48,0.00,5240.93,,,,,,191.99,,207.73,3085.04,4242.17,874.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
