Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),96.69,0.00,26322.43,,,,,,95.89,,110.54,116.46,128.67,20.69
Active Decode Throughput Per User (tokens/sec/user),96.69,0.00,26322.43,,,,,,95.89,,110.54,116.46,128.67,20.69
Active Prefill Throughput (tokens/sec),3780.08,84.88,4868.11,,,,,,4135.97,,4839.12,4867.56,4868.11,1287.69
Active Prefill Throughput Per User (tokens/sec/user),3780.08,84.88,4868.11,,,,,,4135.97,,4839.12,4867.56,4868.11,1287.69
Active Total Throughput (tokens/sec),289.71,84.88,4868.11,,,,,,95.50,,111.20,142.82,4727.90,872.13
Credit-to-Start Latency (ms),1.26,0.43,2.03,62.91,0.45,0.65,0.84,1.03,1.27,1.54,1.66,1.87,1.99,0.37
Decode Duration (ms),5337.34,1193.15,10566.03,266866.99,1566.55,2374.41,2960.84,4214.70,5291.14,6508.49,7263.47,8338.42,9694.93,1831.96
E2E Output Token Throughput (tokens/sec/user),92.29,66.66,119.39,4614.66,69.44,78.09,83.52,86.36,90.27,96.58,105.31,110.34,119.28,10.13
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.22
Effective Decode Throughput (tokens/sec),91.57,0.00,26322.43,,,,,,95.14,,110.15,116.04,128.43,29.57
Effective Decode Throughput Per User (tokens/sec/user),91.57,0.00,26322.43,,,,,,95.14,,110.15,116.04,128.43,29.57
Effective Latency (CO-aware) (ms),5634.97,1711.54,10645.95,281748.45,1919.85,2717.23,3304.95,4489.43,5658.77,6754.69,7770.21,8594.93,9895.63,1837.44
Effective Prefill Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.22
Effective Prefill Throughput (tokens/sec),197.97,0.00,4868.11,,,,,,0.00,,0.00,142.82,4727.90,892.17
Effective Prefill Throughput Per User (tokens/sec/user),197.97,0.00,4868.11,,,,,,0.00,,0.00,142.82,4727.90,892.17
Effective Total Throughput (tokens/sec),289.54,0.00,4868.11,,,,,,95.50,,111.20,142.82,4727.90,871.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,196.60,45.00,389.00,9830.00,58.23,88.80,111.90,158.00,194.00,239.00,264.60,304.40,355.19,66.47
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),56.32,13.22,110.72,2815.84,17.05,25.79,32.37,45.30,55.76,68.37,75.85,86.90,101.16,18.82
HTTP Data Sent (KB),5.06,0.17,21.55,252.94,0.17,0.18,0.18,0.21,3.34,7.90,11.94,14.87,19.95,5.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5633.60,1710.18,10644.73,281679.85,1918.51,2715.69,3303.51,4487.94,5657.52,6753.05,7768.71,8593.57,9894.62,1837.50
