Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),141.93,41.84,281.88,,,,,,137.84,,170.27,175.48,194.55,22.20
Active Decode Throughput Per User (tokens/sec/user),54.88,27.35,155.69,,,,,,54.64,,67.97,72.11,81.92,9.85
Active Prefill Throughput (tokens/sec),211.48,59.02,238.92,,,,,,238.92,,238.92,238.92,238.92,42.32
Active Prefill Throughput Per User (tokens/sec/user),77.88,59.02,79.64,,,,,,79.64,,79.64,79.64,79.64,2.80
Active Total Throughput (tokens/sec),143.76,50.01,238.92,,,,,,161.36,,161.36,161.36,238.92,29.03
Credit-to-Start Latency (ms),33.70,32.41,34.60,101.11,32.44,32.58,32.75,33.26,34.10,34.35,34.50,34.55,34.59,0.94
Decode Duration (ms),10669.49,7973.95,12097.36,32008.47,8053.21,8370.27,8766.59,9955.55,11937.16,12017.26,12065.32,12081.34,12094.16,1907.16
E2E Output Token Throughput (tokens/sec/user),52.92,49.51,55.68,158.76,49.59,49.92,50.32,51.54,53.57,54.62,55.26,55.47,55.64,2.56
Effective Concurrency,2.65,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.52
Effective Decode Concurrency,2.60,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.60
Effective Decode Throughput (tokens/sec),139.67,0.00,281.88,,,,,,137.79,,170.09,175.48,194.55,28.30
Effective Decode Throughput Per User (tokens/sec/user),54.01,0.00,155.69,,,,,,54.50,,67.89,72.11,81.92,11.95
Effective Latency (CO-aware) (ms),10886.11,8209.14,12274.61,32658.34,8288.45,8605.68,9002.23,10191.86,12174.59,12224.60,12254.61,12264.61,12272.61,1893.35
Effective Prefill Concurrency,0.04,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.35
Effective Prefill Throughput (tokens/sec),3.50,0.00,238.92,,,,,,0.00,,0.00,0.00,238.92,27.52
Effective Prefill Throughput Per User (tokens/sec/user),1.29,0.00,79.64,,,,,,0.00,,0.00,0.00,79.64,9.94
Effective Total Throughput (tokens/sec),143.17,0.00,238.92,,,,,,161.36,,161.36,161.36,238.92,30.40
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,215.33,149.00,251.00,646.00,150.94,158.70,168.40,197.50,246.00,248.50,250.00,250.50,250.90,46.95
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),16.50,13.06,18.41,49.51,13.16,13.56,14.06,15.55,18.03,18.22,18.34,18.37,18.40,2.44
HTTP Connection Overhead (ms),23.63,16.77,27.12,70.90,16.97,17.79,18.82,21.89,27.01,27.06,27.10,27.11,27.12,4.85
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),61.82,42.89,71.81,185.45,43.44,45.67,48.46,56.82,70.75,71.28,71.60,71.71,71.79,13.39
HTTP Data Sent (KB),0.25,0.24,0.28,0.76,0.24,0.24,0.24,0.24,0.24,0.26,0.27,0.27,0.28,0.02
HTTP DNS Lookup (ms),7.13,3.71,9.09,21.39,3.80,4.19,4.68,6.15,8.60,8.84,8.99,9.04,9.08,2.43
HTTP Duration (excl. conn) (ms),10846.40,8169.85,12234.14,32539.20,8249.16,8566.39,8962.92,10152.53,12135.21,12184.67,12214.35,12224.25,12232.16,1893.04
HTTP Receiving (ms),10669.61,7974.11,12097.46,32008.84,8053.37,8370.42,8766.74,9955.69,11937.27,12017.37,12065.42,12081.44,12094.26,1907.13
HTTP Sending (ms),26.85,23.27,28.92,80.54,23.37,23.78,24.29,25.81,28.35,28.64,28.80,28.86,28.91,2.54
HTTP Total Time (ms),10870.03,8196.97,12250.91,32610.10,8276.28,8593.50,8990.02,10179.59,12162.22,12206.56,12233.17,12242.04,12249.13,1890.49
HTTP Waiting (TTFB) (ms),149.94,113.41,169.02,449.82,114.49,118.81,124.20,140.40,167.39,168.20,168.69,168.86,168.99,25.84
Input Sequence Length (tokens),14.33,12.00,18.00,43.00,12.02,12.10,12.20,12.50,13.00,15.50,17.00,17.50,17.90,2.62
Inter Chunk Latency (ms),49.78,15.54,67.24,32008.47,31.68,35.76,37.90,43.80,49.06,58.34,60.73,62.21,63.95,8.53
Inter Token Latency (ms),18.64,17.68,20.00,55.93,17.70,17.74,17.80,17.97,18.25,19.12,19.65,19.82,19.96,0.98
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),573.33,438.00,676.00,1720.00,441.36,454.80,471.60,522.00,606.00,641.00,662.00,669.00,674.60,99.87
Output Token Throughput Per User (tokens/sec/user),53.79,50.01,56.55,161.36,50.11,50.49,50.97,52.41,54.80,55.67,56.20,56.37,56.51,2.76
Prefill Throughput Per User (tokens/sec/user),79.64,59.02,91.14,238.92,59.61,61.99,64.97,73.89,88.76,89.95,90.66,90.90,91.09,14.61
Reasoning Token Count (tokens),573.33,438.00,676.00,1720.00,441.36,454.80,471.60,522.00,606.00,641.00,662.00,669.00,674.60,99.87
Request Latency (ms),10852.41,8176.73,12240.01,32557.22,8256.01,8573.11,8969.48,10158.61,12140.49,12190.25,12220.10,12230.05,12238.02,1892.43
Time to First Token (ms),182.92,142.64,203.33,548.76,143.85,148.66,154.67,172.71,202.78,203.06,203.22,203.28,203.32,28.48
Time to Second Token (ms),40.14,31.28,57.84,120.41,31.28,31.28,31.29,31.29,31.29,44.56,52.53,55.18,57.31,12.52
Tokens In Flight (tokens),767.98,0.00,1297.32,,,,,,857.44,,1188.64,1230.04,1276.62,357.06

Metric,Value
Benchmark Duration (sec),12.24
Input Token Throughput (tokens/sec),3.50
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),139.91
Request Count,3.00
Request Throughput (requests/sec),0.24
Total Input Sequence Length (tokens),43.00
Total Output Sequence Length (tokens),1720.00
Total Reasoning Tokens (tokens),1720.00
Total Token Throughput (tokens/sec),143.41
