Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),249.94,0.00,491.81,,,,,,263.54,,320.90,332.53,354.07,71.00
Active Decode Throughput Per User (tokens/sec/user),35.58,0.00,242.06,,,,,,34.34,,42.09,48.26,106.46,14.32
Active Prefill Throughput (tokens/sec),2051.45,24.52,4087.46,,,,,,2179.09,,3211.25,3398.36,4087.46,1007.23
Active Prefill Throughput Per User (tokens/sec/user),1970.25,24.52,3398.36,,,,,,2161.71,,3083.59,3211.25,3398.36,949.15
Active Total Throughput (tokens/sec),598.61,52.15,4282.21,,,,,,265.92,,2090.04,2867.85,3615.98,867.19
Credit-to-Start Latency (ms),6.88,0.43,37.34,344.03,0.67,1.05,1.12,1.41,1.89,3.85,29.30,34.09,36.85,10.88
Decode Duration (ms),15198.88,8066.33,22087.06,759944.08,8463.03,9422.97,10622.44,13134.99,14628.52,18369.57,19440.93,20513.40,21575.06,3505.80
E2E Output Token Throughput (tokens/sec/user),33.05,27.91,50.89,1652.44,28.17,28.85,29.33,30.67,32.26,34.31,36.94,38.18,45.66,3.80
Effective Concurrency,7.57,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.40
Effective Decode Concurrency,7.38,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.44
Effective Decode Throughput (tokens/sec),249.64,0.00,491.81,,,,,,263.54,,320.90,332.53,354.07,71.48
Effective Decode Throughput Per User (tokens/sec/user),35.53,0.00,242.06,,,,,,34.33,,42.09,48.26,106.46,14.36
Effective Latency (CO-aware) (ms),15601.41,8654.67,22546.02,780070.51,9007.40,9829.75,10954.35,13523.91,15017.09,18778.62,19722.75,20975.88,22015.92,3498.80
Effective Prefill Concurrency,0.19,0.00,8.00,,,,,,0.00,,1.00,1.00,1.00,0.52
Effective Prefill Throughput (tokens/sec),348.93,0.00,4087.46,,,,,,0.00,,1867.82,2640.24,3398.36,875.57
Effective Prefill Throughput Per User (tokens/sec/user),335.12,0.00,3398.36,,,,,,0.00,,1855.72,2622.79,3211.25,837.37
Effective Total Throughput (tokens/sec),598.57,0.00,4282.21,,,,,,265.92,,2090.04,2867.85,3615.98,867.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,179.38,92.00,307.00,8969.00,94.94,113.65,127.80,149.75,171.00,216.75,229.60,240.10,280.05,44.28
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.57,0.00,10.05,28.42,0.00,0.00,0.00,0.00,0.00,0.00,1.04,2.89,9.89,2.00
HTTP Connection Overhead (ms),0.78,0.00,14.03,39.01,0.00,0.00,0.00,0.00,0.00,0.00,1.12,4.19,13.50,2.75
HTTP Connection Reused (ratio),0.88,0.00,1.00,44.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.32
HTTP Data Received (KB),51.55,26.68,87.25,2577.64,27.53,32.98,36.69,43.29,49.02,62.07,66.08,69.04,79.96,12.56
HTTP Data Sent (KB),3.20,0.17,12.14,159.98,0.17,0.18,0.18,0.22,2.42,4.61,6.64,9.36,11.58,3.02
HTTP DNS Lookup (ms),0.21,0.00,3.98,10.59,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.30,3.61,0.75
HTTP Duration (excl. conn) (ms),15594.29,8652.74,22544.20,779714.56,9005.93,9825.74,10950.87,13522.30,15015.67,18771.20,19719.67,20956.35,21998.94,3496.96
HTTP Receiving (ms),15200.34,8066.30,22087.08,760017.07,8463.01,9422.97,10622.45,13134.99,14628.52,18369.56,19440.93,20513.40,21575.06,3505.33
HTTP Sending (ms),1.08,0.11,13.79,53.98,0.12,0.14,0.18,0.26,0.34,0.50,1.72,3.59,13.29,2.60
HTTP Total Time (ms),15595.07,8652.74,22544.20,779753.56,9005.93,9825.74,10952.16,13522.30,15015.67,18774.71,19720.03,20956.35,21998.94,3496.99
HTTP Waiting (TTFB) (ms),392.87,115.35,834.68,19643.51,162.36,214.89,220.07,266.05,372.99,453.53,593.59,743.77,795.52,157.44
Input Sequence Length (tokens),718.62,7.00,2682.00,35931.00,7.49,8.00,9.00,14.25,572.50,1125.50,1549.90,2117.40,2624.18,690.54
Inter Chunk Latency (ms),85.21,22.14,381.38,759944.08,37.19,65.16,69.30,73.06,80.54,88.85,92.97,128.81,230.05,29.61
Inter Token Latency (ms),29.82,19.18,34.16,1491.09,21.78,25.44,26.23,28.50,30.24,31.57,32.96,33.82,34.15,2.83
OSL Mismatch Diff % (%),-0.03,-0.31,0.00,-1.56,-0.30,-0.23,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Output Sequence Length (tokens),515.14,246.00,959.00,25757.00,269.03,317.30,358.00,416.25,511.50,602.25,648.50,693.80,852.67,129.40
Output Token Count (tokens),156.00,63.00,312.00,468.00,63.60,66.00,69.00,78.00,93.00,202.50,268.20,290.10,307.62,110.99
Output Token Throughput Per User (tokens/sec/user),33.89,29.27,52.15,1694.33,29.29,29.57,30.34,31.67,33.07,35.09,38.13,39.31,46.60,3.81
Prefill Throughput Per User (tokens/sec/user),1458.13,24.52,3398.36,72906.60,25.65,34.91,40.83,66.64,1526.84,2283.31,2822.72,3026.68,3306.68,1092.17
Reasoning Token Count (tokens),505.78,246.00,742.00,25289.00,269.03,317.30,358.00,416.25,511.50,593.00,638.20,660.20,708.68,110.74
Request Latency (ms),15593.08,8653.00,22544.31,779653.83,9006.10,9825.88,10951.15,13522.44,14979.54,18771.86,19719.82,20956.55,21999.09,3497.30
Time to First Output Token (ms),17510.13,16107.83,18333.62,52530.38,16147.46,16305.94,16504.05,17098.38,18088.93,18211.27,18284.68,18309.15,18328.72,996.59
Time to First Token (ms),394.19,116.04,835.19,19709.75,163.07,218.78,221.78,281.38,373.55,453.94,594.16,744.19,796.02,156.75
Time to Second Token (ms),83.77,50.81,270.16,4188.68,51.17,60.05,63.99,68.73,78.32,85.59,91.22,105.31,255.68,36.95
Tokens In Flight (tokens),7484.70,0.00,12895.59,,,,,,8379.63,,10749.68,11487.21,12602.49,3029.78

Metric,Value
Benchmark Duration (sec),102.97
Input Token Throughput (tokens/sec),348.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),250.13
Request Count,50.00
Request Throughput (requests/sec),0.49
Total Input Sequence Length (tokens),35931.00
Total Output Sequence Length (tokens),25757.00
Total Output Tokens (tokens),468.00
Total Reasoning Tokens (tokens),25289.00
Total Token Throughput (tokens/sec),599.06
