Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),16.39,0.00,42.16,,,,,,17.32,,21.07,22.75,26.92,4.92
Active Decode Throughput Per User (tokens/sec/user),8.78,0.00,22.84,,,,,,8.80,,10.67,11.51,13.53,1.75
Active Prefill Throughput (tokens/sec),178.57,4.65,621.85,,,,,,130.56,,538.22,564.73,621.85,183.96
Active Prefill Throughput Per User (tokens/sec/user),169.18,4.65,621.85,,,,,,130.56,,519.50,561.47,621.85,175.05
Active Total Throughput (tokens/sec),46.21,7.40,632.93,,,,,,17.62,,106.49,214.77,570.54,98.32
Credit-to-Start Latency (ms),1.26,0.62,2.29,62.98,0.65,0.83,0.89,0.97,1.15,1.48,1.90,2.01,2.18,0.39
Decode Duration (ms),13418.74,1265.72,26982.49,670937.04,1273.30,3748.09,7049.27,9223.56,13567.36,17110.54,20056.36,22536.08,25207.67,5659.75
E2E Output Token Throughput (tokens/sec/user),8.25,6.27,12.63,412.51,6.54,6.84,7.11,7.56,8.04,8.88,9.48,10.32,11.95,1.16
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.07
Effective Decode Concurrency,1.82,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.41
Effective Decode Throughput (tokens/sec),16.23,0.00,42.16,,,,,,17.27,,21.05,22.75,26.92,5.15
Effective Decode Throughput Per User (tokens/sec/user),8.69,0.00,22.84,,,,,,8.78,,10.63,11.51,13.53,1.95
Effective Latency (CO-aware) (ms),14737.89,2492.98,28306.52,736894.50,2854.05,4665.12,8412.97,10511.06,14913.60,18656.73,21381.97,23799.27,26525.26,5648.35
Effective Prefill Concurrency,0.18,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.41
Effective Prefill Throughput (tokens/sec),29.97,0.00,621.85,,,,,,0.00,,98.88,205.31,561.47,100.67
Effective Prefill Throughput Per User (tokens/sec/user),28.40,0.00,621.85,,,,,,0.00,,98.88,205.31,561.47,95.61
Effective Total Throughput (tokens/sec),46.21,0.00,632.93,,,,,,17.62,,106.49,214.77,570.54,98.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,42.32,6.00,83.00,2116.00,6.49,13.25,22.80,30.25,42.50,53.50,63.10,69.65,77.61,16.97
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.19
HTTP Connection Overhead (ms),0.03,0.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.19
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),11.58,1.98,22.13,578.75,1.98,3.81,6.60,8.41,11.84,14.59,16.92,18.61,20.77,4.43
HTTP Data Sent (KB),1.48,0.17,6.26,74.04,0.17,0.17,0.18,0.22,1.11,1.97,3.70,4.72,5.84,1.49
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14736.49,2491.64,28305.57,736824.70,2852.65,4663.08,8411.50,10509.68,14912.64,18655.22,21380.57,23797.17,26524.15,5648.36
HTTP Receiving (ms),13792.82,1576.73,27337.07,689640.90,1917.51,4098.48,7393.31,9571.28,14055.77,17652.57,20393.62,22870.60,25530.27,5621.02
HTTP Sending (ms),0.32,0.12,1.90,15.97,0.12,0.15,0.16,0.25,0.29,0.34,0.38,0.41,1.18,0.24
HTTP Total Time (ms),14736.52,2491.64,28305.57,736826.06,2852.65,4663.83,8411.50,10509.68,14912.64,18655.22,21380.57,23797.17,26524.15,5648.31
HTTP Waiting (TTFB) (ms),943.36,562.48,1340.39,47167.82,563.50,629.05,717.90,928.99,960.27,997.48,1020.83,1044.36,1338.61,140.01
Input Sequence Length (tokens),221.36,6.00,943.00,11068.00,6.49,8.00,8.90,15.25,161.00,305.75,554.60,765.75,880.77,241.38
Inter Chunk Latency (ms),332.97,252.62,955.49,670937.04,283.58,286.83,289.08,300.27,325.74,351.54,357.06,370.08,610.32,57.25
Inter Token Latency (ms),109.90,64.64,135.08,5494.97,69.89,77.31,89.54,101.10,113.08,119.51,127.54,131.90,134.15,15.86
OSL Mismatch Diff % (%),-6.23,-91.33,-1.20,-311.57,-91.03,-8.44,-4.13,-2.88,-2.41,-1.95,-1.78,-1.65,-1.22,17.36
Output Sequence Length (tokens),120.90,17.00,246.00,6045.00,17.49,35.00,69.80,101.00,121.50,151.25,165.10,179.40,242.08,45.63
Output Token Count (tokens),74.50,17.00,122.00,447.00,17.05,17.25,17.50,31.75,87.00,112.25,119.00,120.50,121.70,43.17
