Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),15.50,0.00,35.33,,,,,,16.57,,20.03,20.86,21.74,4.51
Active Decode Throughput Per User (tokens/sec/user),8.25,0.00,22.01,,,,,,8.42,,10.14,10.56,11.07,1.62
Active Prefill Throughput (tokens/sec),178.83,4.58,613.75,,,,,,137.17,,389.54,446.62,613.75,147.93
Active Prefill Throughput Per User (tokens/sec/user),175.35,4.58,613.75,,,,,,137.17,,386.70,446.62,613.75,147.20
Active Total Throughput (tokens/sec),41.72,4.58,620.75,,,,,,17.10,,109.83,217.65,432.37,82.79
Credit-to-Start Latency (ms),1.24,0.70,2.22,61.96,0.71,0.75,0.78,1.02,1.13,1.41,1.83,2.00,2.17,0.37
Decode Duration (ms),15216.02,7112.49,33046.76,760801.05,7570.27,8396.79,9361.42,11293.14,13803.95,17989.11,23007.45,23915.37,29919.52,5412.50
E2E Output Token Throughput (tokens/sec/user),7.94,6.25,10.41,397.09,6.28,6.42,6.63,7.11,7.93,8.62,9.25,9.56,10.13,1.00
Effective Concurrency,1.99,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.11
Effective Decode Concurrency,1.83,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.40
Effective Decode Throughput (tokens/sec),15.36,0.00,35.33,,,,,,16.54,,20.02,20.86,21.74,4.73
Effective Decode Throughput Per User (tokens/sec/user),8.18,0.00,22.01,,,,,,8.41,,10.14,10.55,11.07,1.80
Effective Latency (CO-aware) (ms),16521.67,8391.91,34313.80,826083.31,8865.13,9711.44,10687.48,12751.52,15073.63,19322.74,24377.43,25232.43,31403.94,5426.30
Effective Prefill Concurrency,0.16,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),26.37,0.00,613.75,,,,,,0.00,,101.06,210.48,429.53,85.13
Effective Prefill Throughput Per User (tokens/sec/user),25.86,0.00,613.75,,,,,,0.00,,101.06,210.48,422.38,84.03
Effective Total Throughput (tokens/sec),41.72,0.00,620.75,,,,,,17.10,,109.83,217.65,432.37,82.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.48,24.00,101.00,2424.00,24.98,28.00,28.90,37.50,45.50,59.00,70.10,73.55,93.16,15.99
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
