Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),17.32,4.17,28.57,,,,,,17.89,,20.45,20.62,22.72,3.78
Active Decode Throughput Per User (tokens/sec/user),8.95,3.53,18.11,,,,,,8.94,,10.22,10.31,11.36,1.19
Active Prefill Throughput (tokens/sec),52.16,14.09,64.08,,,,,,64.08,,64.08,64.08,64.08,14.69
Active Prefill Throughput Per User (tokens/sec/user),45.41,14.09,64.08,,,,,,64.08,,64.08,64.08,64.08,23.02
Active Total Throughput (tokens/sec),21.64,7.62,71.70,,,,,,18.28,,18.29,71.70,71.70,12.87
Credit-to-Start Latency (ms),1.50,1.24,1.80,4.50,1.25,1.26,1.28,1.35,1.46,1.63,1.73,1.77,1.79,0.23
Decode Duration (ms),13780.23,5811.58,21649.34,41340.69,5972.94,6618.40,7425.22,9845.68,13879.77,17764.56,20095.43,20872.38,21493.95,6466.12
E2E Output Token Throughput (tokens/sec/user),8.88,7.38,9.82,26.65,7.42,7.59,7.79,8.42,9.45,9.64,9.75,9.78,9.81,1.08
Effective Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.17
Effective Decode Concurrency,1.84,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.46
Effective Decode Throughput (tokens/sec),16.66,0.00,28.57,,,,,,17.88,,20.45,20.55,22.72,4.97
Effective Decode Throughput Per User (tokens/sec/user),8.61,0.00,18.11,,,,,,8.94,,10.22,10.27,11.36,2.07
Effective Latency (CO-aware) (ms),14781.39,6664.71,22502.54,44344.17,6834.95,7515.93,8367.15,10920.81,15176.92,18839.73,21037.42,21769.98,22356.03,6471.82
Effective Prefill Concurrency,0.13,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.44
Effective Prefill Throughput (tokens/sec),4.98,0.00,64.08,,,,,,0.00,,0.00,64.08,64.08,15.98
Effective Prefill Throughput Per User (tokens/sec/user),4.33,0.00,64.08,,,,,,0.00,,0.00,64.08,64.08,15.12
Effective Total Throughput (tokens/sec),21.64,0.00,71.70,,,,,,18.28,,18.29,71.70,71.70,12.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.33,20.00,68.00,133.00,20.50,22.50,25.00,32.50,45.00,56.50,63.40,65.70,67.54,19.60
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.69,0.00,1.05,2.08,0.02,0.10,0.21,0.51,1.03,1.04,1.05,1.05,1.05,0.49
HTTP Connection Overhead (ms),1.00,0.00,1.53,3.00,0.03,0.15,0.29,0.74,1.47,1.50,1.52,1.52,1.52,0.71
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),11.93,5.58,18.18,35.78,5.71,6.22,6.87,8.80,12.03,15.10,16.95,17.56,18.06,5.15
HTTP Data Sent (KB),0.34,0.20,0.58,1.02,0.20,0.20,0.21,0.22,0.24,0.41,0.51,0.54,0.57,0.17
HTTP DNS Lookup (ms),0.31,0.00,0.47,0.92,0.01,0.04,0.09,0.22,0.44,0.46,0.47,0.47,0.47,0.22
HTTP Duration (excl. conn) (ms),14779.67,6663.20,22500.84,44339.02,6833.43,7514.37,8365.55,10919.09,15174.97,18837.91,21035.67,21768.26,22354.33,6471.73
HTTP Receiving (ms),14121.35,6160.27,21997.98,42364.04,6321.18,6964.82,7769.38,10183.03,14205.80,18101.89,20439.54,21218.76,21842.13,6465.99
HTTP Sending (ms),1.19,0.32,1.65,3.56,0.35,0.45,0.58,0.96,1.59,1.62,1.64,1.64,1.65,0.61
HTTP Total Time (ms),14780.67,6664.72,22502.32,44342.01,6834.93,7515.75,8366.77,10919.85,15174.97,18838.65,21036.85,21769.58,22355.77,6471.68
HTTP Waiting (TTFB) (ms),657.14,501.28,968.85,1971.41,501.28,501.28,501.28,501.28,501.28,735.07,875.34,922.10,959.50,220.42
Input Sequence Length (tokens),37.33,12.00,83.00,112.00,12.10,12.50,13.00,14.50,17.00,50.00,69.80,76.40,81.68,32.36
Inter Chunk Latency (ms),325.52,261.51,599.47,41340.69,268.13,288.22,289.90,300.55,321.33,349.74,355.92,357.74,396.82,36.37
Inter Token Latency (ms),106.24,93.74,131.21,318.73,93.74,93.74,93.74,93.76,93.78,112.50,123.72,127.47,130.46,17.65
OSL Mismatch Diff % (%),-2.76,-4.55,-1.78,-8.29,-4.49,-4.29,-4.03,-3.26,-1.97,-1.87,-1.81,-1.80,-1.78,1.26
Output Sequence Length (tokens),126.00,63.00,166.00,378.00,64.72,71.60,80.20,106.00,149.00,157.50,162.60,164.30,165.66,45.09
