Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),19.77,0.00,34.70,,,,,,22.11,,26.26,26.45,26.86,5.86
Active Decode Throughput Per User (tokens/sec/user),7.83,0.00,16.37,,,,,,7.77,,8.75,8.82,8.95,0.60
Active Prefill Throughput (tokens/sec),46.88,16.61,46.89,,,,,,46.89,,46.89,46.89,46.89,0.44
Active Prefill Throughput Per User (tokens/sec/user),15.63,14.65,17.58,,,,,,15.63,,15.63,15.63,15.63,0.03
Active Total Throughput (tokens/sec),20.93,7.33,46.89,,,,,,23.85,,23.85,23.85,46.89,7.83
Credit-to-Start Latency (ms),1.35,1.14,1.60,4.04,1.14,1.16,1.17,1.22,1.30,1.45,1.54,1.57,1.59,0.19
Decode Duration (ms),19181.14,14259.45,22918.68,57543.42,14381.57,14870.04,15480.62,17312.37,20365.28,21641.98,22408.00,22663.34,22867.62,3632.92
E2E Output Token Throughput (tokens/sec/user),7.58,7.06,7.92,22.74,7.07,7.13,7.20,7.41,7.76,7.84,7.89,7.90,7.91,0.37
Effective Concurrency,2.53,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.68
Effective Decode Concurrency,2.40,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.84
Effective Decode Throughput (tokens/sec),18.92,0.00,34.70,,,,,,21.82,,26.22,26.40,26.86,6.99
Effective Decode Throughput Per User (tokens/sec/user),7.49,0.00,16.37,,,,,,7.63,,8.74,8.80,8.95,1.69
Effective Latency (CO-aware) (ms),20206.15,15284.44,23943.65,60618.45,15406.56,15895.03,16505.62,18337.40,21390.36,22667.01,23432.99,23688.32,23892.58,3632.93
Effective Prefill Concurrency,0.13,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.61
Effective Prefill Throughput (tokens/sec),2.00,0.00,46.89,,,,,,0.00,,0.00,0.00,46.89,9.48
Effective Prefill Throughput Per User (tokens/sec/user),0.67,0.00,17.58,,,,,,0.00,,0.00,0.00,15.63,3.16
Effective Total Throughput (tokens/sec),20.92,0.00,46.89,,,,,,23.85,,23.85,23.85,46.89,7.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,61.33,46.00,73.00,184.00,46.38,47.90,49.80,55.50,65.00,69.00,71.40,72.20,72.84,11.32
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
