Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),19.71,0.00,38.72,,,,,,23.65,,28.67,29.21,29.56,7.44
Active Decode Throughput Per User (tokens/sec/user),8.42,0.00,15.43,,,,,,8.43,,9.56,9.74,9.85,0.76
Active Prefill Throughput (tokens/sec),55.99,15.80,56.00,,,,,,56.00,,56.00,56.00,56.00,0.62
Active Prefill Throughput Per User (tokens/sec/user),18.67,15.80,22.97,,,,,,18.67,,18.67,18.67,18.67,0.08
Active Total Throughput (tokens/sec),20.86,7.76,56.00,,,,,,26.35,,26.35,26.35,56.00,9.59
Credit-to-Start Latency (ms),1.66,1.39,1.95,4.98,1.39,1.41,1.44,1.52,1.64,1.80,1.89,1.92,1.94,0.23
Decode Duration (ms),16346.30,10657.21,21260.25,49038.91,10786.49,11303.63,11950.06,13889.33,17121.46,19190.85,20432.49,20846.37,21177.47,4363.24
E2E Output Token Throughput (tokens/sec/user),8.45,7.56,9.42,25.35,7.58,7.64,7.72,7.96,8.36,8.89,9.21,9.32,9.40,0.76
Effective Concurrency,2.33,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.77
Effective Decode Concurrency,2.23,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.86
Effective Decode Throughput (tokens/sec),19.08,0.00,38.72,,,,,,18.15,,28.67,29.21,29.56,8.10
Effective Decode Throughput Per User (tokens/sec/user),8.15,0.00,15.43,,,,,,8.34,,9.56,9.74,9.85,1.66
Effective Latency (CO-aware) (ms),17044.32,11355.13,21958.39,51132.97,11484.42,12001.56,12647.99,14587.29,17819.45,19888.92,21130.60,21544.50,21875.61,4363.32
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.53
Effective Prefill Throughput (tokens/sec),1.78,0.00,56.00,,,,,,0.00,,0.00,0.00,56.00,9.81
Effective Prefill Throughput Per User (tokens/sec/user),0.59,0.00,22.97,,,,,,0.00,,0.00,0.00,18.67,3.27
Effective Total Throughput (tokens/sec),20.85,0.00,56.00,,,,,,26.35,,26.35,26.35,56.00,9.59
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.67,35.00,68.00,158.00,35.40,37.00,39.00,45.00,55.00,61.50,65.40,66.70,67.74,13.57
