Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),7.43,0.00,20.20,,,,,,7.29,,9.01,10.02,10.65,1.34
Active Decode Throughput Per User (tokens/sec/user),7.43,0.00,20.20,,,,,,7.29,,9.01,10.02,10.65,1.34
Active Prefill Throughput (tokens/sec),187.40,26.68,281.44,,,,,,197.44,,281.44,281.44,281.44,97.93
Active Prefill Throughput Per User (tokens/sec/user),187.40,26.68,281.44,,,,,,197.44,,281.44,281.44,281.44,97.93
Active Total Throughput (tokens/sec),16.82,6.64,281.44,,,,,,7.37,,9.55,26.68,281.44,45.86
Credit-to-Start Latency (ms),1.20,1.06,1.46,3.61,1.06,1.06,1.06,1.08,1.10,1.28,1.39,1.42,1.45,0.18
Decode Duration (ms),15926.74,7332.15,22387.77,47780.21,7546.72,8404.97,9477.78,12696.22,18060.29,20224.03,21522.27,21955.02,22301.22,6328.87
E2E Output Token Throughput (tokens/sec/user),7.36,6.35,8.51,22.07,6.37,6.44,6.53,6.78,7.21,7.86,8.25,8.38,8.48,0.89
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.22
Effective Decode Throughput (tokens/sec),7.04,0.00,20.20,,,,,,7.24,,8.91,10.02,10.65,2.11
Effective Decode Throughput Per User (tokens/sec/user),7.04,0.00,20.20,,,,,,7.24,,8.91,10.02,10.65,2.11
Effective Latency (CO-aware) (ms),16804.86,8346.17,23026.34,50414.58,8560.09,9415.76,10485.35,13694.12,19042.07,21034.21,22229.49,22627.92,22946.66,6198.43
Effective Prefill Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.22
Effective Prefill Throughput (tokens/sec),9.78,0.00,281.44,,,,,,0.00,,0.00,26.68,281.44,47.30
Effective Prefill Throughput Per User (tokens/sec/user),9.78,0.00,281.44,,,,,,0.00,,0.00,26.68,281.44,47.30
Effective Total Throughput (tokens/sec),16.82,0.00,281.44,,,,,,7.37,,9.55,26.68,281.44,45.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.67,25.00,71.00,152.00,25.62,28.10,31.20,40.50,56.00,63.50,68.00,69.50,70.70,19.15
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.00,0.42,0.67,0.75,0.82,0.39
HTTP Connection Overhead (ms),0.40,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.59,0.95,1.07,1.16,0.56
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),13.63,6.95,18.99,40.89,7.11,7.75,8.55,10.95,14.96,16.97,18.18,18.59,18.91,5.01
HTTP Data Sent (KB),1.12,0.24,1.80,3.36,0.26,0.35,0.46,0.78,1.32,1.56,1.71,1.75,1.79,0.65
HTTP DNS Lookup (ms),0.12,0.00,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.18,0.28,0.32,0.35,0.17
HTTP Duration (excl. conn) (ms),16803.50,8344.99,23024.69,50410.49,8558.90,9414.57,10484.15,13692.90,19040.81,21032.75,22227.91,22626.30,22945.01,6198.26
HTTP Receiving (ms),16244.42,7688.38,22697.65,48733.25,7901.56,8754.27,9820.15,13017.80,18347.22,20522.44,21827.56,22262.60,22610.64,6305.33
HTTP Sending (ms),0.71,0.32,1.31,2.14,0.32,0.34,0.36,0.41,0.51,0.91,1.15,1.23,1.30,0.43
