Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),8.20,0.00,17.83,,,,,,8.13,,9.24,9.36,9.50,0.77
Active Decode Throughput Per User (tokens/sec/user),8.20,0.00,17.83,,,,,,8.13,,9.24,9.36,9.50,0.77
Active Prefill Throughput (tokens/sec),81.53,17.38,189.71,,,,,,18.73,,189.71,189.71,189.71,82.81
Active Prefill Throughput Per User (tokens/sec/user),81.53,17.38,189.71,,,,,,18.73,,189.71,189.71,189.71,82.81
Active Total Throughput (tokens/sec),12.52,8.05,189.71,,,,,,8.24,,8.37,17.38,189.71,26.50
Credit-to-Start Latency (ms),1.36,1.16,1.50,4.07,1.17,1.19,1.21,1.28,1.41,1.45,1.48,1.49,1.49,0.14
Decode Duration (ms),14437.74,8364.47,20035.33,43313.22,8495.45,9019.37,9674.26,11638.95,14913.42,17474.37,19010.95,19523.14,19932.89,4776.46
E2E Output Token Throughput (tokens/sec/user),7.73,7.58,7.99,23.19,7.58,7.58,7.59,7.60,7.62,7.80,7.91,7.95,7.98,0.18
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),7.71,0.00,17.83,,,,,,8.00,,9.20,9.36,9.50,2.07
Effective Decode Throughput Per User (tokens/sec/user),7.71,0.00,17.83,,,,,,8.00,,9.20,9.36,9.50,2.07
Effective Latency (CO-aware) (ms),15342.64,9367.40,20784.45,46027.93,9497.58,10018.27,10669.14,12621.74,15876.07,18330.26,19802.78,20293.61,20686.28,4676.23
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),4.80,0.00,189.71,,,,,,0.00,,0.00,17.38,189.71,27.79
Effective Prefill Throughput Per User (tokens/sec/user),4.80,0.00,189.71,,,,,,0.00,,0.00,17.38,189.71,27.79
Effective Total Throughput (tokens/sec),12.51,0.00,189.71,,,,,,8.24,,8.37,17.38,189.71,26.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.67,28.00,64.00,140.00,28.40,30.00,32.00,38.00,48.00,56.00,60.80,62.40,63.68,14.73
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.36,0.00,1.07,1.07,0.00,0.00,0.00,0.00,0.00,0.53,0.85,0.96,1.04,0.50
HTTP Connection Overhead (ms),0.56,0.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,0.84,1.34,1.51,1.64,0.79
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
