Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),14.57,0.00,31.58,,,,,,15.72,,18.69,19.53,20.59,4.22
Active Decode Throughput Per User (tokens/sec/user),7.87,0.00,19.03,,,,,,8.03,,9.50,9.90,10.40,1.44
Active Prefill Throughput (tokens/sec),220.09,4.68,907.65,,,,,,143.42,,566.07,707.85,907.65,228.62
Active Prefill Throughput Per User (tokens/sec/user),216.60,4.68,907.65,,,,,,143.42,,566.07,707.85,907.65,224.46
Active Total Throughput (tokens/sec),46.60,6.01,916.04,,,,,,16.09,,89.11,247.64,671.42,115.00
Credit-to-Start Latency (ms),1.30,0.54,2.09,65.18,0.55,0.68,0.86,1.06,1.24,1.61,1.89,1.95,2.04,0.39
Decode Duration (ms),15728.34,3230.57,33566.69,786416.77,4174.65,7233.31,8050.61,12469.21,14779.43,19595.35,23535.16,24417.54,30962.43,5980.78
E2E Output Token Throughput (tokens/sec/user),7.51,5.60,9.68,375.34,5.62,6.31,6.64,7.01,7.34,7.93,8.73,9.16,9.66,0.89
Effective Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.19
Effective Decode Concurrency,1.81,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.40
Effective Decode Throughput (tokens/sec),14.48,0.00,31.58,,,,,,15.70,,18.69,19.51,20.59,4.35
Effective Decode Throughput Per User (tokens/sec/user),7.82,0.00,19.03,,,,,,8.02,,9.50,9.90,10.36,1.56
Effective Latency (CO-aware) (ms),17026.28,4605.82,34782.04,851313.92,5504.05,8355.79,9363.02,13773.77,16057.93,20981.49,24868.24,25748.86,32234.21,5985.04
Effective Prefill Concurrency,0.15,0.00,2.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),32.12,0.00,907.65,,,,,,0.00,,82.13,238.63,671.42,116.90
Effective Prefill Throughput Per User (tokens/sec/user),31.61,0.00,907.65,,,,,,0.00,,82.13,238.63,662.83,114.89
Effective Total Throughput (tokens/sec),46.60,0.00,916.04,,,,,,16.09,,89.11,247.64,671.42,114.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.08,12.00,103.00,2454.00,14.94,24.45,26.00,38.25,46.50,60.00,73.00,75.75,95.16,17.83
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.12,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.16
HTTP Connection Overhead (ms),0.02,0.00,1.12,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.16
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),13.20,3.42,27.22,659.85,4.21,6.72,7.23,10.36,12.52,16.05,19.45,20.16,25.21,4.65
HTTP Data Sent (KB),1.61,0.15,6.71,80.26,0.15,0.16,0.16,0.18,1.09,2.39,3.78,4.67,6.22,1.59
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17024.84,4604.61,34779.89,851241.80,5502.86,8354.03,9361.92,13772.51,16056.23,20980.12,24866.98,25747.60,32232.81,5985.06
HTTP Receiving (ms),16059.19,3585.33,33847.17,802959.46,4501.44,7551.36,8350.48,12788.73,15099.77,20019.33,23837.60,24757.80,31256.93,5983.66
HTTP Sending (ms),0.30,0.11,1.51,15.15,0.11,0.16,0.23,0.26,0.28,0.31,0.34,0.35,0.97,0.18
HTTP Total Time (ms),17024.86,4604.61,34779.89,851242.92,5502.86,8354.65,9361.92,13772.51,16056.23,20980.12,24866.98,25747.60,32232.81,5985.03
HTTP Waiting (TTFB) (ms),965.34,627.01,1236.89,48267.19,627.79,785.99,918.72,934.45,975.75,1012.32,1023.44,1032.14,1196.59,98.47
Input Sequence Length (tokens),278.54,6.00,1244.00,13927.00,6.49,8.00,8.90,15.00,182.50,438.50,692.70,856.80,1154.33,297.66
Inter Chunk Latency (ms),334.08,253.71,970.76,786416.77,283.23,287.44,289.77,300.12,327.93,351.54,358.73,372.05,633.97,58.11
Inter Token Latency (ms),124.17,90.81,166.34,6208.66,92.79,97.20,104.44,115.11,126.73,131.39,142.63,144.53,158.14,15.07
OSL Mismatch Diff % (%),-2.69,-10.34,-1.20,-134.29,-8.28,-4.71,-3.96,-2.88,-2.39,-1.91,-1.68,-1.54,-1.34,1.43
Output Sequence Length (tokens),126.58,26.00,246.00,6329.00,35.80,60.80,72.80,101.25,122.50,154.25,175.80,192.10,222.97,41.67
Output Token Throughput Per User (tokens/sec/user),8.18,6.01,11.01,408.89,6.34,6.92,7.01,7.61,7.89,8.69,9.58,10.29,10.78,1.04
Prefill Throughput Per User (tokens/sec/user),213.70,4.68,907.65,10684.86,4.72,6.39,7.33,12.23,140.76,329.31,573.55,687.59,844.31,228.80
Reasoning Token Count (tokens),126.58,26.00,246.00,6329.00,35.80,60.80,72.80,101.25,122.50,154.25,175.80,192.10,222.97,41.67
Request Latency (ms),17024.97,4604.75,34780.06,851248.74,5502.99,8354.18,9362.00,13772.66,16056.38,20980.26,24867.13,25747.75,32232.93,5985.06
Time to First Token (ms),1296.64,916.57,1594.97,64831.97,974.58,1218.74,1226.38,1255.04,1295.97,1330.16,1366.57,1441.80,1554.49,97.56
Time to Second Token (ms),325.78,285.78,397.83,16288.95,286.46,287.67,288.93,300.87,326.62,347.90,356.77,359.07,379.27,26.71
Tokens In Flight (tokens),644.42,0.00,1898.14,,,,,,577.53,,1228.50,1562.14,1823.11,406.91

Metric,Value
Benchmark Duration (sec),433.62
Input Token Throughput (tokens/sec),32.12
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),14.60
Request Count,50.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),13927.00
Total Output Sequence Length (tokens),6329.00
Total Reasoning Tokens (tokens),6329.00
Total Token Throughput (tokens/sec),46.71
