Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),61.99,0.00,745.71,,,,,,71.16,,73.77,74.43,79.24,22.44
Active Decode Throughput Per User (tokens/sec/user),24.25,0.00,248.57,,,,,,24.22,,25.19,25.67,26.54,5.51
Active Prefill Throughput (tokens/sec),208.37,83.20,245.24,,,,,,245.24,,245.24,245.24,245.24,67.21
Active Prefill Throughput Per User (tokens/sec/user),82.65,79.78,85.68,,,,,,81.75,,85.68,85.68,85.68,1.65
Active Total Throughput (tokens/sec),66.25,24.33,245.24,,,,,,72.38,,72.38,72.38,245.24,30.66
Credit-to-Start Latency (ms),1.55,1.25,1.81,4.66,1.26,1.29,1.32,1.42,1.60,1.70,1.77,1.79,1.81,0.23
Decode Duration (ms),5907.41,4546.51,6904.25,17722.22,4581.01,4719.01,4891.50,5408.99,6271.46,6587.85,6777.69,6840.97,6891.59,996.37
E2E Output Token Throughput (tokens/sec/user),23.64,23.24,23.98,70.91,23.25,23.28,23.33,23.47,23.69,23.83,23.92,23.95,23.97,0.30
Effective Concurrency,2.58,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.65
Effective Decode Concurrency,2.51,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.75
Effective Decode Throughput (tokens/sec),60.69,0.00,745.71,,,,,,70.87,,73.77,74.43,79.24,23.91
Effective Decode Throughput Per User (tokens/sec/user),23.74,0.00,248.57,,,,,,24.22,,25.19,25.60,26.54,6.46
Effective Latency (CO-aware) (ms),6067.30,4734.86,7050.10,18201.91,4768.50,4903.07,5071.28,5575.90,6416.94,6733.52,6923.47,6986.79,7037.44,976.99
Effective Prefill Concurrency,0.07,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.43
Effective Prefill Throughput (tokens/sec),5.53,0.00,245.24,,,,,,0.00,,0.00,0.00,245.24,35.24
Effective Prefill Throughput Per User (tokens/sec/user),2.19,0.00,85.68,,,,,,0.00,,0.00,0.00,81.75,13.29
Effective Total Throughput (tokens/sec),66.22,0.00,245.24,,,,,,72.38,,72.38,72.38,245.24,30.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.33,110.00,168.00,430.00,110.84,114.20,118.40,131.00,152.00,160.00,164.80,166.40,167.68,24.46
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.26,1.14,1.46,3.78,1.14,1.14,1.15,1.16,1.19,1.32,1.40,1.43,1.45,0.14
HTTP Connection Overhead (ms),1.76,1.56,2.00,5.28,1.57,1.58,1.59,1.64,1.72,1.86,1.94,1.97,1.99,0.18
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.80,28.37,43.07,110.41,28.59,29.43,30.49,33.67,38.96,41.02,42.25,42.66,42.99,6.19
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.50,0.43,0.54,1.49,0.43,0.44,0.45,0.48,0.53,0.53,0.54,0.54,0.54,0.05
HTTP Duration (excl. conn) (ms),6065.53,4733.03,7048.05,18196.59,4766.68,4901.28,5069.52,5574.27,6415.51,6731.78,6921.54,6984.79,7035.40,976.97
HTTP Receiving (ms),5907.45,4546.56,6904.29,17722.36,4581.06,4719.05,4891.55,5409.03,6271.51,6587.90,6777.73,6841.01,6891.64,996.37
HTTP Sending (ms),1.80,1.70,1.99,5.41,1.70,1.70,1.70,1.71,1.72,1.86,1.94,1.97,1.99,0.13
HTTP Total Time (ms),6067.29,4734.74,7049.61,18201.86,4768.40,4903.02,5071.30,5576.13,6417.51,6733.56,6923.19,6986.40,7036.97,976.95
