Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),41.59,0.00,74.25,,,,,,46.95,,48.57,49.04,50.60,10.24
Active Decode Throughput Per User (tokens/sec/user),23.68,0.00,49.07,,,,,,23.73,,24.69,25.06,25.73,1.38
Active Prefill Throughput (tokens/sec),334.42,101.09,506.38,,,,,,189.67,,506.38,506.38,506.38,171.06
Active Prefill Throughput Per User (tokens/sec/user),297.70,94.83,506.38,,,,,,101.09,,506.38,506.38,506.38,205.00
Active Total Throughput (tokens/sec),53.48,23.45,529.83,,,,,,47.01,,47.42,47.42,529.83,68.34
Credit-to-Start Latency (ms),1.37,0.97,1.63,4.10,0.98,1.03,1.08,1.24,1.50,1.57,1.61,1.62,1.63,0.28
Decode Duration (ms),5407.46,2759.34,7163.74,16222.38,2830.14,3113.34,3467.33,4529.32,6299.29,6731.52,6990.85,7077.30,7146.46,1905.47
E2E Output Token Throughput (tokens/sec/user),23.10,22.80,23.49,69.31,22.80,22.82,22.84,22.91,23.02,23.25,23.40,23.44,23.48,0.29
Effective Concurrency,1.78,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.41
Effective Decode Concurrency,1.73,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Throughput (tokens/sec),40.97,0.00,74.25,,,,,,46.92,,48.56,49.04,50.60,11.34
Effective Decode Throughput Per User (tokens/sec/user),23.33,0.00,49.07,,,,,,23.72,,24.69,25.06,25.73,3.18
Effective Latency (CO-aware) (ms),5570.61,2896.32,7343.43,16711.82,2967.84,3253.90,3611.47,4684.20,6472.07,6907.75,7169.16,7256.29,7326.00,1924.17
Effective Prefill Concurrency,0.05,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.28
Effective Prefill Throughput (tokens/sec),12.48,0.00,506.38,,,,,,0.00,,0.00,0.00,506.38,71.49
