Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),75.54,0.00,357.04,,,,,,80.41,,86.82,87.76,90.72,16.34
Active Decode Throughput Per User (tokens/sec/user),19.92,0.00,89.26,,,,,,20.29,,21.79,22.02,23.01,2.62
Active Prefill Throughput (tokens/sec),1215.19,44.49,3380.23,,,,,,1156.59,,2536.03,2799.12,2834.76,841.34
Active Prefill Throughput Per User (tokens/sec/user),1185.41,44.49,2834.76,,,,,,1156.59,,2536.03,2799.12,2834.76,819.43
Active Total Throughput (tokens/sec),202.10,20.58,3419.67,,,,,,79.84,,107.40,1288.97,2636.15,455.57
Credit-to-Start Latency (ms),1.00,0.40,3.09,49.79,0.43,0.50,0.65,0.71,0.85,1.11,1.58,1.99,2.72,0.50
Decode Duration (ms),6554.58,3050.81,12070.27,327729.24,3393.59,3954.21,4370.89,5466.61,6307.64,7544.87,8333.22,9188.37,11868.84,1762.72
E2E Output Token Throughput (tokens/sec/user),19.51,18.64,20.44,975.46,18.69,18.83,18.89,19.23,19.46,19.80,20.16,20.35,20.44,0.45
Effective Concurrency,3.88,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.52
Effective Decode Concurrency,3.77,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.61
Effective Decode Throughput (tokens/sec),75.37,0.00,357.04,,,,,,80.40,,86.82,87.76,90.72,16.70
Effective Decode Throughput Per User (tokens/sec/user),19.87,0.00,89.26,,,,,,20.29,,21.79,22.02,23.01,2.78
Effective Latency (CO-aware) (ms),6753.56,3270.49,12350.87,337677.92,3596.87,4147.30,4589.20,5639.69,6508.25,7760.69,8507.72,9382.27,12116.31,1768.26
Effective Prefill Concurrency,0.11,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),126.72,0.00,3380.23,,,,,,0.00,,47.66,1229.03,2577.85,460.15
Effective Prefill Throughput Per User (tokens/sec/user),123.61,0.00,2834.76,,,,,,0.00,,47.66,1171.59,2536.03,448.63
Effective Total Throughput (tokens/sec),202.09,0.00,3419.67,,,,,,79.84,,107.40,1288.97,2636.15,455.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,132.10,62.00,249.00,6605.00,67.88,79.60,89.50,107.25,129.50,154.25,168.10,182.40,244.59,36.10
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.93,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.15
HTTP Connection Overhead (ms),0.04,0.00,1.37,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.20
HTTP Connection Reused (ratio),0.96,0.00,1.00,48.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),33.95,16.14,63.64,1697.63,17.64,20.59,23.11,27.65,33.30,39.61,43.11,46.71,62.51,9.17
HTTP Data Sent (KB),1.16,0.15,3.92,57.82,0.15,0.15,0.16,0.20,0.90,1.71,2.40,3.31,3.90,0.98
HTTP DNS Lookup (ms),0.01,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.06
HTTP Duration (excl. conn) (ms),6752.48,3268.03,12349.90,337623.78,3595.25,4146.72,4588.48,5638.04,6507.58,7759.63,8506.35,9381.49,12115.43,1768.33
HTTP Receiving (ms),6554.59,3050.81,12070.27,327729.38,3393.59,3954.21,4370.89,5466.61,6307.64,7544.89,8333.22,9188.38,11868.84,1762.72
HTTP Sending (ms),0.20,0.10,1.35,10.14,0.10,0.10,0.10,0.14,0.16,0.20,0.25,0.31,1.05,0.19
HTTP Total Time (ms),6752.51,3268.03,12349.90,337625.65,3595.25,4146.72,4588.48,5638.04,6507.58,7759.63,8506.35,9381.49,12115.43,1768.31
HTTP Waiting (TTFB) (ms),197.69,157.00,279.48,9884.26,159.70,162.95,164.30,170.26,191.82,219.37,233.36,256.72,273.03,30.08
Input Sequence Length (tokens),220.40,7.00,793.00,11020.00,7.00,8.00,9.00,15.25,169.50,345.25,463.20,657.70,769.97,201.78
