Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),24.42,0.00,13935.15,,,,,,24.46,,25.12,25.41,26.29,13.30
Active Decode Throughput Per User (tokens/sec/user),24.42,0.00,13935.15,,,,,,24.46,,25.12,25.41,26.29,13.30
Active Prefill Throughput (tokens/sec),1549.97,56.08,3503.12,,,,,,1358.73,,3147.44,3360.06,3503.12,1125.16
Active Prefill Throughput Per User (tokens/sec/user),1549.97,56.08,3503.12,,,,,,1358.73,,3147.44,3360.06,3503.12,1125.16
Active Total Throughput (tokens/sec),68.91,23.06,3503.12,,,,,,24.51,,25.04,25.14,1962.12,320.62
Credit-to-Start Latency (ms),0.75,0.34,2.55,37.60,0.36,0.38,0.40,0.57,0.66,0.92,1.06,1.23,1.97,0.35
Decode Duration (ms),5179.35,1163.83,10185.08,258967.53,1591.76,2672.68,3318.97,4176.06,5065.14,6284.90,6858.62,7900.49,9294.28,1650.81
E2E Output Token Throughput (tokens/sec/user),23.86,22.59,24.87,1192.84,22.60,22.72,22.92,23.61,23.92,24.26,24.41,24.45,24.75,0.52
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Decode Throughput (tokens/sec),23.70,0.00,13935.15,,,,,,24.44,,25.11,25.39,26.27,13.73
Effective Decode Throughput Per User (tokens/sec/user),23.70,0.00,13935.15,,,,,,24.44,,25.11,25.39,26.27,13.73
Effective Latency (CO-aware) (ms),5335.67,1283.86,10349.19,266783.36,1710.33,2790.97,3469.41,4348.80,5242.42,6400.19,6985.55,8029.14,9469.17,1652.49
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),45.18,0.00,3503.12,,,,,,0.00,,0.00,0.00,1962.12,323.87
Effective Prefill Throughput Per User (tokens/sec/user),45.18,0.00,3503.12,,,,,,0.00,,0.00,0.00,1962.12,323.87
Effective Total Throughput (tokens/sec),68.89,0.00,3503.12,,,,,,24.51,,25.04,25.14,1962.12,320.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.72,28.00,247.00,6336.00,37.80,66.85,82.20,103.00,124.00,154.00,169.00,189.40,221.52,39.83
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.60,7.46,63.45,1630.20,9.96,17.39,21.26,26.58,31.92,39.61,43.34,48.54,56.84,10.14
