Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.43,20.27,93.54,,,,,,63.48,,67.93,68.44,70.67,14.43
Active Decode Throughput Per User (tokens/sec/user),21.82,10.44,44.74,,,,,,21.81,,22.81,23.41,24.43,1.03
Active Prefill Throughput (tokens/sec),67.90,19.15,70.59,,,,,,70.59,,70.59,70.59,70.59,8.67
Active Prefill Throughput Per User (tokens/sec/user),23.23,19.15,30.52,,,,,,23.53,,23.53,23.53,23.53,0.99
Active Total Throughput (tokens/sec),56.64,21.90,70.59,,,,,,65.22,,65.22,70.59,70.59,14.21
Credit-to-Start Latency (ms),1.29,1.08,1.52,3.88,1.08,1.10,1.12,1.18,1.29,1.40,1.47,1.49,1.51,0.18
Decode Duration (ms),6557.26,5042.89,7670.83,19671.78,5081.19,5234.40,5425.92,6000.47,6958.06,7314.45,7528.28,7599.56,7656.58,1109.66
E2E Output Token Throughput (tokens/sec/user),20.15,19.76,20.50,60.44,19.77,19.80,19.84,19.97,20.18,20.34,20.43,20.47,20.49,0.30
Effective Concurrency,2.59,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.65
Effective Decode Concurrency,2.38,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.90
Effective Decode Throughput (tokens/sec),51.87,0.00,93.54,,,,,,63.05,,67.81,68.25,70.67,19.48
Effective Decode Throughput Per User (tokens/sec/user),20.42,0.00,44.74,,,,,,21.72,,22.80,23.41,24.26,5.44
Effective Latency (CO-aware) (ms),7115.99,5568.23,8246.45,21347.97,5607.53,5764.74,5961.24,6550.76,7533.29,7889.87,8103.82,8175.13,8232.19,1132.50
Effective Prefill Concurrency,0.20,0.00,3.00,,,,,,0.00,,0.00,3.00,3.00,0.74
Effective Prefill Throughput (tokens/sec),4.73,0.00,70.59,,,,,,0.00,,0.00,70.59,70.59,17.43
Effective Prefill Throughput Per User (tokens/sec/user),1.62,0.00,30.52,,,,,,0.00,,0.00,23.53,23.53,5.92
Effective Total Throughput (tokens/sec),56.60,0.00,70.59,,,,,,65.22,,65.22,70.59,70.59,14.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.33,110.00,168.00,430.00,110.84,114.20,118.40,131.00,152.00,160.00,164.80,166.40,167.68,24.46
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.04,0.90,1.28,3.11,0.90,0.90,0.91,0.92,0.93,1.10,1.21,1.24,1.27,0.17
HTTP Connection Overhead (ms),1.50,1.33,1.82,4.50,1.33,1.33,1.33,1.34,1.35,1.59,1.72,1.77,1.81,0.23
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.80,28.31,43.10,110.39,28.53,29.38,30.45,33.65,38.98,41.04,42.27,42.69,43.02,6.23
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.46,0.42,0.54,1.39,0.42,0.42,0.42,0.42,0.43,0.48,0.52,0.53,0.54,0.06
HTTP Duration (excl. conn) (ms),7114.52,5567.00,8245.03,21343.56,5606.29,5763.45,5959.91,6549.27,7531.54,7888.28,8102.33,8173.68,8230.76,1132.37
HTTP Receiving (ms),6557.54,5043.01,7671.13,19672.62,5081.32,5234.56,5426.10,6000.74,6958.48,7314.80,7528.60,7599.86,7656.88,1109.75
HTTP Sending (ms),1.44,1.25,1.82,4.32,1.25,1.25,1.25,1.25,1.25,1.53,1.71,1.76,1.81,0.27
HTTP Total Time (ms),7116.02,5568.33,8246.38,21348.06,5607.63,5764.83,5961.33,6550.84,7533.35,7889.87,8103.77,8175.08,8232.12,1132.44
HTTP Waiting (TTFB) (ms),555.54,522.74,572.65,1666.63,523.71,527.59,532.44,546.99,571.24,571.94,572.37,572.51,572.62,23.20
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),46.07,40.94,58.56,19671.78,41.13,43.22,43.96,44.70,45.96,46.97,48.33,49.19,55.99,2.24
Inter Token Latency (ms),46.00,45.66,46.27,138.00,45.67,45.70,45.74,45.87,46.08,46.17,46.23,46.25,46.26,0.25
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
