Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),23.24,0.00,21972.60,,,,,,22.97,,25.07,25.34,25.95,14.50
Active Decode Throughput Per User (tokens/sec/user),23.24,0.00,21972.60,,,,,,22.97,,25.07,25.34,25.95,14.50
Active Prefill Throughput (tokens/sec),1747.21,48.48,3662.51,,,,,,1766.79,,3301.89,3482.75,3662.51,1140.65
Active Prefill Throughput Per User (tokens/sec/user),1747.21,48.48,3662.51,,,,,,1766.79,,3301.89,3482.75,3662.51,1140.65
Active Total Throughput (tokens/sec),73.03,21.80,3662.51,,,,,,22.75,,24.93,25.10,2116.72,347.78
Credit-to-Start Latency (ms),0.79,0.34,2.32,39.30,0.35,0.39,0.46,0.59,0.67,1.05,1.15,1.24,1.80,0.34
Decode Duration (ms),5477.76,1108.26,11140.37,273888.10,1506.66,2902.99,3291.59,4533.86,5273.73,6780.61,7464.18,7909.42,9840.65,1787.22
E2E Output Token Throughput (tokens/sec/user),22.79,21.53,24.80,1139.72,21.57,21.62,21.70,21.97,22.29,23.76,24.40,24.53,24.71,1.01
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Decode Throughput (tokens/sec),22.56,0.00,21972.60,,,,,,22.92,,25.05,25.33,25.95,14.81
Effective Decode Throughput Per User (tokens/sec/user),22.56,0.00,21972.60,,,,,,22.92,,25.05,25.33,25.95,14.81
Effective Latency (CO-aware) (ms),5641.48,1301.75,11380.87,282074.08,1663.15,3077.90,3423.25,4681.78,5409.78,6979.38,7684.36,8063.78,10037.82,1790.05
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),50.45,0.00,3662.51,,,,,,0.00,,0.00,0.00,2116.72,350.97
Effective Prefill Throughput Per User (tokens/sec/user),50.45,0.00,3662.51,,,,,,0.00,,0.00,0.00,2116.72,350.97
