Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),146.29,0.00,233.07,,,,,,162.12,,182.37,185.75,195.34,42.61
Active Decode Throughput Per User (tokens/sec/user),20.06,0.00,46.48,,,,,,21.12,,22.95,23.25,24.45,3.55
Active Prefill Throughput (tokens/sec),1163.22,41.09,2657.75,,,,,,1077.24,,2326.56,2573.99,2657.75,848.11
Active Prefill Throughput Per User (tokens/sec/user),1076.68,35.14,2573.99,,,,,,1077.24,,2192.02,2326.56,2573.99,788.28
Active Total Throughput (tokens/sec),364.05,21.74,2767.17,,,,,,165.34,,1111.40,2098.53,2704.78,580.15
Credit-to-Start Latency (ms),1.49,0.42,4.19,74.53,0.44,0.63,0.73,0.89,1.16,1.74,2.95,3.39,4.04,0.90
Decode Duration (ms),6345.39,1599.21,12137.24,317269.27,1996.94,3105.00,3825.49,5077.63,6297.77,7553.60,9069.14,9642.19,11140.35,2046.70
E2E Output Token Throughput (tokens/sec/user),19.61,15.15,21.32,980.52,16.33,17.66,17.85,18.65,20.14,20.73,21.03,21.25,21.30,1.35
Effective Concurrency,7.49,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.55
Effective Decode Concurrency,7.26,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.62
Effective Decode Throughput (tokens/sec),145.74,0.00,233.07,,,,,,162.07,,182.37,185.75,195.34,43.46
Effective Decode Throughput Per User (tokens/sec/user),19.99,0.00,46.48,,,,,,21.12,,22.95,23.25,24.45,3.75
Effective Latency (CO-aware) (ms),6550.76,1914.77,12289.11,327538.00,2266.05,3311.52,4005.69,5327.49,6502.94,7775.27,9270.11,9820.80,11317.49,2038.41
Effective Prefill Concurrency,0.23,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.68
Effective Prefill Throughput (tokens/sec),218.28,0.00,2657.75,,,,,,0.00,,965.97,1971.81,2573.99,584.16
Effective Prefill Throughput Per User (tokens/sec/user),202.04,0.00,2573.99,,,,,,0.00,,965.97,1790.05,2326.56,541.59
Effective Total Throughput (tokens/sec),364.03,0.00,2767.17,,,,,,165.34,,1111.40,2098.53,2704.78,580.13
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.36,29.00,249.00,6418.00,38.80,69.60,83.20,104.00,125.00,154.25,170.70,195.10,225.97,40.26
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,1.34,5.17,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.96,1.20,0.31
HTTP Connection Overhead (ms),0.15,0.00,1.93,7.40,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.34,1.74,0.45
HTTP Connection Reused (ratio),0.90,0.00,1.00,45.00,0.00,0.00,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),33.02,7.73,63.74,1650.76,10.22,18.07,21.52,26.83,32.15,39.60,43.77,50.01,57.86,10.24
HTTP Data Sent (KB),1.03,0.15,3.48,51.67,0.15,0.15,0.16,0.18,0.77,1.57,2.55,2.93,3.29,0.96
HTTP DNS Lookup (ms),0.04,0.00,0.59,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.39,0.54,0.14
HTTP Duration (excl. conn) (ms),6549.16,1914.30,12287.57,327458.23,2265.32,3309.97,4004.68,5326.54,6501.20,7773.84,9269.34,9819.55,11315.10,2038.35
HTTP Receiving (ms),6345.39,1599.23,12137.25,317269.74,1996.95,3105.05,3825.50,5077.62,6297.78,7553.62,9069.14,9642.20,11140.36,2046.69
HTTP Sending (ms),0.33,0.10,1.86,16.43,0.10,0.10,0.13,0.16,0.19,0.27,0.52,1.34,1.75,0.39
HTTP Total Time (ms),6549.31,1914.30,12287.57,327465.64,2265.32,3310.72,4004.68,5326.54,6501.20,7773.84,9269.34,9819.55,11315.10,2038.24
HTTP Waiting (TTFB) (ms),203.44,142.68,314.96,10172.06,144.19,151.46,158.63,172.43,198.39,225.34,255.00,271.24,294.87,39.24
Input Sequence Length (tokens),190.78,6.00,701.00,9539.00,6.49,7.45,8.90,11.25,134.00,305.25,506.60,580.55,652.49,198.38
