Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),63.08,22.34,114.74,,,,,,69.32,,72.01,72.53,75.06,11.88
Active Decode Throughput Per User (tokens/sec/user),23.40,11.35,38.25,,,,,,23.46,,24.18,24.38,25.02,0.68
Active Prefill Throughput (tokens/sec),231.73,80.08,249.60,,,,,,249.60,,249.60,249.60,249.60,33.71
Active Prefill Throughput Per User (tokens/sec/user),83.53,80.08,87.33,,,,,,83.20,,84.76,84.76,84.76,0.67
Active Total Throughput (tokens/sec),68.12,23.49,249.60,,,,,,70.14,,70.14,70.14,249.60,30.87
Credit-to-Start Latency (ms),1.73,1.16,2.18,5.19,1.18,1.23,1.30,1.51,1.85,2.01,2.11,2.15,2.17,0.42
Decode Duration (ms),6585.27,5275.04,7279.25,19755.80,5313.57,5467.69,5660.34,6238.28,7201.51,7240.38,7263.70,7271.48,7277.70,927.01
E2E Output Token Throughput (tokens/sec/user),22.85,22.62,22.98,68.55,22.63,22.66,22.69,22.79,22.95,22.96,22.97,22.97,22.98,0.16
Effective Concurrency,2.71,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.49
Effective Decode Concurrency,2.64,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.64
Effective Decode Throughput (tokens/sec),61.64,0.00,114.74,,,,,,69.21,,72.00,72.53,75.06,15.06
Effective Decode Throughput Per User (tokens/sec/user),22.87,0.00,38.25,,,,,,23.45,,24.12,24.38,25.02,3.56
Effective Latency (CO-aware) (ms),6778.76,5483.34,7487.25,20336.28,5520.99,5671.58,5859.81,6424.52,7365.69,7426.47,7462.94,7475.09,7484.82,917.34
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.46
Effective Prefill Throughput (tokens/sec),6.40,0.00,249.60,,,,,,0.00,,0.00,0.00,249.60,38.40
Effective Prefill Throughput Per User (tokens/sec/user),2.31,0.00,87.33,,,,,,0.00,,0.00,0.00,83.20,13.69
Effective Total Throughput (tokens/sec),68.04,0.00,249.60,,,,,,70.14,,70.14,70.14,249.60,30.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,154.67,124.00,171.00,464.00,124.90,128.50,133.00,146.50,169.00,170.00,170.60,170.80,170.96,21.70
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.15,0.96,1.47,3.45,0.96,0.96,0.97,0.99,1.02,1.25,1.38,1.42,1.46,0.23
HTTP Connection Overhead (ms),1.68,1.42,2.04,5.03,1.42,1.43,1.45,1.50,1.57,1.81,1.95,1.99,2.03,0.26
