Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),23.44,0.00,3952.19,,,,,,23.31,,25.58,25.91,26.40,6.60
Active Decode Throughput Per User (tokens/sec/user),23.44,0.00,3952.19,,,,,,23.31,,25.58,25.91,26.40,6.60
Active Prefill Throughput (tokens/sec),3434.50,47.17,10974.71,,,,,,3590.52,,5186.34,8567.91,10974.71,2204.46
Active Prefill Throughput Per User (tokens/sec/user),3434.50,47.17,10974.71,,,,,,3590.52,,5186.34,8567.91,10974.71,2204.46
Active Total Throughput (tokens/sec),62.70,21.71,10974.71,,,,,,23.16,,25.10,25.26,137.05,433.93
Credit-to-Start Latency (ms),1.83,0.38,22.35,91.51,0.49,0.66,0.72,0.90,1.33,1.84,2.36,2.77,12.85,2.99
Decode Duration (ms),21495.44,4871.71,34696.44,1074772.09,6714.93,11183.80,13830.94,17083.96,21562.74,25695.98,29214.64,32133.95,33699.32,6366.32
E2E Output Token Throughput (tokens/sec/user),23.22,21.36,25.17,1160.91,21.40,21.64,21.88,22.27,22.86,24.45,24.89,24.99,25.14,1.15
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),23.17,0.00,3952.19,,,,,,23.29,,25.57,25.91,26.40,7.03
Effective Decode Throughput Per User (tokens/sec/user),23.17,0.00,3952.19,,,,,,23.29,,25.57,25.91,26.40,7.03
Effective Latency (CO-aware) (ms),21748.40,4991.41,35056.63,1087419.99,6832.19,11334.28,14086.03,17336.49,21884.17,25856.52,29335.54,32402.98,33974.03,6370.18
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),39.52,0.00,10974.71,,,,,,0.00,,0.00,0.00,137.05,435.98
Effective Prefill Throughput Per User (tokens/sec/user),39.52,0.00,10974.71,,,,,,0.00,,0.00,0.00,137.05,435.98
Effective Total Throughput (tokens/sec),62.69,0.00,10974.71,,,,,,23.16,,25.10,25.26,137.05,433.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,504.40,113.00,813.00,25220.00,152.69,266.60,332.50,414.25,499.50,618.25,677.70,759.70,797.81,150.27
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
