Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),23.50,0.00,110.13,,,,,,23.94,,25.57,25.79,26.69,2.12
Active Decode Throughput Per User (tokens/sec/user),23.50,0.00,110.13,,,,,,23.94,,25.57,25.79,26.69,2.12
Active Prefill Throughput (tokens/sec),1613.20,106.18,3114.48,,,,,,169.90,,3114.48,3114.48,3114.48,1489.49
Active Prefill Throughput Per User (tokens/sec/user),1613.20,106.18,3114.48,,,,,,169.90,,3114.48,3114.48,3114.48,1489.49
Active Total Throughput (tokens/sec),35.01,22.06,3114.48,,,,,,24.80,,25.08,25.08,25.08,185.03
Credit-to-Start Latency (ms),1.54,1.15,2.02,4.63,1.15,1.18,1.21,1.30,1.46,1.74,1.91,1.97,2.01,0.36
Decode Duration (ms),20708.08,11681.48,30603.16,62124.25,11844.64,12497.29,13313.11,15760.55,19839.61,25221.38,28450.45,29526.80,30387.89,7749.11
E2E Output Token Throughput (tokens/sec/user),23.80,22.00,24.72,71.41,22.06,22.27,22.54,23.35,24.69,24.71,24.71,24.71,24.72,1.27
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.09
Effective Decode Throughput (tokens/sec),23.33,0.00,110.13,,,,,,23.91,,25.57,25.79,26.69,2.92
Effective Decode Throughput Per User (tokens/sec/user),23.33,0.00,110.13,,,,,,23.91,,25.57,25.79,26.69,2.92
Effective Latency (CO-aware) (ms),20860.67,11908.26,30726.74,62582.01,12069.03,12712.13,13516.01,15927.64,19947.01,25336.88,28570.79,29648.76,30511.14,7709.73
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.08
Effective Prefill Throughput (tokens/sec),11.68,0.00,3114.48,,,,,,0.00,,0.00,0.00,0.00,186.46
Effective Prefill Throughput Per User (tokens/sec/user),11.68,0.00,3114.48,,,,,,0.00,,0.00,0.00,0.00,186.46
Effective Total Throughput (tokens/sec),35.01,0.00,3114.48,,,,,,24.80,,25.08,25.08,25.08,185.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,486.67,293.00,675.00,1460.00,296.98,312.90,332.80,392.50,492.00,583.50,638.40,656.70,671.34,156.00
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.59,0.95,1.07,1.17,0.56
HTTP Connection Overhead (ms),0.61,0.00,1.83,1.83,0.00,0.00,0.00,0.00,0.00,0.92,1.46,1.65,1.79,0.86
HTTP Connection Reused (ratio),0.67,0.00,1.00,2.00,0.02,0.10,0.20,0.50,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),124.09,74.80,171.91,372.28,75.82,79.88,84.96,100.18,125.57,148.74,162.64,167.28,170.98,39.66
