Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),43.36,0.00,3370.41,,,,,,44.13,,48.47,49.25,50.50,8.39
Active Decode Throughput Per User (tokens/sec/user),22.00,0.00,1685.21,,,,,,22.11,,24.24,24.62,25.25,3.61
Active Prefill Throughput (tokens/sec),3871.64,45.45,11548.63,,,,,,3636.57,,8880.74,10278.93,11548.63,2839.46
Active Prefill Throughput Per User (tokens/sec/user),3871.09,45.45,11548.63,,,,,,3636.57,,8880.74,10278.93,11548.63,2840.19
Active Total Throughput (tokens/sec),133.24,20.81,11569.47,,,,,,43.53,,47.77,48.03,3784.38,723.39
Credit-to-Start Latency (ms),1.54,0.47,2.89,77.21,0.59,0.78,0.85,1.09,1.49,1.89,2.32,2.47,2.72,0.56
Decode Duration (ms),23287.07,4759.79,44524.52,1164353.45,6411.73,11114.78,13478.23,18852.83,23171.01,28742.69,32120.78,33436.45,40112.31,7523.24
E2E Output Token Throughput (tokens/sec/user),21.93,20.25,24.00,1096.53,20.36,20.61,20.73,21.16,21.51,23.26,23.60,23.73,23.88,1.10
Effective Concurrency,1.98,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.13
Effective Decode Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.20
Effective Decode Throughput (tokens/sec),43.35,0.00,3370.41,,,,,,44.13,,48.47,49.24,50.50,8.41
Effective Decode Throughput Per User (tokens/sec/user),22.00,0.00,1685.21,,,,,,22.10,,24.24,24.62,25.25,3.63
Effective Latency (CO-aware) (ms),23567.22,5358.16,44662.96,1178361.00,6821.44,11540.77,13776.33,19095.62,23353.76,28940.94,32369.56,33815.00,40258.64,7499.20
Effective Prefill Concurrency,0.02,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.15
Effective Prefill Throughput (tokens/sec),89.89,0.00,11548.63,,,,,,0.00,,0.00,0.00,3762.41,726.05
Effective Prefill Throughput Per User (tokens/sec/user),89.88,0.00,11548.63,,,,,,0.00,,0.00,0.00,3762.41,726.05
Effective Total Throughput (tokens/sec),133.24,0.00,11569.47,,,,,,43.53,,47.77,48.03,3784.38,723.38
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,516.28,114.00,995.00,25814.00,153.69,253.20,301.10,415.50,502.00,627.25,715.00,778.85,902.88,166.64
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.05
HTTP Connection Overhead (ms),0.01,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.05
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),131.60,29.39,253.24,6580.18,39.49,64.73,76.78,106.23,128.04,159.62,182.11,198.28,229.96,42.34
HTTP Data Sent (KB),4.78,0.15,20.95,239.05,0.15,0.16,0.16,0.18,3.00,7.91,11.70,14.44,19.42,5.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23565.60,5355.54,44661.48,1178280.02,6819.61,11539.49,13775.31,19094.40,23352.52,28939.65,32368.83,33813.33,40256.64,7499.24
HTTP Receiving (ms),23287.07,4759.78,44524.52,1164353.69,6411.72,11114.79,13478.24,18852.84,23171.01,28742.69,32120.79,33436.45,40112.32,7523.24
HTTP Sending (ms),0.15,0.09,0.52,7.64,0.09,0.10,0.10,0.11,0.15,0.17,0.19,0.22,0.38,0.06
HTTP Total Time (ms),23565.61,5355.54,44661.48,1178280.36,6819.61,11539.67,13775.31,19094.40,23352.52,28939.65,32368.83,33813.33,40256.64,7499.23
HTTP Waiting (TTFB) (ms),278.37,130.08,731.75,13918.69,130.89,137.45,142.60,155.94,235.15,344.93,508.58,584.50,671.89,145.75
Input Sequence Length (tokens),1068.60,6.00,4758.00,53430.00,6.49,8.00,9.00,15.00,664.00,1722.25,2621.50,3262.95,4405.20,1162.69
Inter Chunk Latency (ms),45.22,0.00,300.68,1164353.45,39.41,40.52,41.11,42.81,44.99,46.93,48.55,49.55,51.96,7.31
Inter Token Latency (ms),45.13,41.43,48.05,2256.58,41.54,41.80,41.98,42.52,46.11,46.57,47.65,47.91,48.02,2.15
OSL Mismatch Diff % (%),-0.00,-0.13,0.00,-0.23,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Output Sequence Length (tokens),516.30,114.00,994.00,25815.00,153.69,253.20,301.10,416.25,502.00,627.25,715.00,778.40,902.37,166.55
Output Token Count (tokens),516.30,114.00,994.00,25815.00,153.69,253.20,301.10,416.25,502.00,627.25,715.00,778.40,902.37,166.55
Output Token Throughput Per User (tokens/sec/user),22.21,20.81,24.14,1110.46,20.83,20.87,20.99,21.47,21.69,23.52,23.82,23.93,24.08,1.08
Prefill Throughput Per User (tokens/sec/user),3068.33,45.45,11548.63,153416.38,45.78,50.84,62.85,98.54,2791.97,3819.33,8113.47,10111.30,11262.55,3062.50
Request Latency (ms),23565.68,5355.68,44661.56,1178283.78,6819.71,11539.55,13775.38,19094.48,23352.60,28939.71,32368.90,33813.40,40256.71,7499.23
Time to First Output Token (ms),278.61,130.31,731.92,13930.34,131.14,137.66,142.76,156.11,235.34,345.17,508.75,584.77,672.13,145.75
Time to First Token (ms),278.61,130.31,731.92,13930.34,131.14,137.66,142.76,156.11,235.34,345.17,508.75,584.77,672.13,145.75
Time to Second Token (ms),44.21,36.67,50.19,2210.30,37.80,40.43,40.90,42.09,44.18,46.21,47.49,48.41,49.64,2.73
Tokens In Flight (tokens),2649.35,0.00,7303.00,,,,,,2492.00,,4754.01,6046.39,7047.00,1547.91

Metric,Value
Benchmark Duration (sec),594.38
Input Token Throughput (tokens/sec),89.89
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),43.43
Request Count,50.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),53430.00
Total Output Sequence Length (tokens),25815.00
Total Output Tokens (tokens),25815.00
Total Token Throughput (tokens/sec),133.32
