Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),122.49,0.00,227.13,,,,,,133.28,,141.99,144.66,177.64,30.05
Active Decode Throughput Per User (tokens/sec/user),16.50,0.00,214.06,,,,,,16.87,,18.65,21.74,26.58,4.06
Active Prefill Throughput (tokens/sec),805.52,35.12,2200.96,,,,,,688.42,,1688.04,1983.82,2200.96,591.72
Active Prefill Throughput Per User (tokens/sec/user),739.71,34.32,2200.96,,,,,,680.09,,1688.04,1983.82,2200.96,577.21
Active Total Throughput (tokens/sec),273.45,21.10,2318.20,,,,,,128.63,,791.44,1247.62,2096.00,401.61
Credit-to-Start Latency (ms),1.33,0.72,4.47,66.34,0.73,0.75,0.84,0.97,1.06,1.49,1.63,2.91,4.32,0.77
Decode Duration (ms),8018.31,1295.21,15223.40,400915.70,1880.29,3832.11,4766.81,6462.49,7843.75,9812.86,11194.18,12212.15,14556.93,2692.51
E2E Output Token Throughput (tokens/sec/user),16.06,15.07,19.95,802.92,15.14,15.26,15.36,15.48,15.76,16.30,17.33,17.80,19.47,0.97
Effective Concurrency,7.72,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.14
Effective Decode Concurrency,7.48,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.27
Effective Decode Throughput (tokens/sec),122.11,0.00,227.13,,,,,,133.26,,141.99,144.66,177.64,30.78
Effective Decode Throughput Per User (tokens/sec/user),16.45,0.00,214.06,,,,,,16.87,,18.64,21.50,26.58,4.16
Effective Latency (CO-aware) (ms),8272.81,1529.91,15510.45,413640.52,2114.82,4069.31,5029.61,6725.28,8120.21,10102.60,11482.36,12462.81,14829.77,2694.56
Effective Prefill Concurrency,0.24,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.67
Effective Prefill Throughput (tokens/sec),151.32,0.00,2200.96,,,,,,0.00,,680.09,1136.47,1983.82,405.92
Effective Prefill Throughput Per User (tokens/sec/user),138.96,0.00,2200.96,,,,,,0.00,,624.83,1024.39,1983.82,382.19
Effective Total Throughput (tokens/sec),273.43,0.00,2318.20,,,,,,128.63,,791.44,1247.62,2096.00,401.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.82,29.00,249.00,6591.00,38.80,67.40,84.10,104.25,127.50,157.25,178.80,195.10,245.08,42.38
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,1.40,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.01,1.27,0.33
