Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.53,0.00,23550.20,,,,,,52.97,,55.22,55.85,57.65,24.19
Active Decode Throughput Per User (tokens/sec/user),25.81,0.00,11775.10,,,,,,26.59,,27.81,28.34,29.61,11.43
Active Prefill Throughput (tokens/sec),1143.44,53.71,2543.96,,,,,,1085.17,,2270.30,2468.83,2543.96,742.13
Active Prefill Throughput Per User (tokens/sec/user),1142.38,53.71,2543.96,,,,,,1085.17,,2270.30,2468.83,2543.96,743.62
Active Total Throughput (tokens/sec),134.77,24.97,2569.75,,,,,,52.15,,53.81,763.44,2217.67,356.88
Credit-to-Start Latency (ms),1.08,0.46,3.74,54.16,0.49,0.58,0.70,0.78,0.92,1.30,1.48,1.57,3.44,0.56
Decode Duration (ms),4995.53,2432.52,9302.75,249776.66,2613.24,3013.16,3392.32,4018.01,4733.29,5889.77,6502.56,6909.62,9203.65,1389.16
E2E Output Token Throughput (tokens/sec/user),25.29,23.27,28.01,1264.46,23.53,24.04,24.39,24.81,25.29,25.81,26.04,26.36,27.31,0.79
Effective Concurrency,1.97,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.18
Effective Decode Concurrency,1.89,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.32
Effective Decode Throughput (tokens/sec),49.47,0.00,23550.20,,,,,,52.97,,55.22,55.85,57.65,24.24
Effective Decode Throughput Per User (tokens/sec/user),25.77,0.00,11775.10,,,,,,26.59,,27.81,28.34,29.61,11.46
Effective Latency (CO-aware) (ms),5196.79,2664.88,9615.26,259839.50,2846.06,3214.92,3622.37,4283.83,4909.52,6116.41,6650.34,7115.63,9472.19,1391.86
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.27
Effective Prefill Throughput (tokens/sec),85.30,0.00,2543.96,,,,,,0.00,,0.00,737.88,2191.27,362.42
Effective Prefill Throughput Per User (tokens/sec/user),85.22,0.00,2543.96,,,,,,0.00,,0.00,737.88,2191.27,362.41
Effective Total Throughput (tokens/sec),134.77,0.00,2569.75,,,,,,52.15,,53.81,763.44,2217.67,356.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.64,62.00,249.00,6582.00,67.88,79.60,89.50,105.50,128.00,154.25,168.10,181.95,245.08,36.31
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),33.32,15.90,62.68,1666.14,17.38,20.28,22.77,26.79,32.38,38.98,42.46,46.02,61.63,9.08
HTTP Data Sent (KB),1.15,0.15,3.82,57.38,0.15,0.15,0.16,0.20,0.87,1.70,2.40,3.20,3.78,0.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5195.61,2663.93,9614.38,259780.65,2844.78,3214.07,3621.39,4281.24,4908.38,6115.48,6648.75,7114.68,9471.31,1391.91
HTTP Receiving (ms),4995.54,2432.52,9302.76,249776.80,2613.23,3013.15,3392.33,4018.01,4733.30,5889.77,6502.58,6909.63,9203.66,1389.17
HTTP Sending (ms),0.17,0.09,0.29,8.26,0.09,0.09,0.10,0.13,0.18,0.20,0.23,0.24,0.29,0.05
HTTP Total Time (ms),5195.61,2663.93,9614.38,259780.65,2844.78,3214.07,3621.39,4281.24,4908.38,6115.48,6648.75,7114.68,9471.31,1391.91
HTTP Waiting (TTFB) (ms),199.91,125.22,311.44,9995.59,125.53,127.12,129.43,140.63,207.51,231.11,262.35,281.91,306.97,50.99
Input Sequence Length (tokens),225.32,7.00,793.00,11266.00,7.00,8.00,9.00,15.25,169.50,352.75,523.80,658.15,770.46,207.19
