Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),87.33,0.00,679.01,,,,,,95.54,,100.74,102.16,107.11,22.82
Active Decode Throughput Per User (tokens/sec/user),22.75,0.00,170.06,,,,,,24.06,,25.48,26.05,27.51,4.99
Active Prefill Throughput (tokens/sec),1048.23,22.72,2517.89,,,,,,866.61,,2306.77,2445.11,2517.89,741.90
Active Prefill Throughput Per User (tokens/sec/user),993.16,22.72,2495.17,,,,,,866.61,,2220.20,2306.77,2445.11,692.91
Active Total Throughput (tokens/sec),226.70,26.04,2563.65,,,,,,91.98,,470.32,1241.64,2372.97,440.56
Credit-to-Start Latency (ms),1.14,0.58,3.77,57.09,0.59,0.66,0.76,0.85,1.00,1.43,1.62,1.89,2.99,0.52
Decode Duration (ms),5659.42,1074.05,10558.72,282971.24,1488.48,2766.29,3737.64,4420.34,5687.02,6739.71,8001.67,8631.70,10498.53,1889.19
E2E Output Token Throughput (tokens/sec/user),22.36,20.62,24.64,1118.10,20.78,21.26,21.35,22.03,22.37,22.78,23.07,23.34,24.11,0.71
Effective Concurrency,3.93,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.36
Effective Decode Concurrency,3.79,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.52
Effective Decode Throughput (tokens/sec),87.15,0.00,679.01,,,,,,95.54,,100.73,102.16,107.11,23.15
Effective Decode Throughput Per User (tokens/sec/user),22.71,0.00,170.06,,,,,,24.06,,25.48,26.04,27.51,5.09
Effective Latency (CO-aware) (ms),5878.31,1232.30,10799.23,293915.50,1668.00,2942.92,3902.46,4659.06,5881.61,6962.45,8238.23,8844.21,10726.26,1893.60
Effective Prefill Concurrency,0.15,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),139.54,0.00,2517.89,,,,,,0.00,,401.33,1174.69,2306.77,447.30
Effective Prefill Throughput Per User (tokens/sec/user),132.21,0.00,2495.17,,,,,,0.00,,401.33,1174.69,2220.20,421.60
Effective Total Throughput (tokens/sec),226.69,0.00,2563.65,,,,,,91.98,,470.32,1241.64,2372.97,440.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.26,29.00,249.00,6563.00,38.80,67.40,84.10,104.00,126.00,157.25,178.80,195.10,245.08,42.58
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.20
HTTP Connection Overhead (ms),0.04,0.00,2.07,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.29
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),33.23,7.61,62.66,1661.45,10.08,17.26,21.42,26.40,31.90,39.74,45.15,49.19,61.70,10.66
HTTP Data Sent (KB),1.17,0.16,4.96,58.47,0.16,0.17,0.18,0.22,0.94,1.59,2.68,3.59,4.65,1.14
HTTP DNS Lookup (ms),0.01,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.09
HTTP Duration (excl. conn) (ms),5877.06,1231.23,10798.35,293852.98,1666.64,2941.88,3901.34,4658.06,5880.17,6960.81,8237.46,8842.22,10725.32,1893.53
HTTP Receiving (ms),5659.43,1074.05,10558.73,282971.49,1488.50,2766.28,3737.64,4420.35,5687.02,6739.73,8001.67,8631.71,10498.54,1889.19
HTTP Sending (ms),0.25,0.13,1.93,12.65,0.13,0.14,0.16,0.19,0.23,0.25,0.28,0.30,1.14,0.24
