Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),65.79,0.00,1145.25,,,,,,75.22,,78.20,79.09,80.00,27.51
Active Decode Throughput Per User (tokens/sec/user),25.98,0.00,381.75,,,,,,25.73,,27.35,27.95,28.60,9.06
Active Prefill Throughput (tokens/sec),207.84,58.69,231.80,,,,,,231.80,,231.80,231.80,231.80,39.14
Active Prefill Throughput Per User (tokens/sec/user),75.85,58.69,87.80,,,,,,77.27,,77.27,77.27,77.27,2.37
Active Total Throughput (tokens/sec),70.31,26.03,231.80,,,,,,77.12,,77.12,77.12,231.80,30.07
Credit-to-Start Latency (ms),1.17,1.05,1.39,3.52,1.05,1.05,1.06,1.06,1.07,1.23,1.33,1.36,1.39,0.16
Decode Duration (ms),5542.40,4280.58,6454.19,16627.21,4312.82,4441.77,4602.96,5086.51,5892.44,6173.32,6341.84,6398.01,6442.95,921.24
E2E Output Token Throughput (tokens/sec/user),25.09,24.62,25.45,75.28,24.63,24.68,24.74,24.91,25.21,25.33,25.40,25.42,25.44,0.35
Effective Concurrency,2.58,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.66
Effective Decode Concurrency,2.50,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.76
Effective Decode Throughput (tokens/sec),64.40,0.00,1145.25,,,,,,75.15,,78.18,79.09,80.00,28.82
Effective Decode Throughput Per User (tokens/sec/user),25.43,0.00,381.75,,,,,,25.71,,27.35,27.95,28.60,9.71
Effective Latency (CO-aware) (ms),5714.13,4469.21,6643.01,17142.39,4500.43,4625.31,4781.40,5249.69,6030.18,6336.59,6520.44,6581.72,6630.75,915.15
Effective Prefill Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.46
Effective Prefill Throughput (tokens/sec),5.87,0.00,231.80,,,,,,0.00,,0.00,0.00,231.80,35.05
Effective Prefill Throughput Per User (tokens/sec/user),2.14,0.00,87.80,,,,,,0.00,,0.00,0.00,77.27,12.57
Effective Total Throughput (tokens/sec),70.27,0.00,231.80,,,,,,77.12,,77.12,77.12,231.80,30.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.88,0.81,0.96,2.65,0.82,0.82,0.83,0.84,0.87,0.92,0.94,0.95,0.96,0.06
HTTP Connection Overhead (ms),1.30,1.18,1.39,3.89,1.19,1.20,1.21,1.25,1.31,1.35,1.37,1.38,1.38,0.08
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.32,27.91,42.68,108.96,28.12,28.96,30.00,33.14,38.36,40.52,41.82,42.25,42.59,6.20
HTTP Data Sent (KB),0.23,0.21,0.25,0.68,0.21,0.21,0.21,0.22,0.22,0.24,0.25,0.25,0.25,0.02
HTTP DNS Lookup (ms),0.41,0.37,0.44,1.24,0.37,0.38,0.38,0.40,0.42,0.43,0.44,0.44,0.44,0.03
HTTP Duration (excl. conn) (ms),5712.77,4467.96,6641.42,17138.30,4499.18,4624.05,4780.15,5248.44,6028.92,6335.17,6518.92,6580.17,6629.17,915.04
HTTP Receiving (ms),5542.48,4280.68,6454.28,16627.44,4312.91,4441.86,4603.04,5086.58,5892.48,6173.38,6341.92,6398.10,6443.05,921.24
HTTP Sending (ms),1.23,1.16,1.29,3.68,1.16,1.17,1.18,1.20,1.23,1.26,1.28,1.28,1.29,0.05
HTTP Total Time (ms),5714.06,4469.14,6642.81,17142.19,4500.36,4625.25,4781.36,5249.69,6030.24,6336.52,6520.29,6581.55,6630.56,915.13
HTTP Waiting (TTFB) (ms),169.06,135.21,186.12,507.18,136.22,140.27,145.34,160.53,185.85,185.98,186.06,186.09,186.11,23.93
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),38.85,2.64,75.08,16627.21,34.62,36.42,37.54,38.17,39.00,39.55,40.31,40.68,44.09,4.81
Inter Token Latency (ms),38.90,38.42,39.27,116.71,38.43,38.48,38.54,38.72,39.02,39.15,39.22,39.25,39.27,0.36
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Output Token Count (tokens),143.67,110.00,169.00,431.00,110.84,114.20,118.40,131.00,152.00,160.50,165.60,167.30,168.66,24.80
Output Token Throughput Per User (tokens/sec/user),25.71,25.46,26.03,77.12,25.47,25.48,25.50,25.54,25.63,25.83,25.95,25.99,26.02,0.24
Prefill Throughput Per User (tokens/sec/user),77.27,58.69,87.80,231.80,59.22,61.35,64.01,72.00,85.31,86.55,87.30,87.55,87.75,13.17
Request Latency (ms),5712.96,4468.13,6641.61,17138.87,4499.35,4624.23,4780.33,5248.63,6029.12,6335.37,6519.12,6580.37,6629.36,915.05
Time to First Output Token (ms),170.55,136.68,187.55,511.66,137.69,141.75,146.83,162.05,187.43,187.49,187.53,187.54,187.55,23.95
Time to First Token (ms),170.55,136.68,187.55,511.66,137.69,141.75,146.83,162.05,187.43,187.49,187.53,187.54,187.55,23.95
Time to Second Token (ms),43.12,39.27,50.80,129.35,39.27,39.27,39.27,39.27,39.27,45.04,48.50,49.65,50.57,5.44
Tokens In Flight (tokens),215.69,0.00,370.00,,,,,,235.00,,322.00,343.00,364.00,90.11

Metric,Value
Benchmark Duration (sec),6.64
Input Token Throughput (tokens/sec),5.87
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),64.85
Request Count,3.00
Request Throughput (requests/sec),0.45
Total Input Sequence Length (tokens),39.00
Total Output Sequence Length (tokens),431.00
Total Output Tokens (tokens),431.00
Total Token Throughput (tokens/sec),70.72
