Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),29.83,0.00,14867.71,,,,,,29.22,,32.17,32.72,33.58,16.90
Active Decode Throughput Per User (tokens/sec/user),29.83,0.00,14867.71,,,,,,29.22,,32.17,32.72,33.58,16.90
Active Prefill Throughput (tokens/sec),1610.93,72.64,3238.84,,,,,,1541.10,,2851.80,3041.43,3238.84,931.39
Active Prefill Throughput Per User (tokens/sec/user),1610.93,72.64,3238.84,,,,,,1541.10,,2851.80,3041.43,3238.84,931.39
Active Total Throughput (tokens/sec),92.72,27.96,3238.84,,,,,,29.07,,32.08,32.94,2280.55,360.52
Credit-to-Start Latency (ms),0.75,0.37,2.08,37.65,0.37,0.40,0.48,0.58,0.65,0.87,1.13,1.20,2.03,0.34
Decode Duration (ms),4266.46,870.67,8551.57,213323.21,1177.15,2206.43,2770.76,3511.80,4133.47,5292.10,5782.71,6293.91,7602.62,1390.23
E2E Output Token Throughput (tokens/sec/user),28.89,26.55,32.20,1444.60,26.62,27.22,27.34,27.69,28.63,30.07,30.80,31.01,32.11,1.40
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),28.64,0.00,14867.71,,,,,,29.15,,32.14,32.70,33.57,17.56
Effective Decode Throughput Per User (tokens/sec/user),28.64,0.00,14867.71,,,,,,29.15,,32.14,32.70,33.57,17.56
Effective Latency (CO-aware) (ms),4443.94,1092.93,8822.81,222196.75,1337.51,2413.31,2926.03,3758.85,4292.07,5505.04,5944.45,6463.16,7834.12,1394.05
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.20
Effective Prefill Throughput (tokens/sec),64.05,0.00,3238.84,,,,,,0.00,,0.00,0.00,2280.55,365.46
Effective Prefill Throughput Per User (tokens/sec/user),64.05,0.00,3238.84,,,,,,0.00,,0.00,0.00,2280.55,365.46
Effective Total Throughput (tokens/sec),92.68,0.00,3238.84,,,,,,29.07,,32.08,32.94,2280.55,360.46
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.22,29.00,248.00,6411.00,38.80,67.40,83.20,104.00,125.50,155.00,169.90,190.40,222.52,39.83
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.48,7.61,62.73,1623.85,10.07,17.25,21.20,26.43,31.78,39.23,42.72,48.01,56.22,9.99
HTTP Data Sent (KB),1.46,0.15,5.03,73.05,0.15,0.15,0.16,0.27,1.13,2.00,3.35,3.84,4.73,1.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4443.12,1092.09,8822.09,222156.19,1336.47,2412.63,2925.34,3758.38,4291.33,5504.31,5943.73,6461.64,7833.46,1393.98
HTTP Receiving (ms),4266.47,870.67,8551.58,213323.75,1177.15,2206.44,2770.77,3511.81,4133.48,5292.11,5782.72,6293.92,7602.64,1390.23
HTTP Sending (ms),0.12,0.09,0.16,5.85,0.09,0.09,0.09,0.10,0.10,0.14,0.15,0.16,0.16,0.02
HTTP Total Time (ms),4443.12,1092.09,8822.09,222156.19,1336.47,2412.63,2925.34,3758.38,4291.33,5504.31,5943.73,6461.64,7833.46,1393.98
HTTP Waiting (TTFB) (ms),176.53,93.19,317.54,8826.59,93.41,94.13,96.05,110.93,176.97,217.11,259.66,268.21,305.26,60.45
