Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),51.58,0.00,160.07,,,,,,33.49,,85.42,89.95,94.29,24.31
Active Decode Throughput Per User (tokens/sec/user),30.80,0.00,160.07,,,,,,31.84,,33.33,33.83,36.07,5.49
Active Prefill Throughput (tokens/sec),208.92,61.25,242.21,,,,,,242.21,,242.21,242.21,242.21,55.18
Active Prefill Throughput Per User (tokens/sec/user),74.97,58.70,124.80,,,,,,80.74,,80.74,80.74,80.74,9.94
Active Total Throughput (tokens/sec),57.59,30.84,242.21,,,,,,30.84,,87.35,87.35,242.21,40.31
Credit-to-Start Latency (ms),1.29,1.18,1.37,3.88,1.19,1.20,1.21,1.26,1.33,1.35,1.36,1.37,1.37,0.08
Decode Duration (ms),3147.04,1716.61,5447.40,9441.11,1727.82,1772.66,1828.71,1996.85,2277.10,3862.25,4813.34,5130.37,5384.00,1642.62
E2E Output Token Throughput (tokens/sec/user),27.51,25.62,30.22,82.53,25.64,25.73,25.83,26.15,26.69,28.46,29.52,29.87,30.15,1.97
Effective Concurrency,1.78,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.92
Effective Decode Concurrency,1.69,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.94
Effective Decode Throughput (tokens/sec),50.22,0.00,160.07,,,,,,33.48,,85.42,89.95,94.29,25.37
Effective Decode Throughput Per User (tokens/sec/user),29.98,0.00,160.07,,,,,,31.77,,33.33,33.83,36.07,7.33
Effective Latency (CO-aware) (ms),3327.01,1913.82,5592.82,9981.03,1925.03,1969.88,2025.94,2194.11,2474.39,4033.60,4969.13,5280.97,5530.45,1618.43
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.51
Effective Prefill Throughput (tokens/sec),7.33,0.00,242.21,,,,,,0.00,,0.00,0.00,242.21,39.80
Effective Prefill Throughput Per User (tokens/sec/user),2.63,0.00,124.80,,,,,,0.00,,0.00,0.00,80.74,13.92
Effective Total Throughput (tokens/sec),57.55,0.00,242.21,,,,,,30.84,,87.35,87.35,242.21,40.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,94.33,49.00,168.00,283.00,49.34,50.70,52.40,57.50,66.00,117.00,147.60,157.80,165.96,52.55
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.11,0.93,1.33,3.34,0.94,0.95,0.96,1.00,1.07,1.20,1.28,1.30,1.32,0.16
HTTP Connection Overhead (ms),1.64,1.33,1.93,4.92,1.34,1.36,1.40,1.49,1.66,1.79,1.87,1.90,1.92,0.24
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),24.06,12.61,42.70,72.17,12.69,13.03,13.46,14.74,16.86,29.78,37.53,40.11,42.18,13.30
HTTP Data Sent (KB),0.21,0.20,0.24,0.63,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.23,0.23,0.02
HTTP DNS Lookup (ms),0.53,0.40,0.60,1.58,0.40,0.42,0.43,0.49,0.58,0.59,0.60,0.60,0.60,0.09
HTTP Duration (excl. conn) (ms),3325.51,1912.26,5591.46,9976.53,1923.47,1968.31,2024.37,2192.54,2472.81,4032.14,4967.73,5279.60,5529.09,1618.53
HTTP Receiving (ms),3147.07,1716.66,5447.43,9441.22,1727.87,1772.70,1828.75,1996.89,2277.13,3862.28,4813.37,5130.40,5384.03,1642.61
HTTP Sending (ms),1.54,1.28,1.85,4.61,1.29,1.30,1.32,1.38,1.48,1.66,1.78,1.81,1.84,0.23
HTTP Total Time (ms),3327.15,1914.18,5593.12,9981.45,1925.38,1970.18,2026.18,2194.17,2474.15,4033.63,4969.32,5281.22,5530.74,1618.51
HTTP Waiting (TTFB) (ms),176.90,142.55,194.40,530.70,143.57,147.67,152.79,168.15,193.75,194.08,194.27,194.34,194.39,24.29
Input Sequence Length (tokens),13.67,11.00,18.00,41.00,11.02,11.10,11.20,11.50,12.00,15.00,16.80,17.40,17.88,3.09
Inter Chunk Latency (ms),33.60,0.00,67.85,9441.11,27.07,29.86,30.35,31.15,32.71,36.31,37.77,38.25,42.27,4.54
Inter Token Latency (ms),34.41,32.43,35.76,103.22,32.48,32.69,32.95,33.73,35.03,35.40,35.62,35.69,35.75,1.43
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Count (tokens),94.67,49.00,169.00,284.00,49.34,50.70,52.40,57.50,66.00,117.50,148.40,158.70,166.94,53.02
Output Token Throughput Per User (tokens/sec/user),29.12,27.96,30.84,87.35,27.97,28.02,28.08,28.25,28.55,29.69,30.38,30.61,30.79,1.24
Prefill Throughput Per User (tokens/sec/user),80.74,56.16,124.80,242.21,56.26,56.66,57.17,58.70,61.25,93.03,112.09,118.44,123.53,31.23
Request Latency (ms),3325.71,1912.50,5591.63,9977.14,1923.71,1968.55,2024.60,2192.76,2473.01,4032.32,4967.91,5279.77,5529.26,1618.50
Time to First Output Token (ms),178.68,144.23,195.91,536.03,145.26,149.40,154.56,170.06,195.89,195.90,195.91,195.91,195.91,24.36
Time to First Token (ms),178.68,144.23,195.91,536.03,145.26,149.40,154.56,170.06,195.89,195.90,195.91,195.91,195.91,24.36
Time to Second Token (ms),38.78,32.24,51.87,116.35,32.24,32.24,32.24,32.24,32.24,42.06,47.95,49.91,51.48,9.26
Tokens In Flight (tokens),127.20,0.00,189.00,,,,,,133.00,,174.00,180.00,185.00,37.17

Metric,Value
Benchmark Duration (sec),5.59
Input Token Throughput (tokens/sec),7.33
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),50.76
Request Count,3.00
Request Throughput (requests/sec),0.54
Total Input Sequence Length (tokens),41.00
Total Output Sequence Length (tokens),284.00
Total Output Tokens (tokens),284.00
Total Token Throughput (tokens/sec),58.09
