Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),27.62,0.00,333.39,,,,,,27.40,,28.27,28.74,29.78,6.80
Active Decode Throughput Per User (tokens/sec/user),27.62,0.00,333.39,,,,,,27.40,,28.27,28.74,29.78,6.80
Active Prefill Throughput (tokens/sec),39.09,2.63,851.38,,,,,,2.63,,31.90,31.90,851.38,165.09
Active Prefill Throughput Per User (tokens/sec/user),39.09,2.63,851.38,,,,,,2.63,,31.90,31.90,851.38,165.09
Active Total Throughput (tokens/sec),31.09,2.63,851.38,,,,,,27.54,,27.73,27.73,851.38,91.03
Credit-to-Start Latency (ms),0.89,0.47,1.19,2.66,0.48,0.52,0.58,0.74,1.00,1.10,1.16,1.17,1.19,0.31
Decode Duration (ms),4393.24,2643.69,6100.09,13179.71,2679.53,2822.91,3002.14,3539.81,4435.93,5268.01,5767.26,5933.68,6066.81,1411.40
E2E Output Token Throughput (tokens/sec/user),21.96,15.31,25.78,65.89,15.50,16.26,17.21,20.05,24.80,25.29,25.58,25.68,25.76,4.72
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.70,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Decode Throughput (tokens/sec),19.24,0.00,333.39,,,,,,27.06,,28.07,28.56,29.59,13.90
Effective Decode Throughput Per User (tokens/sec/user),19.24,0.00,333.39,,,,,,27.06,,28.07,28.56,29.59,13.90
Effective Latency (CO-aware) (ms),6304.19,2870.84,11040.61,18912.57,2913.45,3083.87,3296.90,3935.98,5001.11,8020.86,9832.71,10436.66,10919.82,3460.23
Effective Prefill Concurrency,0.30,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.46
Effective Prefill Throughput (tokens/sec),11.84,0.00,851.38,,,,,,0.00,,2.63,2.63,851.38,92.62
Effective Prefill Throughput Per User (tokens/sec/user),11.84,0.00,851.38,,,,,,0.00,,2.63,2.63,851.38,92.62
Effective Total Throughput (tokens/sec),31.08,0.00,851.38,,,,,,27.54,,27.73,27.73,851.38,91.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,122.33,74.00,169.00,367.00,75.00,79.00,84.00,99.00,124.00,146.50,160.00,164.50,168.10,38.80
