Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),52.14,0.00,259.64,,,,,,54.69,,61.10,62.07,64.20,12.46
Active Decode Throughput Per User (tokens/sec/user),26.91,0.00,259.64,,,,,,27.48,,30.60,31.07,32.19,4.87
Active Prefill Throughput (tokens/sec),1467.00,47.03,3228.78,,,,,,1440.15,,2843.42,2994.99,3228.78,974.65
Active Prefill Throughput Per User (tokens/sec/user),1466.25,47.03,3228.78,,,,,,1440.15,,2843.42,2994.99,3228.78,975.71
Active Total Throughput (tokens/sec),170.84,25.01,3256.24,,,,,,55.21,,58.81,1072.93,2694.87,480.86
Credit-to-Start Latency (ms),1.06,0.55,2.54,53.00,0.59,0.69,0.71,0.79,0.98,1.19,1.48,1.66,2.53,0.40
Decode Duration (ms),4687.63,1059.64,9418.20,234381.67,1433.01,2244.93,2898.87,3682.87,4723.72,5534.65,6293.26,7369.47,8611.45,1588.28
E2E Output Token Throughput (tokens/sec/user),26.42,21.81,28.60,1320.84,23.02,24.71,25.07,25.38,26.32,27.58,28.14,28.24,28.49,1.35
Effective Concurrency,1.98,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.13
Effective Decode Concurrency,1.90,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.30
Effective Decode Throughput (tokens/sec),52.08,0.00,259.64,,,,,,54.67,,61.09,62.07,64.20,12.56
Effective Decode Throughput Per User (tokens/sec/user),26.88,0.00,259.64,,,,,,27.48,,30.60,31.07,32.19,4.95
Effective Latency (CO-aware) (ms),4890.91,1330.69,9542.91,244545.41,1660.32,2539.83,3080.98,3926.64,4937.09,5661.58,6633.37,7580.21,8775.99,1578.77
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),118.75,0.00,3228.78,,,,,,0.00,,0.00,1046.65,2666.26,486.83
