Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),28.66,0.00,226.74,,,,,,28.61,,29.53,29.81,32.09,2.87
Active Decode Throughput Per User (tokens/sec/user),28.66,0.00,226.74,,,,,,28.61,,29.53,29.81,32.09,2.87
Active Prefill Throughput (tokens/sec),2475.62,107.65,3047.83,,,,,,2685.25,,3047.83,3047.83,3047.83,1001.58
Active Prefill Throughput Per User (tokens/sec/user),2475.62,107.65,3047.83,,,,,,2685.25,,3047.83,3047.83,3047.83,1001.58
Active Total Throughput (tokens/sec),61.33,28.33,3047.83,,,,,,28.34,,29.03,29.03,2685.25,303.78
Credit-to-Start Latency (ms),1.81,0.46,3.55,5.44,0.48,0.55,0.65,0.94,1.43,2.49,3.13,3.34,3.51,1.29
Decode Duration (ms),16982.77,10340.75,23248.55,50948.32,10481.12,11042.58,11744.40,13849.88,17359.02,20303.78,22070.64,22659.60,23130.76,5276.30
E2E Output Token Throughput (tokens/sec/user),28.19,27.74,28.95,84.56,27.74,27.75,27.76,27.80,27.87,28.41,28.73,28.84,28.93,0.54
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Decode Throughput (tokens/sec),28.27,0.00,226.74,,,,,,28.60,,29.52,29.81,32.08,4.38
Effective Decode Throughput Per User (tokens/sec/user),28.27,0.00,226.74,,,,,,28.60,,29.52,29.81,32.08,4.38
Effective Latency (CO-aware) (ms),17214.43,10603.87,23352.16,51643.28,10745.54,11312.21,12020.54,14145.56,17687.25,20519.71,22219.18,22785.67,23238.87,5215.20
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),33.05,0.00,3047.83,,,,,,0.00,,0.00,0.00,2685.25,306.79
