Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),30.24,0.00,24267.35,,,,,,30.08,,31.94,32.51,33.38,22.66
Active Decode Throughput Per User (tokens/sec/user),30.24,0.00,24267.35,,,,,,30.08,,31.94,32.51,33.38,22.66
Active Prefill Throughput (tokens/sec),1553.35,133.45,2597.15,,,,,,2597.15,,2597.15,2597.15,2597.15,1208.57
Active Prefill Throughput Per User (tokens/sec/user),1553.35,133.45,2597.15,,,,,,2597.15,,2597.15,2597.15,2597.15,1208.57
Active Total Throughput (tokens/sec),44.94,29.73,2597.15,,,,,,29.85,,30.80,30.80,30.80,190.47
Credit-to-Start Latency (ms),1.66,1.34,2.17,4.97,1.34,1.35,1.36,1.40,1.46,1.81,2.03,2.10,2.16,0.37
Decode Duration (ms),16093.68,9816.26,21915.06,48281.05,9950.93,10489.61,11162.95,13183.00,16549.73,19232.40,20842.00,21378.53,21807.76,4949.83
E2E Output Token Throughput (tokens/sec/user),29.82,29.15,30.71,89.46,29.16,29.20,29.24,29.38,29.60,30.16,30.49,30.60,30.69,0.66
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.10
Effective Decode Throughput (tokens/sec),29.94,0.00,24267.35,,,,,,30.07,,31.94,32.51,33.38,22.74
Effective Decode Throughput Per User (tokens/sec/user),29.94,0.00,24267.35,,,,,,30.07,,31.94,32.51,33.38,22.74
Effective Latency (CO-aware) (ms),16252.21,10087.96,22013.82,48756.62,10219.30,10744.65,11401.33,13371.40,16654.84,19334.33,20942.02,21477.92,21906.64,4877.03
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.10
Effective Prefill Throughput (tokens/sec),14.99,0.00,2597.15,,,,,,0.00,,0.00,0.00,0.00,192.76
