Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.03,0.00,51804.54,,,,,,56.70,,61.72,62.59,63.96,38.19
Active Decode Throughput Per User (tokens/sec/user),27.93,0.00,25902.27,,,,,,28.39,,30.87,31.30,31.98,19.40
Active Prefill Throughput (tokens/sec),3626.48,49.98,10145.79,,,,,,3196.04,,7787.73,8556.69,10145.79,2471.42
Active Prefill Throughput Per User (tokens/sec/user),3625.98,49.98,10145.79,,,,,,3196.04,,7787.73,8556.69,10145.79,2472.14
Active Total Throughput (tokens/sec),169.12,26.00,10172.15,,,,,,56.55,,59.40,59.75,3518.02,766.06
Credit-to-Start Latency (ms),1.67,0.79,3.34,83.71,0.81,0.86,1.01,1.24,1.59,2.04,2.41,2.63,3.10,0.57
Decode Duration (ms),18269.21,4114.42,34249.80,913460.68,5223.72,8828.65,11077.38,14649.04,18237.46,22342.35,25829.13,26632.25,31108.59,5836.73
E2E Output Token Throughput (tokens/sec/user),27.72,23.45,29.68,1386.18,24.52,25.79,25.90,26.83,27.77,28.76,29.29,29.55,29.63,1.33
Effective Concurrency,1.98,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.13
Effective Decode Concurrency,1.95,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.22
Effective Decode Throughput (tokens/sec),55.02,0.00,51804.54,,,,,,56.70,,61.72,62.59,63.96,38.19
Effective Decode Throughput Per User (tokens/sec/user),27.92,0.00,25902.27,,,,,,28.38,,30.87,31.30,31.98,19.40
Effective Latency (CO-aware) (ms),18568.64,4863.05,34371.66,928432.02,5721.70,9327.57,11356.65,14962.94,18403.11,22599.99,25993.94,26930.57,31375.23,5804.04
Effective Prefill Concurrency,0.03,0.00,2.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),114.10,0.00,10145.79,,,,,,0.00,,0.00,0.00,3490.21,770.04
Effective Prefill Throughput Per User (tokens/sec/user),114.09,0.00,10145.79,,,,,,0.00,,0.00,0.00,3490.21,770.04
Effective Total Throughput (tokens/sec),169.12,0.00,10172.15,,,,,,56.55,,59.40,59.75,3518.02,766.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,516.20,114.00,994.00,25810.00,153.69,252.75,300.20,416.25,502.00,627.25,715.00,778.85,902.37,166.60
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.10
HTTP Connection Overhead (ms),0.01,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.10
