Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),166.29,0.00,301.48,,,,,,169.80,,196.07,205.26,243.15,29.91
Active Decode Throughput Per User (tokens/sec/user),85.19,0.00,255.88,,,,,,83.95,,113.37,129.21,135.90,17.42
Active Prefill Throughput (tokens/sec),228.58,94.08,267.91,,,,,,267.91,,267.91,267.91,267.91,48.37
Active Prefill Throughput Per User (tokens/sec/user),88.09,81.11,105.70,,,,,,89.30,,89.30,89.30,89.30,2.37
Active Total Throughput (tokens/sec),171.04,91.57,269.32,,,,,,164.05,,236.09,236.09,267.91,42.90
Credit-to-Start Latency (ms),33.05,27.43,43.00,99.16,27.45,27.56,27.69,28.08,28.73,35.87,40.15,41.58,42.72,7.06
Decode Duration (ms),3170.62,888.31,4608.36,9511.87,950.85,1201.00,1513.69,2451.76,4015.20,4311.78,4489.73,4549.04,4596.49,1631.91
E2E Output Token Throughput (tokens/sec/user),73.91,63.99,88.14,221.73,64.10,64.55,65.11,66.80,69.61,78.87,84.43,86.29,87.77,10.32
Effective Concurrency,2.06,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.60
Effective Decode Concurrency,1.96,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.67
Effective Decode Throughput (tokens/sec),160.25,0.00,301.48,,,,,,168.96,,196.07,205.26,243.15,42.77
Effective Decode Throughput Per User (tokens/sec/user),82.10,0.00,255.88,,,,,,83.80,,112.48,129.21,133.93,23.37
Effective Latency (CO-aware) (ms),3369.71,1043.29,4827.89,10109.14,1107.18,1362.75,1682.22,2640.63,4237.96,4532.93,4709.90,4768.89,4816.09,1662.57
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.52
Effective Prefill Throughput (tokens/sec),9.07,0.00,267.91,,,,,,0.00,,0.00,0.00,267.91,45.66
Effective Prefill Throughput Per User (tokens/sec/user),3.50,0.00,105.70,,,,,,0.00,,0.00,0.00,89.30,17.21
Effective Total Throughput (tokens/sec),169.33,0.00,269.32,,,,,,164.05,,236.09,236.09,267.91,45.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,83.00,19.00,126.00,249.00,20.70,27.50,36.00,61.50,104.00,115.00,121.60,123.80,125.56,46.14
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),12.90,11.23,15.46,38.70,11.25,11.31,11.39,11.62,12.01,13.74,14.77,15.12,15.39,1.84
HTTP Connection Overhead (ms),18.77,16.36,22.13,56.31,16.39,16.50,16.65,17.09,17.82,19.98,21.27,21.70,22.05,2.45
