Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),198.88,0.00,364.44,,,,,,221.82,,249.00,257.88,270.00,59.38
Active Decode Throughput Per User (tokens/sec/user),53.72,0.00,187.37,,,,,,56.60,,63.66,65.66,82.11,12.46
Active Prefill Throughput (tokens/sec),1307.62,31.30,3893.41,,,,,,1183.30,,2954.41,3500.37,3893.41,1043.54
Active Prefill Throughput Per User (tokens/sec/user),1116.84,31.30,3338.50,,,,,,1015.08,,2175.14,2587.72,2954.41,812.78
Active Total Throughput (tokens/sec),511.63,52.01,3999.12,,,,,,221.20,,1607.07,2133.11,3611.90,733.08
Credit-to-Start Latency (ms),1.43,0.59,4.19,71.42,0.67,0.86,0.93,1.08,1.30,1.54,2.01,2.60,3.68,0.62
Decode Duration (ms),2959.37,262.08,12913.23,147968.26,319.70,410.83,472.96,1362.75,2408.24,3840.14,5077.86,6200.74,12403.03,2502.83
E2E Output Token Throughput (tokens/sec/user),51.45,38.38,66.87,2572.41,39.98,43.89,45.29,47.62,51.59,54.56,57.70,60.76,64.34,5.42
Effective Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.39
Effective Decode Concurrency,3.64,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.66
Effective Decode Throughput (tokens/sec),198.30,0.00,364.44,,,,,,221.76,,249.00,257.88,270.00,60.25
Effective Decode Throughput Per User (tokens/sec/user),53.56,0.00,187.37,,,,,,56.58,,63.66,65.66,82.11,12.78
Effective Latency (CO-aware) (ms),3195.46,470.42,13159.33,159773.12,482.49,605.50,720.11,1611.58,2765.22,4093.11,5287.12,6500.69,12637.80,2513.42
Effective Prefill Concurrency,0.29,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.57
Effective Prefill Throughput (tokens/sec),313.28,0.00,3893.41,,,,,,0.00,,1449.72,2030.16,3541.91,756.57
Effective Prefill Throughput Per User (tokens/sec/user),267.57,0.00,3338.50,,,,,,0.00,,1232.15,1926.05,2587.72,620.90
Effective Total Throughput (tokens/sec),511.58,0.00,3999.12,,,,,,221.20,,1607.07,2133.11,3611.90,733.06
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,55.40,6.00,234.00,2770.00,7.47,9.00,9.90,27.25,47.00,72.00,93.40,120.45,221.26,45.01
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,2.13,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.30
HTTP Connection Overhead (ms),0.07,0.00,3.40,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,0.48
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),16.25,2.10,67.02,812.37,2.53,2.98,3.24,8.22,13.87,21.06,27.12,34.79,63.47,12.84
HTTP Data Sent (KB),1.34,0.17,5.80,67.18,0.17,0.18,0.18,0.22,0.93,1.86,3.04,4.13,5.39,1.34
HTTP DNS Lookup (ms),0.03,0.00,1.27,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.18
HTTP Duration (excl. conn) (ms),3193.88,468.90,13158.27,159694.17,480.87,603.76,718.78,1609.17,2763.79,4091.80,5285.98,6499.25,12636.78,2513.57
HTTP Receiving (ms),2961.49,262.09,12966.68,148074.64,319.70,410.84,472.96,1362.75,2408.25,3840.15,5077.86,6200.74,12430.29,2507.82
HTTP Sending (ms),0.37,0.13,3.11,18.55,0.14,0.22,0.23,0.28,0.33,0.36,0.40,0.46,1.82,0.40
HTTP Total Time (ms),3193.95,468.90,13158.27,159697.57,480.87,603.76,718.78,1611.72,2763.79,4091.80,5285.98,6499.25,12636.78,2513.53
HTTP Waiting (TTFB) (ms),232.02,113.34,499.30,11600.99,138.48,166.99,169.88,186.51,209.09,256.01,320.53,376.95,459.62,72.11
Input Sequence Length (tokens),254.98,7.00,1178.00,12749.00,7.49,8.00,9.00,15.25,176.00,371.50,627.50,846.50,1092.74,283.07
Inter Chunk Latency (ms),54.44,24.35,251.20,147968.26,35.85,46.30,47.57,49.64,51.43,53.86,58.20,74.49,120.83,15.35
Inter Token Latency (ms),17.37,11.86,21.20,868.50,12.47,13.93,14.94,15.77,17.77,19.23,19.89,20.15,20.91,2.08
OSL Mismatch Diff % (%),-1.05,-47.71,0.00,-52.56,-25.24,-1.25,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,6.68
Output Sequence Length (tokens),162.40,18.00,610.00,8120.00,23.39,31.00,32.90,83.75,133.50,230.00,277.10,327.40,593.83,120.65
Output Token Throughput Per User (tokens/sec/user),58.48,47.16,84.29,2923.79,47.83,49.64,50.27,52.01,56.29,63.41,66.95,71.78,80.39,7.65
Prefill Throughput Per User (tokens/sec/user),924.76,31.30,3338.50,46238.01,36.15,43.27,58.54,83.70,741.01,1424.62,2084.45,2502.20,3150.30,853.75
Reasoning Token Count (tokens),162.40,18.00,610.00,8120.00,23.39,31.00,32.90,83.75,133.50,230.00,277.10,327.40,593.83,120.65
Request Latency (ms),3191.91,469.04,13105.01,159595.58,481.01,603.87,718.88,1609.52,2763.93,4091.92,5286.12,6499.41,12609.69,2508.64
Time to First Token (ms),232.55,113.81,499.69,11627.32,138.91,167.42,170.39,186.96,209.55,256.58,321.02,377.40,460.02,72.05
Time to Second Token (ms),56.84,37.93,251.20,2842.13,38.01,40.23,45.59,47.54,49.75,52.59,68.44,89.73,180.89,30.48
Tokens In Flight (tokens),1552.45,0.00,2619.18,,,,,,1669.80,,2222.78,2344.02,2507.32,582.56

Metric,Value
Benchmark Duration (sec),40.69
Good Request Count,19.00
GoodRequestFraction (ratio),0.38
Goodput (requests/sec),0.47
Input Token Throughput (tokens/sec),313.28
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),199.53
Request Count,50.00
Request Throughput (requests/sec),1.23
Total Input Sequence Length (tokens),12749.00
Total Output Sequence Length (tokens),8120.00
Total Reasoning Tokens (tokens),8120.00
Total Token Throughput (tokens/sec),512.81
