Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),171.73,0.00,264.86,,,,,,180.41,,199.96,206.76,212.53,33.68
Active Decode Throughput Per User (tokens/sec/user),65.68,0.00,221.39,,,,,,61.32,,83.87,97.53,111.12,13.07
Active Prefill Throughput (tokens/sec),225.06,90.04,347.35,,,,,,175.10,,347.35,347.35,347.35,104.82
Active Prefill Throughput Per User (tokens/sec/user),103.91,87.55,172.26,,,,,,90.04,,115.78,128.66,172.26,20.00
Active Total Throughput (tokens/sec),178.36,62.85,347.35,,,,,,190.50,,190.50,190.50,347.35,45.54
Credit-to-Start Latency (ms),13.98,4.81,20.57,41.93,5.05,5.98,7.16,10.68,16.55,18.56,19.77,20.17,20.49,6.69
Decode Duration (ms),4396.41,4073.20,4757.62,13189.24,4078.91,4101.73,4130.25,4215.81,4358.42,4558.02,4677.78,4717.70,4749.64,280.70
E2E Output Token Throughput (tokens/sec/user),61.51,59.60,64.56,184.54,59.62,59.68,59.76,59.99,60.38,62.47,63.72,64.14,64.48,2.18
Effective Concurrency,2.73,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.64
Effective Decode Concurrency,2.63,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.77
Effective Decode Throughput (tokens/sec),167.40,0.00,264.86,,,,,,180.34,,199.40,205.58,212.53,42.79
Effective Decode Throughput Per User (tokens/sec/user),64.02,0.00,221.39,,,,,,61.31,,81.46,97.53,111.12,16.51
Effective Latency (CO-aware) (ms),4570.43,4182.51,4989.22,13711.28,4189.65,4218.21,4253.92,4361.03,4539.56,4764.39,4899.28,4944.25,4980.22,330.06
Effective Prefill Concurrency,0.10,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.47
Effective Prefill Throughput (tokens/sec),10.19,0.00,347.35,,,,,,0.00,,0.00,0.00,347.35,51.83
Effective Prefill Throughput Per User (tokens/sec/user),4.70,0.00,172.26,,,,,,0.00,,0.00,0.00,115.78,22.02
Effective Total Throughput (tokens/sec),177.59,0.00,347.35,,,,,,190.50,,190.50,190.50,347.35,46.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,98.67,87.00,112.00,296.00,87.20,88.00,89.00,92.00,97.00,104.50,109.00,110.50,111.70,10.27
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.34,2.03,9.33,19.01,2.14,2.59,3.16,4.84,7.65,8.49,8.99,9.16,9.29,3.12
HTTP Connection Overhead (ms),8.32,2.86,11.92,24.96,3.01,3.59,4.33,6.52,10.18,11.05,11.57,11.75,11.89,3.93
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),28.55,25.30,32.25,85.65,25.36,25.58,25.86,26.70,28.09,30.17,31.42,31.84,32.17,2.86
HTTP Data Sent (KB),0.24,0.23,0.25,0.73,0.23,0.23,0.23,0.24,0.25,0.25,0.25,0.25,0.25,0.01
HTTP DNS Lookup (ms),1.98,0.83,2.60,5.95,0.86,1.00,1.17,1.68,2.53,2.56,2.58,2.59,2.59,0.82
HTTP Duration (excl. conn) (ms),4555.40,4177.49,4966.87,13666.20,4184.38,4211.92,4246.36,4349.67,4521.85,4744.36,4877.86,4922.36,4957.97,323.13
HTTP Receiving (ms),4396.50,4073.30,4757.70,13189.50,4079.00,4101.82,4130.34,4215.90,4358.51,4558.10,4677.86,4717.78,4749.71,280.69
HTTP Sending (ms),8.44,2.47,12.70,25.32,2.62,3.24,4.00,6.31,10.15,11.43,12.19,12.45,12.65,4.35
HTTP Total Time (ms),4563.72,4180.35,4978.79,13691.17,4187.38,4215.52,4250.69,4356.19,4532.03,4755.41,4889.44,4934.11,4969.85,326.73
HTTP Waiting (TTFB) (ms),150.46,101.72,196.47,451.38,102.75,106.87,112.02,127.46,153.19,174.83,187.81,192.14,195.60,38.73
Input Sequence Length (tokens),17.00,14.00,19.00,51.00,14.08,14.40,14.80,16.00,18.00,18.50,18.80,18.90,18.98,2.16
Inter Chunk Latency (ms),45.01,23.33,93.04,13189.24,24.41,31.65,36.39,43.43,46.63,48.06,50.47,51.23,52.74,6.65
Inter Token Latency (ms),15.77,14.98,16.42,47.31,15.00,15.07,15.16,15.44,15.91,16.17,16.32,16.37,16.41,0.60
OSL Mismatch Diff % (%),-0.22,-0.66,0.00,-0.66,-0.65,-0.60,-0.53,-0.33,0.00,0.00,0.00,0.00,0.00,0.31
Output Sequence Length (tokens),280.33,249.00,300.00,841.00,249.86,253.30,257.60,270.50,292.00,296.00,298.40,299.20,299.84,22.40
Output Token Throughput Per User (tokens/sec/user),63.50,60.89,66.77,190.50,60.92,61.08,61.28,61.87,62.85,64.81,65.98,66.38,66.69,2.45
Prefill Throughput Per User (tokens/sec/user),115.78,85.06,172.26,347.35,85.16,85.56,86.06,87.55,90.04,131.15,155.81,164.03,170.61,39.98
Reasoning Token Count (tokens),280.33,249.00,300.00,841.00,249.86,253.30,257.60,270.50,292.00,296.00,298.40,299.20,299.84,22.40
Request Latency (ms),4556.45,4177.70,4968.65,13669.35,4184.61,4212.23,4246.76,4350.35,4523.00,4745.83,4879.52,4924.08,4959.74,323.77
Time to First Token (ms),160.04,104.50,211.03,480.11,105.70,110.50,116.51,134.54,164.58,187.81,201.74,206.38,210.10,43.61
Time to Second Token (ms),54.79,43.14,69.37,164.38,43.31,44.01,44.88,47.50,51.87,60.62,65.87,67.62,69.02,10.91
Tokens In Flight (tokens),403.86,0.00,791.65,,,,,,398.54,,696.96,740.00,774.43,209.84

Metric,Value
Benchmark Duration (sec),4.98
Good Request Count,0.00
GoodRequestFraction (ratio),0.00
Goodput (requests/sec),0.00
Input Token Throughput (tokens/sec),10.19
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),168.00
Request Count,3.00
Request Throughput (requests/sec),0.60
Total Input Sequence Length (tokens),51.00
Total Output Sequence Length (tokens),841.00
Total Reasoning Tokens (tokens),841.00
Total Token Throughput (tokens/sec),178.19
