Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),152.94,0.00,297.05,,,,,,156.15,,184.75,195.66,215.52,29.24
Active Decode Throughput Per User (tokens/sec/user),82.06,0.00,224.93,,,,,,79.21,,106.54,112.34,118.94,15.92
Active Prefill Throughput (tokens/sec),226.40,95.02,282.78,,,,,,282.78,,282.78,282.78,282.78,85.98
Active Prefill Throughput Per User (tokens/sec/user),94.49,92.60,97.58,,,,,,94.26,,95.02,95.02,95.02,0.36
Active Total Throughput (tokens/sec),157.48,82.91,282.78,,,,,,157.34,,224.57,224.57,282.78,46.87
Credit-to-Start Latency (ms),1.41,1.17,1.59,4.23,1.18,1.20,1.23,1.32,1.47,1.53,1.57,1.58,1.59,0.18
Decode Duration (ms),3162.08,788.42,4788.43,9486.23,850.84,1100.52,1412.61,2348.90,3909.38,4348.91,4612.62,4700.53,4770.85,1716.37
E2E Output Token Throughput (tokens/sec/user),70.26,58.59,79.95,210.78,58.86,59.96,61.32,65.41,72.23,76.09,78.41,79.18,79.80,8.83
Effective Concurrency,2.00,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.61
Effective Decode Concurrency,1.90,0.00,3.00,,,,,,2.00,,3.00,3.00,3.00,0.66
Effective Decode Throughput (tokens/sec),148.72,0.00,297.05,,,,,,156.07,,184.75,190.43,215.52,38.20
Effective Decode Throughput Per User (tokens/sec/user),79.80,0.00,224.93,,,,,,78.77,,106.54,112.34,118.94,20.67
Effective Latency (CO-aware) (ms),3315.39,922.81,4979.46,9946.18,985.23,1234.92,1547.03,2483.36,4043.92,4511.69,4792.35,4885.90,4960.75,1734.39
Effective Prefill Concurrency,0.09,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.49
Effective Prefill Throughput (tokens/sec),8.63,0.00,282.78,,,,,,0.00,,0.00,0.00,282.78,46.49
Effective Prefill Throughput Per User (tokens/sec/user),3.60,0.00,97.58,,,,,,0.00,,0.00,0.00,95.02,18.09
Effective Total Throughput (tokens/sec),157.35,0.00,282.78,,,,,,157.34,,224.57,224.57,282.78,47.08
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,86.67,18.00,138.00,260.00,19.72,26.60,35.20,61.00,104.00,121.00,131.20,134.60,137.32,50.50
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.09,0.91,1.41,3.27,0.91,0.91,0.92,0.93,0.95,1.18,1.32,1.36,1.40,0.23
HTTP Connection Overhead (ms),1.57,1.37,1.91,4.70,1.37,1.38,1.38,1.40,1.42,1.67,1.81,1.86,1.90,0.24
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
