Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),187.45,0.00,355.23,,,,,,211.51,,237.96,246.75,262.52,59.14
Active Decode Throughput Per User (tokens/sec/user),52.11,0.00,220.60,,,,,,54.44,,62.26,68.03,103.44,15.19
Active Prefill Throughput (tokens/sec),1788.67,42.25,4028.28,,,,,,1879.19,,3439.02,3569.31,4028.28,1228.69
Active Prefill Throughput Per User (tokens/sec/user),1706.72,42.25,3569.31,,,,,,1853.03,,3439.02,3524.15,3569.31,1179.63
Active Total Throughput (tokens/sec),590.36,71.76,4129.38,,,,,,209.42,,2260.13,3090.48,3704.88,930.71
Credit-to-Start Latency (ms),1.65,0.81,4.76,82.49,0.81,0.84,0.92,1.15,1.35,1.83,2.31,3.71,4.51,0.84
Decode Duration (ms),3599.40,72.05,12900.65,179970.16,164.17,410.51,634.41,1480.83,2979.63,4968.68,6563.91,8608.00,12061.70,2749.89
E2E Output Token Throughput (tokens/sec/user),48.72,29.46,67.39,2436.14,31.95,39.82,40.38,46.60,48.81,52.60,54.95,56.33,63.05,6.22
Effective Concurrency,3.85,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.58
Effective Decode Concurrency,3.60,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.71
Effective Decode Throughput (tokens/sec),187.06,0.00,355.23,,,,,,211.28,,237.96,246.75,262.52,59.70
Effective Decode Throughput Per User (tokens/sec/user),52.00,0.00,220.60,,,,,,54.39,,62.26,68.03,103.44,15.36
Effective Latency (CO-aware) (ms),3853.12,239.56,13075.10,192656.08,333.33,582.14,910.84,1713.47,3284.93,5264.24,6774.78,8883.43,12265.65,2748.14
Effective Prefill Concurrency,0.24,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.49
Effective Prefill Throughput (tokens/sec),403.25,0.00,4028.28,,,,,,0.00,,2120.47,2987.33,3569.31,948.17
Effective Prefill Throughput Per User (tokens/sec/user),384.78,0.00,3569.31,,,,,,0.00,,1906.03,2662.85,3569.31,906.84
Effective Total Throughput (tokens/sec),590.31,0.00,4129.38,,,,,,209.42,,2260.13,3090.48,3704.88,930.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,66.80,3.00,225.00,3340.00,4.47,8.45,10.90,27.25,55.50,90.75,130.90,156.30,217.16,50.09
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.23
HTTP Connection Overhead (ms),0.05,0.00,2.32,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.32
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),19.47,1.25,63.99,973.28,1.66,2.82,3.50,8.23,16.24,26.29,37.89,44.88,62.06,14.24
HTTP Data Sent (KB),1.96,0.17,8.92,98.16,0.17,0.18,0.18,0.20,1.42,3.18,4.38,6.19,8.24,2.09
HTTP DNS Lookup (ms),0.01,0.00,0.65,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.09
HTTP Duration (excl. conn) (ms),3851.32,237.55,13070.74,192565.78,331.16,579.77,909.39,1711.49,3283.65,5262.90,6773.24,8881.67,12262.96,2748.06
HTTP Receiving (ms),3606.12,72.07,12900.66,180306.04,164.18,410.51,634.42,1480.84,3066.32,4968.68,6563.93,8628.85,12061.71,2751.15
HTTP Sending (ms),0.33,0.11,2.36,16.52,0.14,0.19,0.20,0.26,0.31,0.33,0.35,0.38,1.43,0.30
HTTP Total Time (ms),3851.36,237.55,13070.74,192568.10,331.16,579.77,909.39,1711.49,3283.65,5262.90,6773.24,8881.67,12262.96,2748.07
HTTP Waiting (TTFB) (ms),244.86,100.31,511.93,12243.21,128.77,163.76,165.17,172.21,223.47,304.24,341.58,388.88,498.08,86.04
Input Sequence Length (tokens),403.90,6.00,1829.00,20195.00,6.49,8.00,9.00,13.50,289.00,647.75,1033.00,1285.15,1682.98,452.82
Inter Chunk Latency (ms),54.75,13.36,257.62,179970.16,28.36,44.70,46.85,49.35,51.64,54.08,57.77,77.36,131.21,18.34
Inter Token Latency (ms),18.40,12.01,24.32,920.09,12.52,14.21,15.28,17.08,18.42,19.90,20.87,23.67,24.23,2.61
OSL Mismatch Diff % (%),-0.11,-1.43,0.00,-5.72,-1.15,-0.84,-0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.30
Output Sequence Length (tokens),188.36,7.00,611.00,9418.00,12.39,29.90,32.90,87.25,156.50,255.75,361.30,410.65,594.34,133.57
Output Token Throughput Per User (tokens/sec/user),55.50,41.12,83.27,2775.25,41.26,42.25,47.91,50.25,54.30,58.55,65.44,70.41,79.99,8.40
Prefill Throughput Per User (tokens/sec/user),1307.30,36.24,3569.31,65364.94,37.78,44.58,53.79,78.12,1310.58,2382.57,3117.52,3360.00,3547.18,1202.57
Reasoning Token Count (tokens),188.36,7.00,611.00,9418.00,12.39,29.90,32.90,87.25,156.50,255.75,361.30,410.65,594.34,133.57
Request Latency (ms),3844.76,237.61,13070.86,192238.16,331.25,579.94,909.55,1711.65,3237.47,5263.05,6773.37,8860.98,12263.09,2746.76
Time to First Token (ms),245.36,100.63,512.42,12268.01,129.19,165.49,165.59,172.79,223.92,304.52,341.99,389.41,498.60,86.01
Time to Second Token (ms),48.71,34.83,75.07,2435.61,34.91,37.26,43.78,46.08,48.23,51.10,52.84,57.59,70.23,6.43
Tokens In Flight (tokens),2040.66,0.00,3376.81,,,,,,2191.31,,2971.06,3121.40,3315.72,781.57

Metric,Value
Benchmark Duration (sec),50.08
Good Request Count,29.00
GoodRequestFraction (ratio),0.58
Goodput (requests/sec),0.58
Input Token Throughput (tokens/sec),403.25
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),188.06
Request Count,50.00
Request Throughput (requests/sec),1.00
Total Input Sequence Length (tokens),20195.00
Total Output Sequence Length (tokens),9418.00
Total Reasoning Tokens (tokens),9418.00
Total Token Throughput (tokens/sec),591.31
