Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),572.88,21.76,1124.86,,,,,,631.13,,875.85,932.92,1037.96,261.68
Active Decode Throughput Per User (tokens/sec/user),29.26,15.01,257.85,,,,,,21.51,,60.75,73.51,79.84,17.49
Active Prefill Throughput (tokens/sec),781.22,19.37,1116.98,,,,,,776.10,,1116.98,1116.98,1116.98,300.91
Active Prefill Throughput Per User (tokens/sec/user),19.32,14.80,31.01,,,,,,18.48,,22.34,22.34,22.34,2.34
Active Total Throughput (tokens/sec),604.96,29.45,1116.98,,,,,,659.52,,979.42,1044.51,1057.82,328.98
Credit-to-Start Latency (ms),5.36,2.80,8.33,267.82,2.81,2.91,3.02,4.23,5.54,6.55,6.97,7.35,8.01,1.47
Decode Duration (ms),7429.29,605.49,13642.55,371464.44,704.09,1846.25,2514.82,4463.50,8208.85,9994.52,11521.84,11845.04,13479.06,3383.38
E2E Output Token Throughput (tokens/sec/user),19.23,13.74,28.11,961.48,14.57,15.69,16.37,17.62,19.08,20.41,22.07,23.17,27.74,2.65
Effective Concurrency,28.46,0.00,50.00,,,,,,31.00,,48.00,50.00,50.00,16.31
Effective Decode Concurrency,26.56,0.00,50.00,,,,,,30.00,,47.00,48.00,50.00,16.19
Effective Decode Throughput (tokens/sec),566.99,0.00,1124.86,,,,,,631.13,,875.85,932.92,1037.96,266.67
Effective Decode Throughput Per User (tokens/sec/user),28.96,0.00,257.85,,,,,,21.51,,60.75,73.34,79.84,17.65
Effective Latency (CO-aware) (ms),7967.26,1099.03,13986.06,398363.22,1099.04,2145.26,2827.35,5140.61,8702.34,10646.03,12085.09,12522.16,13961.05,3410.16
Effective Prefill Concurrency,1.89,0.00,50.00,,,,,,0.00,,0.00,0.00,49.00,8.81
Effective Prefill Throughput (tokens/sec),37.74,0.00,1116.98,,,,,,0.00,,0.00,0.00,1036.93,180.10
Effective Prefill Throughput Per User (tokens/sec/user),0.93,0.00,31.01,,,,,,0.00,,0.00,0.00,21.16,4.18
Effective Total Throughput (tokens/sec),604.73,0.00,1116.98,,,,,,659.52,,979.42,1044.51,1057.82,329.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,56.38,5.00,142.00,2819.00,5.49,12.80,16.90,30.25,57.00,75.25,95.20,102.85,142.00,31.32
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.41,0.00,6.80,120.59,0.00,0.22,0.64,1.11,1.92,3.16,5.09,5.92,6.52,1.71
HTTP Connection Overhead (ms),2.86,0.00,10.03,143.22,0.00,0.22,0.64,1.11,1.92,3.46,7.13,8.14,9.33,2.51
