Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),8.85,0.00,28.44,,,,,,8.86,,11.27,12.20,14.06,2.13
Active Decode Throughput Per User (tokens/sec/user),8.85,0.00,28.44,,,,,,8.86,,11.27,12.20,14.06,2.13
Active Prefill Throughput (tokens/sec),215.47,6.32,873.31,,,,,,130.30,,625.71,754.62,873.31,240.26
Active Prefill Throughput Per User (tokens/sec/user),215.47,6.32,873.31,,,,,,130.30,,625.71,754.62,873.31,240.26
Active Total Throughput (tokens/sec),23.91,6.32,873.31,,,,,,8.66,,12.31,40.01,509.62,84.23
Credit-to-Start Latency (ms),1.17,0.40,2.15,58.30,0.44,0.66,0.78,0.89,1.08,1.45,1.71,1.76,1.96,0.37
Decode Duration (ms),13162.65,1274.57,26950.85,658132.49,1453.91,2569.27,5211.89,9176.44,12965.02,16876.34,20241.57,24045.89,26148.65,6076.39
E2E Output Token Throughput (tokens/sec/user),8.50,6.60,12.50,425.14,6.72,6.88,7.02,7.54,8.23,8.93,10.85,11.27,11.96,1.36
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.93,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.26
Effective Decode Throughput (tokens/sec),8.20,0.00,28.44,,,,,,8.71,,11.13,12.13,14.06,3.09
Effective Decode Throughput Per User (tokens/sec/user),8.20,0.00,28.44,,,,,,8.71,,11.13,12.13,14.06,3.09
Effective Latency (CO-aware) (ms),14205.55,2575.28,27934.72,710277.50,2896.78,3699.52,6193.15,10194.04,13953.11,17894.06,21469.18,24990.48,27286.53,6068.87
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),15.70,0.00,873.31,,,,,,0.00,,0.00,40.01,509.62,85.70
Effective Prefill Throughput Per User (tokens/sec/user),15.70,0.00,873.31,,,,,,0.00,,0.00,40.01,509.62,85.70
Effective Total Throughput (tokens/sec),23.90,0.00,873.31,,,,,,8.66,,12.31,40.01,509.62,84.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,40.96,6.00,80.00,2048.00,6.98,9.90,17.90,30.00,43.50,51.25,62.20,73.20,77.55,17.54
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.19,1.98,21.57,559.66,2.12,3.07,5.20,8.29,11.73,13.88,16.79,19.51,20.82,4.59
HTTP Data Sent (KB),1.50,0.17,5.91,75.23,0.17,0.17,0.18,0.22,1.00,2.06,3.71,4.66,5.53,1.48
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),14204.27,2574.30,27933.76,710213.29,2895.62,3698.00,6191.93,10192.79,13952.08,17893.19,21467.92,24988.99,27285.52,6068.93
HTTP Receiving (ms),13524.11,1958.54,27307.10,676205.40,2260.10,3058.71,5549.33,9493.87,13292.86,17177.00,20538.00,24382.09,26644.18,6038.81
HTTP Sending (ms),0.23,0.10,0.35,11.52,0.10,0.12,0.13,0.17,0.24,0.28,0.30,0.31,0.33,0.06
HTTP Total Time (ms),14204.27,2574.30,27933.76,710213.29,2895.62,3698.00,6191.93,10192.79,13952.08,17893.19,21467.92,24988.99,27285.52,6068.93
HTTP Waiting (TTFB) (ms),679.93,563.92,1670.04,33996.37,565.02,581.91,589.60,615.81,658.31,703.56,715.87,729.38,1356.15,157.94
Input Sequence Length (tokens),223.10,6.00,877.00,11155.00,6.49,8.00,8.90,15.25,153.00,330.00,615.90,719.55,847.11,238.65
Inter Chunk Latency (ms),338.02,242.97,1107.57,658132.49,278.88,283.82,292.36,298.63,324.91,351.64,359.38,361.60,945.94,92.90
Inter Token Latency (ms),109.23,70.44,139.02,5461.48,72.46,76.09,80.39,94.99,110.54,122.68,134.01,137.34,138.61,19.11
