Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),21.74,0.00,44.86,,,,,,31.11,,31.73,31.82,31.97,11.27
Active Decode Throughput Per User (tokens/sec/user),9.68,0.00,17.30,,,,,,10.37,,10.58,10.61,10.66,0.92
Active Prefill Throughput (tokens/sec),46.99,13.25,46.99,,,,,,46.99,,46.99,46.99,46.99,0.32
Active Prefill Throughput Per User (tokens/sec/user),15.66,13.25,16.27,,,,,,15.66,,15.66,15.66,15.66,0.02
Active Total Throughput (tokens/sec),22.78,8.56,46.99,,,,,,31.45,,31.45,31.45,46.99,12.16
Credit-to-Start Latency (ms),1.26,1.14,1.38,3.77,1.15,1.16,1.17,1.20,1.25,1.32,1.35,1.36,1.37,0.09
Decode Duration (ms),13822.30,11097.38,19272.13,41466.89,11097.38,11097.38,11097.38,11097.38,11097.38,15184.76,17637.18,18454.66,19108.64,3853.62
E2E Output Token Throughput (tokens/sec/user),9.91,8.26,12.49,29.72,8.27,8.33,8.40,8.61,8.97,10.73,11.79,12.14,12.42,1.85
Effective Concurrency,2.19,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,0.98
Effective Decode Concurrency,2.06,0.00,3.00,,,,,,3.00,,3.00,3.00,3.00,1.06
Effective Decode Throughput (tokens/sec),20.84,0.00,44.86,,,,,,31.08,,31.67,31.82,31.97,11.86
Effective Decode Throughput Per User (tokens/sec/user),9.28,0.00,17.30,,,,,,10.36,,10.56,10.61,10.66,2.13
Effective Latency (CO-aware) (ms),14653.46,11928.48,20103.38,43960.37,11928.48,11928.48,11928.48,11928.49,11928.51,16015.95,18468.41,19285.90,19939.89,3853.68
Effective Prefill Concurrency,0.12,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.60
Effective Prefill Throughput (tokens/sec),1.94,0.00,46.99,,,,,,0.00,,0.00,0.00,46.99,9.35
Effective Prefill Throughput Per User (tokens/sec/user),0.65,0.00,16.27,,,,,,0.00,,0.00,0.00,15.66,3.12
Effective Total Throughput (tokens/sec),22.78,0.00,46.99,,,,,,31.45,,31.45,31.45,46.99,12.16
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,50.67,41.00,70.00,152.00,41.00,41.00,41.00,41.00,41.00,55.50,64.20,67.10,69.42,13.67
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.95,0.85,1.14,2.84,0.85,0.85,0.85,0.85,0.86,1.00,1.08,1.11,1.13,0.13
HTTP Connection Overhead (ms),1.33,1.22,1.52,3.98,1.22,1.22,1.23,1.23,1.23,1.38,1.46,1.49,1.51,0.14
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),13.69,11.13,18.69,41.07,11.13,11.14,11.15,11.19,11.26,14.97,17.20,17.95,18.54,3.53
HTTP Data Sent (KB),0.23,0.22,0.26,0.70,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.25,0.26,0.02
HTTP DNS Lookup (ms),0.38,0.37,0.38,1.13,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.00
HTTP Duration (excl. conn) (ms),14652.02,11926.91,20101.98,43956.07,11926.91,11926.94,11926.96,11927.05,11927.18,16014.58,18467.02,19284.50,19938.48,3853.70
HTTP Receiving (ms),14113.60,11375.34,19589.99,42340.79,11375.34,11375.35,11375.36,11375.40,11375.46,15482.72,17947.08,18768.54,19425.70,3872.40
HTTP Sending (ms),1.36,1.19,1.70,4.08,1.19,1.19,1.19,1.19,1.19,1.44,1.59,1.64,1.69,0.24
HTTP Total Time (ms),14653.35,11928.41,20103.21,43960.05,11928.41,11928.41,11928.41,11928.42,11928.43,16015.82,18468.25,19285.73,19939.71,3853.63
HTTP Waiting (TTFB) (ms),537.07,510.79,550.53,1611.21,511.58,514.70,518.61,530.34,549.88,550.21,550.40,550.47,550.52,18.58
Input Sequence Length (tokens),13.00,11.00,16.00,39.00,11.02,11.10,11.20,11.50,12.00,14.00,15.20,15.60,15.92,2.16
Inter Chunk Latency (ms),284.02,278.20,288.66,41466.89,278.36,279.60,280.60,282.20,284.19,286.34,287.39,287.68,288.63,2.61
Inter Token Latency (ms),98.83,74.98,116.80,296.48,75.58,77.95,80.92,89.84,104.69,110.75,114.38,115.59,116.56,17.57
OSL Mismatch Diff % (%),-2.16,-2.73,-1.78,-6.48,-2.71,-2.65,-2.58,-2.35,-1.97,-1.87,-1.81,-1.80,-1.78,0.41
