Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),161.78,0.00,360.16,,,,,,113.26,,346.85,349.87,352.18,138.19
Active Decode Throughput Per User (tokens/sec/user),6.79,0.00,15.65,,,,,,7.26,,7.72,7.79,7.86,1.55
Active Prefill Throughput (tokens/sec),44.12,0.48,558.43,,,,,,1.67,,1.67,558.43,558.43,147.59
Active Prefill Throughput Per User (tokens/sec/user),1.63,0.48,12.88,,,,,,0.84,,0.84,11.17,11.17,2.75
Active Total Throughput (tokens/sec),172.22,6.27,558.43,,,,,,125.42,,338.00,338.00,558.43,144.46
Credit-to-Start Latency (ms),5.47,1.67,9.61,273.52,1.77,2.30,2.38,3.99,5.27,7.09,8.38,9.34,9.57,2.21
Decode Duration (ms),18014.10,8719.63,30233.86,900705.24,9092.66,10027.37,10575.90,12896.68,16672.05,23489.03,25470.05,27805.47,29672.56,5943.91
E2E Output Token Throughput (tokens/sec/user),6.54,3.23,8.82,326.93,3.72,4.95,5.40,5.83,6.45,7.45,7.98,8.42,8.75,1.13
Effective Concurrency,25.40,0.00,50.00,,,,,,21.00,,50.00,50.00,50.00,19.54
Effective Decode Concurrency,23.54,0.00,48.00,,,,,,21.00,,48.00,48.00,48.00,18.77
Effective Decode Throughput (tokens/sec),157.70,0.00,360.16,,,,,,108.86,,346.46,349.87,352.18,138.77
Effective Decode Throughput Per User (tokens/sec/user),6.62,0.00,15.65,,,,,,7.26,,7.72,7.79,7.86,1.87
Effective Latency (CO-aware) (ms),19443.19,9682.12,38259.87,972159.62,10056.18,10992.75,11540.22,13861.22,17635.58,24533.71,28084.86,29916.09,34800.43,6608.89
Effective Prefill Concurrency,1.86,0.00,50.00,,,,,,0.00,,2.00,2.00,50.00,7.76
Effective Prefill Throughput (tokens/sec),14.50,0.00,558.43,,,,,,0.00,,1.67,1.67,558.43,87.12
Effective Prefill Throughput Per User (tokens/sec/user),0.54,0.00,12.88,,,,,,0.00,,0.84,0.84,11.17,1.75
Effective Total Throughput (tokens/sec),172.20,0.00,558.43,,,,,,125.42,,338.00,338.00,558.43,144.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,47.78,25.00,81.00,2389.00,25.98,28.45,29.90,35.50,46.00,58.75,65.50,75.55,79.04,14.50
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.19,0.00,5.83,109.71,0.08,0.40,0.67,1.11,1.84,3.06,3.94,5.33,5.70,1.42
HTTP Connection Overhead (ms),2.52,0.00,8.06,126.01,0.08,0.40,0.67,1.11,1.84,3.38,5.60,6.57,7.88,1.98
HTTP Connection Reused (ratio),0.02,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.14
HTTP Data Received (KB),12.81,6.85,21.41,640.36,7.14,7.72,8.11,9.63,12.32,15.63,17.42,20.08,20.87,3.77
HTTP Data Sent (KB),0.18,0.15,0.23,8.83,0.15,0.15,0.15,0.16,0.17,0.19,0.20,0.21,0.23,0.02
HTTP DNS Lookup (ms),0.33,0.00,2.51,16.30,0.00,0.00,0.00,0.00,0.00,0.00,1.44,1.79,2.38,0.66
HTTP Duration (excl. conn) (ms),19437.52,9680.31,38252.78,971875.89,10053.78,10984.62,11533.61,13855.93,17633.24,24529.76,28081.93,29908.84,34794.99,6608.90
HTTP Receiving (ms),18370.96,9082.20,30587.42,918548.22,9451.03,10380.02,10928.08,13255.89,17030.31,23848.33,25834.00,28166.61,30029.75,5945.88
HTTP Sending (ms),2.55,0.20,6.87,127.33,0.24,0.51,0.78,1.28,2.12,3.70,4.67,6.26,6.64,1.66
HTTP Total Time (ms),19440.04,9680.31,38257.36,972001.90,10055.90,10985.36,11534.40,13859.98,17636.95,24531.64,28086.54,29909.72,34801.10,6609.05
HTTP Waiting (TTFB) (ms),1064.01,594.02,12192.82,53200.35,594.08,594.41,594.55,595.21,602.57,603.47,604.09,604.39,12192.75,2271.65
Input Sequence Length (tokens),11.10,6.00,19.00,555.00,6.00,6.00,6.90,8.00,12.00,13.75,16.00,17.00,18.51,3.56
Inter Chunk Latency (ms),393.49,276.85,1346.96,900705.24,285.20,309.98,324.87,364.63,375.80,381.08,385.21,580.25,1141.59,130.90
Inter Token Latency (ms),147.35,105.06,197.92,7367.33,106.24,112.48,117.62,127.26,148.31,164.91,175.70,180.55,195.57,23.26
OSL Mismatch Diff % (%),-2.56,-4.23,-1.60,-127.79,-4.20,-3.83,-3.58,-2.87,-2.39,-2.07,-1.85,-1.77,-1.68,0.66
Output Sequence Length (tokens),121.68,68.00,184.00,6084.00,68.49,75.35,80.90,101.50,122.50,142.00,159.30,166.55,175.67,29.13
Output Token Throughput Per User (tokens/sec/user),6.96,5.05,9.52,348.13,5.11,5.54,5.69,6.06,6.74,7.86,8.50,8.89,9.41,1.13
Prefill Throughput Per User (tokens/sec/user),11.17,0.48,19.74,558.43,0.83,6.26,6.27,7.56,11.98,13.57,16.70,17.70,19.28,4.16
Reasoning Token Count (tokens),121.68,68.00,184.00,6084.00,68.49,75.35,80.90,101.50,122.50,142.00,159.30,166.55,175.67,29.13
Request Latency (ms),19437.72,9680.45,38254.58,971886.10,10054.13,10984.69,11533.68,13856.30,17633.49,24529.83,28082.29,29908.88,34796.24,6608.98
Time to First Token (ms),1423.62,956.32,12574.98,71180.86,956.59,956.99,957.28,957.68,958.80,960.35,962.43,962.75,12572.71,2275.79
Time to Second Token (ms),373.18,370.01,373.49,18658.83,370.02,373.14,373.15,373.22,373.29,373.43,373.47,373.47,373.48,0.65
Tokens In Flight (tokens),1808.20,0.00,3861.15,,,,,,1917.71,,3617.87,3706.56,3763.28,1271.62

Metric,Value
Benchmark Duration (sec),38.26
Input Token Throughput (tokens/sec),14.50
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),159.01
Request Count,50.00
Request Throughput (requests/sec),1.31
Total Input Sequence Length (tokens),555.00
Total Output Sequence Length (tokens),6084.00
Total Reasoning Tokens (tokens),6084.00
Total Token Throughput (tokens/sec),173.51
