Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),9.36,0.00,20.76,,,,,,9.29,,10.27,10.38,10.48,0.54
Active Decode Throughput Per User (tokens/sec/user),9.36,0.00,20.76,,,,,,9.29,,10.27,10.38,10.48,0.54
Active Prefill Throughput (tokens/sec),87.81,18.22,204.57,,,,,,20.58,,204.57,204.57,204.57,89.30
Active Prefill Throughput Per User (tokens/sec/user),87.81,18.22,204.57,,,,,,20.58,,204.57,204.57,204.57,89.30
Active Total Throughput (tokens/sec),14.24,8.94,204.57,,,,,,9.32,,10.30,18.22,204.57,29.25
Credit-to-Start Latency (ms),1.44,1.32,1.66,4.33,1.32,1.32,1.32,1.34,1.36,1.51,1.60,1.63,1.65,0.15
Decode Duration (ms),12642.21,6796.50,17709.60,37926.62,6928.98,7458.91,8121.31,10108.51,13420.52,15565.06,16851.78,17280.69,17623.82,4489.11
E2E Output Token Throughput (tokens/sec/user),8.89,8.46,9.19,26.67,8.48,8.52,8.57,8.74,9.01,9.10,9.15,9.17,9.19,0.31
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),8.78,0.00,20.76,,,,,,9.26,,10.25,10.38,10.48,2.33
Effective Decode Throughput Per User (tokens/sec/user),8.78,0.00,20.76,,,,,,9.26,,10.25,10.38,10.48,2.33
Effective Latency (CO-aware) (ms),13482.54,7726.93,18424.40,40447.62,7858.32,8383.87,9040.80,11011.61,14296.29,16360.35,17598.78,18011.59,18341.84,4404.97
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),5.46,0.00,204.57,,,,,,0.00,,0.00,18.22,204.57,30.76
Effective Prefill Throughput Per User (tokens/sec/user),5.46,0.00,204.57,,,,,,0.00,,0.00,18.22,204.57,30.76
