Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),13.62,0.00,38.94,,,,,,8.50,,27.45,27.59,27.73,8.49
Active Decode Throughput Per User (tokens/sec/user),8.33,0.00,17.03,,,,,,8.48,,9.15,9.20,9.24,1.22
Active Prefill Throughput (tokens/sec),46.87,12.02,46.89,,,,,,46.89,,46.89,46.89,46.89,0.72
Active Prefill Throughput Per User (tokens/sec/user),15.63,12.02,20.43,,,,,,15.63,,15.63,15.63,15.63,0.12
Active Total Throughput (tokens/sec),13.96,8.14,46.89,,,,,,8.14,,26.40,26.40,46.89,8.84
Credit-to-Start Latency (ms),1.55,1.26,1.77,4.66,1.27,1.29,1.33,1.44,1.63,1.70,1.74,1.76,1.77,0.22
Decode Duration (ms),43824.14,23667.21,81860.00,131472.42,23712.77,23895.01,24122.81,24806.21,25945.22,53902.61,70677.04,76268.52,80741.70,26911.49
E2E Output Token Throughput (tokens/sec/user),8.60,7.17,10.57,25.81,7.19,7.26,7.35,7.62,8.07,9.32,10.07,10.32,10.52,1.44
Effective Concurrency,1.62,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.91
Effective Decode Concurrency,1.59,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.91
Effective Decode Throughput (tokens/sec),13.48,0.00,38.94,,,,,,8.50,,27.45,27.59,27.73,8.56
Effective Decode Throughput Per User (tokens/sec/user),8.24,0.00,17.03,,,,,,8.48,,9.15,9.20,9.24,1.47
Effective Latency (CO-aware) (ms),44657.38,24500.42,82693.27,133972.13,24545.98,24728.22,24956.03,25639.43,26778.45,54735.86,71510.30,77101.78,81574.97,26911.51
Effective Prefill Concurrency,0.03,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.30
Effective Prefill Throughput (tokens/sec),0.47,0.00,46.89,,,,,,0.00,,0.00,0.00,46.89,4.68
Effective Prefill Throughput Per User (tokens/sec/user),0.16,0.00,20.43,,,,,,0.00,,0.00,0.00,15.63,1.56
Effective Total Throughput (tokens/sec),13.95,0.00,46.89,,,,,,8.14,,26.40,26.40,46.89,8.84
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,151.00,82.00,281.00,453.00,82.16,82.80,83.60,86.00,90.00,185.50,242.80,261.90,277.18,91.98
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.12,0.88,1.26,3.37,0.89,0.91,0.95,1.06,1.23,1.25,1.26,1.26,1.26,0.17
HTTP Connection Overhead (ms),1.64,1.27,1.95,4.93,1.28,1.31,1.36,1.49,1.72,1.83,1.90,1.92,1.94,0.28
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),40.40,21.66,75.76,121.20,21.70,21.87,22.08,22.72,23.77,49.77,65.37,70.57,74.72,25.02
HTTP Data Sent (KB),0.21,0.20,0.24,0.64,0.20,0.20,0.20,0.20,0.20,0.22,0.23,0.24,0.24,0.02
HTTP DNS Lookup (ms),0.52,0.39,0.69,1.56,0.39,0.40,0.41,0.44,0.48,0.58,0.65,0.67,0.68,0.12
HTTP Duration (excl. conn) (ms),44655.56,24498.37,82691.78,133966.67,24543.93,24726.18,24954.00,25637.44,26776.52,54734.15,71508.73,77100.26,81573.48,26911.75
HTTP Receiving (ms),44130.89,23985.65,82178.43,132392.68,24030.51,24209.94,24434.24,25107.13,26228.61,54203.52,70988.46,76583.44,81059.43,26919.25
HTTP Sending (ms),1.62,1.30,1.83,4.85,1.31,1.34,1.38,1.51,1.73,1.78,1.81,1.82,1.83,0.23
HTTP Total Time (ms),44657.20,24500.08,82693.05,133971.60,24545.65,24727.92,24955.76,25639.27,26778.47,54735.76,71510.13,77101.59,81574.76,26911.49
HTTP Waiting (TTFB) (ms),523.04,510.89,546.18,1569.13,510.91,511.01,511.12,511.47,512.06,529.12,539.36,542.77,545.50,16.37
Input Sequence Length (tokens),13.00,10.00,17.00,39.00,10.04,10.20,10.40,11.00,12.00,14.50,16.00,16.50,16.90,2.94
Inter Chunk Latency (ms),294.12,277.20,811.61,131472.42,278.40,279.49,280.37,281.69,283.56,286.02,288.78,290.59,719.87,62.69
Inter Token Latency (ms),116.83,91.73,135.84,350.49,92.36,94.85,97.97,107.32,122.91,129.38,133.25,134.55,135.58,18.51
OSL Mismatch Diff % (%),-1.34,-1.54,-1.15,-4.01,-1.53,-1.52,-1.50,-1.43,-1.33,-1.24,-1.18,-1.16,-1.15,0.16
Output Sequence Length (tokens),372.67,192.00,667.00,1118.00,193.34,198.70,205.40,225.50,259.00,463.00,585.40,626.20,658.84,209.91
Output Token Count (tokens),283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,283.00,0.00
Output Token Throughput Per User (tokens/sec/user),8.80,7.36,10.90,26.40,7.38,7.44,7.52,7.75,8.14,9.52,10.35,10.62,10.85,1.52
Prefill Throughput Per User (tokens/sec/user),15.63,12.02,20.43,46.89,12.07,12.27,12.51,13.23,14.43,17.43,19.23,19.83,20.31,3.54
Reasoning Token Count (tokens),278.33,192.00,384.00,835.00,193.34,198.70,205.40,225.50,259.00,321.50,359.00,371.50,381.50,79.57
Request Latency (ms),44655.83,24498.64,82692.01,133967.48,24544.21,24726.46,24954.28,25637.73,26776.82,54734.42,71508.97,77100.49,81573.70,26911.72
Time to First Output Token (ms),47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,47402.30,0.00
Time to First Token (ms),831.68,831.44,832.01,2495.05,831.44,831.45,831.47,831.52,831.60,831.81,831.93,831.97,832.00,0.24
Time to Second Token (ms),281.55,281.50,281.63,844.64,281.50,281.50,281.50,281.51,281.52,281.57,281.60,281.62,281.62,0.06
Tokens In Flight (tokens),419.16,0.00,684.00,,,,,,420.95,,624.32,650.58,676.84,154.43

Metric,Value
Benchmark Duration (sec),82.69
Input Token Throughput (tokens/sec),0.47
OSL Mismatch Count,0.00
