Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),153.73,5.12,342.03,,,,,,135.67,,294.91,300.03,327.70,118.34
Active Decode Throughput Per User (tokens/sec/user),6.40,1.14,12.78,,,,,,6.33,,8.31,8.37,8.80,1.88
Active Prefill Throughput (tokens/sec),7.83,0.12,505.91,,,,,,0.26,,0.26,0.26,505.91,61.20
Active Prefill Throughput Per User (tokens/sec/user),0.29,0.12,11.52,,,,,,0.13,,0.13,0.13,10.12,1.22
Active Total Throughput (tokens/sec),155.86,0.12,505.91,,,,,,173.48,,271.15,271.15,271.15,113.03
Credit-to-Start Latency (ms),4.26,1.53,7.24,213.07,1.61,2.00,2.31,2.78,4.64,5.19,6.38,7.11,7.23,1.58
Decode Duration (ms),89512.06,23302.41,164747.65,4475602.82,31797.40,52518.19,64407.05,77232.43,90937.39,104960.69,115663.34,121515.48,145792.27,23807.45
E2E Output Token Throughput (tokens/sec/user),5.51,2.46,6.30,275.44,3.40,4.79,5.24,5.36,5.57,5.81,5.95,6.05,6.20,0.56
Effective Concurrency,27.74,0.00,50.00,,,,,,30.00,,50.00,50.00,50.00,20.41
Effective Decode Concurrency,26.69,0.00,48.00,,,,,,29.00,,48.00,48.00,48.00,19.65
Effective Decode Throughput (tokens/sec),152.84,0.00,342.03,,,,,,135.63,,294.91,300.03,311.87,118.57
Effective Decode Throughput Per User (tokens/sec/user),6.37,0.00,12.78,,,,,,6.32,,8.31,8.37,8.80,1.93
Effective Latency (CO-aware) (ms),93039.42,25029.37,167690.23,4651971.22,37744.63,59481.48,67013.74,78480.82,92426.45,106414.97,119024.14,125863.48,166720.71,25112.02
Effective Prefill Concurrency,1.05,0.00,50.00,,,,,,0.00,,2.00,2.00,2.00,3.84
Effective Prefill Throughput (tokens/sec),3.01,0.00,505.91,,,,,,0.00,,0.26,0.26,0.26,38.14
Effective Prefill Throughput Per User (tokens/sec/user),0.11,0.00,11.52,,,,,,0.00,,0.13,0.13,0.13,0.77
Effective Total Throughput (tokens/sec),155.85,0.00,505.91,,,,,,173.48,,271.15,271.15,271.15,113.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,218.92,55.00,448.00,10946.00,79.99,125.15,151.40,185.00,212.50,256.75,296.40,311.85,387.24,64.91
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.15,0.00,7.60,107.41,0.00,0.38,0.79,1.04,1.84,2.97,3.61,5.29,7.03,1.55
HTTP Connection Overhead (ms),2.51,0.00,11.83,125.40,0.00,0.38,0.79,1.04,1.84,2.97,5.05,7.09,10.52,2.32
HTTP Connection Reused (ratio),0.04,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20
HTTP Data Received (KB),58.45,15.07,121.01,2922.50,21.49,32.98,39.91,48.61,56.82,68.54,79.11,84.26,104.59,17.62
HTTP Data Sent (KB),0.17,0.15,0.21,8.41,0.15,0.15,0.15,0.16,0.17,0.18,0.18,0.19,0.21,0.01
HTTP DNS Lookup (ms),0.36,0.00,4.23,17.99,0.00,0.00,0.00,0.00,0.00,0.00,1.49,2.01,3.49,0.84
HTTP Duration (excl. conn) (ms),93035.01,25026.36,167682.89,4651750.38,37740.30,59478.12,67008.99,78475.74,92421.65,106411.54,119018.72,125858.22,166715.60,25111.68
HTTP Receiving (ms),89892.11,24414.63,165109.49,4494605.74,32554.30,52873.76,64767.88,77587.43,91291.96,105317.92,116050.79,121868.98,146150.75,23772.84
HTTP Sending (ms),2.45,0.30,8.34,122.47,0.35,0.44,0.91,1.29,1.98,3.37,4.41,6.06,7.77,1.75
HTTP Total Time (ms),93037.52,25034.57,167684.56,4651875.78,37745.63,59478.97,67010.96,78477.50,92423.53,106415.46,119020.70,125860.04,166717.15,25111.29
HTTP Waiting (TTFB) (ms),3140.44,596.42,64077.72,157022.17,596.49,596.66,596.87,598.17,602.38,603.80,605.03,605.62,64077.63,12438.75
Input Sequence Length (tokens),10.10,6.00,18.00,505.00,6.00,7.00,7.00,8.00,10.00,11.75,15.00,15.55,17.51,2.91
Inter Chunk Latency (ms),412.73,269.95,2015.69,4475602.82,283.50,311.79,328.44,371.37,379.56,384.24,389.74,440.48,1593.74,214.04
Inter Token Latency (ms),176.44,134.57,217.78,8822.12,145.81,159.93,164.69,168.91,176.24,183.81,188.19,191.31,206.96,12.09
OSL Mismatch Diff % (%),-3.57,-80.75,-0.57,-178.63,-47.84,-9.20,-2.27,-1.89,-1.56,-1.16,-0.81,-0.72,-0.62,11.28
Output Sequence Length (tokens),513.62,108.00,986.00,25681.00,181.99,291.30,348.40,431.00,505.00,601.25,681.70,747.45,879.18,149.13
Output Token Count (tokens),215.13,5.00,611.00,8390.00,14.12,31.70,65.60,122.00,192.00,278.00,400.60,469.70,576.80,134.43
Output Token Throughput Per User (tokens/sec/user),5.70,4.59,7.43,284.76,4.85,5.23,5.31,5.44,5.67,5.92,6.07,6.25,6.90,0.41
Prefill Throughput Per User (tokens/sec/user),10.12,0.12,18.71,505.91,0.13,6.07,7.17,7.56,10.40,12.24,15.58,16.17,18.20,3.67
Reasoning Token Count (tokens),352.88,203.00,592.00,17291.00,215.00,243.40,257.40,299.00,358.00,400.00,435.80,456.20,559.84,75.78
Request Latency (ms),93020.62,24650.02,167682.99,4651031.18,37548.41,59478.16,67009.10,78475.91,92421.75,106411.96,118703.73,125858.29,166715.66,25124.94
Time to First Output Token (ms),64635.61,1347.61,106730.07,2520788.87,15123.89,39669.84,44657.72,57306.87,67544.89,73787.93,82593.89,87117.33,106727.46,18211.37
Time to First Token (ms),3508.57,958.49,64473.56,175428.36,958.50,958.79,958.94,959.58,960.15,961.87,963.09,1174.96,64469.94,12443.79
Time to Second Token (ms),382.22,371.22,385.44,19111.05,376.49,381.99,382.00,382.04,382.30,382.67,382.71,382.74,385.34,1.70
Tokens In Flight (tokens),7450.49,0.00,17009.80,,,,,,6563.13,,15424.54,16088.78,16753.23,5403.99

Metric,Value
Benchmark Duration (sec),167.69
Input Token Throughput (tokens/sec),3.01
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),153.14
Request Count,50.00
