Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),141.35,0.00,317.49,,,,,,116.88,,196.68,200.83,207.77,44.52
Active Decode Throughput Per User (tokens/sec/user),98.67,0.00,223.80,,,,,,100.23,,111.80,115.90,127.30,14.11
Active Prefill Throughput (tokens/sec),673.18,84.72,1131.41,,,,,,1131.41,,1131.41,1131.41,1131.41,478.98
Active Prefill Throughput Per User (tokens/sec/user),637.04,84.72,1131.41,,,,,,1131.41,,1131.41,1131.41,1131.41,514.86
Active Total Throughput (tokens/sec),190.21,91.24,1222.65,,,,,,184.35,,184.35,215.72,1222.65,216.18
Credit-to-Start Latency (ms),1.34,1.22,1.48,4.02,1.22,1.23,1.24,1.27,1.32,1.40,1.45,1.46,1.48,0.11
Decode Duration (ms),1790.05,1621.83,1907.09,5370.15,1626.22,1643.77,1665.71,1731.53,1841.22,1874.16,1893.92,1900.50,1905.77,121.95
E2E Output Token Throughput (tokens/sec/user),90.68,85.23,98.50,272.05,85.29,85.54,85.85,86.77,88.32,93.41,96.46,97.48,98.30,5.67
Effective Concurrency,1.52,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.50
Effective Decode Concurrency,1.42,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.55
Effective Decode Throughput (tokens/sec),137.52,0.00,317.49,,,,,,114.99,,196.68,200.46,207.77,49.55
Effective Decode Throughput Per User (tokens/sec/user),95.99,0.00,223.80,,,,,,100.18,,111.80,115.90,127.30,21.22
Effective Latency (CO-aware) (ms),1922.95,1722.29,2062.21,5768.84,1727.54,1748.50,1774.70,1853.32,1984.34,2023.27,2046.63,2054.42,2060.65,145.40
Effective Prefill Concurrency,0.10,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.38
Effective Prefill Throughput (tokens/sec),52.53,0.00,1131.41,,,,,,0.00,,0.00,215.72,1131.41,224.73
Effective Prefill Throughput Per User (tokens/sec/user),49.71,0.00,1131.41,,,,,,0.00,,0.00,107.86,1131.41,223.33
Effective Total Throughput (tokens/sec),190.04,0.00,1222.65,,,,,,184.35,,184.35,215.72,1222.65,216.16
