Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),104.02,0.00,568.89,,,,,,113.94,,180.39,185.09,198.28,76.02
Active Decode Throughput Per User (tokens/sec/user),68.63,0.00,284.45,,,,,,86.90,,113.94,119.11,131.82,46.39
Active Prefill Throughput (tokens/sec),124.45,13.52,1050.50,,,,,,13.52,,158.42,1050.50,1050.50,307.76
Active Prefill Throughput Per User (tokens/sec/user),119.55,13.52,1050.50,,,,,,13.52,,79.21,1050.50,1050.50,307.81
Active Total Throughput (tokens/sec),144.55,51.94,1102.44,,,,,,105.00,,156.94,158.42,1102.44,182.30
Credit-to-Start Latency (ms),1.42,1.27,1.49,4.25,1.28,1.29,1.32,1.38,1.48,1.49,1.49,1.49,1.49,0.10
Decode Duration (ms),2070.27,1347.73,3234.48,6210.80,1353.35,1375.82,1403.90,1488.16,1628.59,2431.53,2913.30,3073.89,3202.36,831.17
E2E Output Token Throughput (tokens/sec/user),64.10,45.04,96.53,192.30,45.15,45.61,46.18,47.89,50.73,73.63,87.37,91.95,95.61,23.05
Effective Concurrency,1.73,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.44
Effective Decode Concurrency,1.37,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.53
Effective Decode Throughput (tokens/sec),101.72,0.00,568.89,,,,,,113.37,,180.08,185.09,198.28,76.71
Effective Decode Throughput Per User (tokens/sec/user),67.11,0.00,284.45,,,,,,86.70,,113.94,119.11,131.82,46.97
Effective Latency (CO-aware) (ms),2623.48,1783.12,3332.58,7870.44,1802.56,1880.29,1977.45,2268.93,2754.73,3043.66,3217.01,3274.80,3321.02,639.34
Effective Prefill Concurrency,0.36,0.00,2.00,,,,,,0.00,,1.00,1.00,2.00,0.52
Effective Prefill Throughput (tokens/sec),42.72,0.00,1050.50,,,,,,0.00,,13.52,158.42,1050.50,189.74
Effective Prefill Throughput Per User (tokens/sec/user),41.03,0.00,1050.50,,,,,,0.00,,13.52,79.21,1050.50,189.06
Effective Total Throughput (tokens/sec),144.44,0.00,1102.44,,,,,,105.00,,156.94,158.42,1102.44,182.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.33,41.00,59.00,157.00,41.32,42.60,44.20,49.00,57.00,58.00,58.60,58.80,58.96,8.06
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.66,0.00,1.06,1.97,0.02,0.09,0.18,0.46,0.91,0.99,1.03,1.04,1.05,0.47
HTTP Connection Overhead (ms),0.96,0.00,1.53,2.87,0.03,0.13,0.27,0.67,1.34,1.44,1.49,1.51,1.53,0.68
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),15.39,12.12,17.36,46.18,12.21,12.58,13.04,14.41,16.71,17.03,17.23,17.29,17.35,2.33
HTTP Data Sent (KB),0.47,0.23,0.92,1.40,0.23,0.23,0.23,0.24,0.25,0.58,0.79,0.85,0.91,0.32
HTTP DNS Lookup (ms),0.30,0.00,0.48,0.90,0.01,0.04,0.09,0.21,0.43,0.45,0.47,0.47,0.47,0.21
HTTP Duration (excl. conn) (ms),2621.89,1781.67,3330.91,7865.68,1801.10,1878.81,1975.95,2267.38,2753.10,3042.00,3215.35,3273.13,3319.36,639.24
HTTP Receiving (ms),2070.32,1347.78,3234.57,6210.96,1353.40,1375.87,1403.95,1488.20,1628.61,2431.59,2913.38,3073.98,3202.45,831.19
HTTP Sending (ms),0.99,0.32,1.39,2.96,0.34,0.42,0.51,0.79,1.25,1.32,1.36,1.37,1.39,0.47
HTTP Total Time (ms),2622.85,1781.67,3332.26,7868.55,1801.13,1878.96,1976.26,2268.15,2754.63,3043.44,3216.73,3274.49,3320.70,639.85
HTTP Waiting (TTFB) (ms),550.58,95.09,1403.92,1651.75,96.24,100.85,106.62,123.91,152.74,778.33,1153.69,1278.81,1378.90,603.86
Input Sequence Length (tokens),64.67,14.00,161.00,194.00,14.10,14.50,15.00,16.50,19.00,90.00,132.60,146.80,158.16,68.15
Inter Chunk Latency (ms),40.33,10.64,1308.79,6210.80,13.48,24.04,25.08,27.75,33.73,35.04,36.44,36.82,63.71,102.75
Inter Token Latency (ms),13.24,9.52,19.25,39.73,9.55,9.67,9.81,10.24,10.96,15.11,17.59,18.42,19.09,4.29
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Output Token Throughput Per User (tokens/sec/user),82.73,51.94,105.00,248.20,52.73,55.87,59.81,71.60,91.26,98.13,102.25,103.63,104.72,22.49
Prefill Throughput Per User (tokens/sec/user),402.98,13.52,1050.50,1208.93,16.15,26.66,39.80,79.21,144.91,597.70,869.38,959.94,1032.39,461.00
Reasoning Token Count (tokens),155.00,124.00,172.00,465.00,124.90,128.50,133.00,146.50,169.00,170.50,171.40,171.70,171.94,21.95
Request Latency (ms),2622.06,1781.85,3331.09,7866.19,1801.28,1878.99,1976.13,2267.55,2753.25,3042.17,3215.52,3273.31,3319.53,639.24
Time to First Token (ms),551.80,96.61,1405.52,1655.39,97.75,102.28,107.94,124.94,153.26,779.39,1155.07,1280.29,1380.47,604.11
Time to Second Token (ms),450.01,10.64,1308.79,1350.02,11.04,12.64,14.63,20.61,30.58,669.69,1053.15,1180.97,1283.23,607.31
Tokens In Flight (tokens),169.58,0.00,380.38,,,,,,189.87,,318.26,338.74,368.48,115.17

Metric,Value
Benchmark Duration (sec),4.54
Input Token Throughput (tokens/sec),42.72
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),102.38
Request Count,3.00
Request Throughput (requests/sec),0.66
Total Input Sequence Length (tokens),194.00
Total Output Sequence Length (tokens),465.00
Total Reasoning Tokens (tokens),465.00
Total Token Throughput (tokens/sec),145.10
