Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),191.97,2.72,1068.93,,,,,,224.08,,257.49,263.97,281.99,75.73
Active Decode Throughput Per User (tokens/sec/user),51.77,2.72,267.68,,,,,,57.85,,65.31,67.62,76.51,17.31
Active Prefill Throughput (tokens/sec),1188.47,6.66,3175.13,,,,,,938.71,,2512.14,2847.12,3175.13,989.42
Active Prefill Throughput Per User (tokens/sec/user),1155.60,6.29,3175.13,,,,,,938.71,,2512.14,2847.12,3175.13,976.93
Active Total Throughput (tokens/sec),591.83,47.43,3329.16,,,,,,223.35,,1980.72,2493.31,3329.16,786.28
Credit-to-Start Latency (ms),1.32,0.61,2.39,66.00,0.65,0.84,0.94,1.03,1.16,1.73,1.91,1.96,2.21,0.40
Decode Duration (ms),2363.21,380.70,5178.34,118160.66,538.87,943.89,1297.72,1915.17,2212.92,2913.41,3566.50,3727.21,4527.77,871.59
E2E Output Token Throughput (tokens/sec/user),49.02,30.12,63.04,2450.93,32.39,37.24,41.85,45.19,49.63,52.49,56.23,58.01,61.99,6.41
Effective Concurrency,3.96,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.23
Effective Decode Concurrency,3.53,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.74
Effective Decode Throughput (tokens/sec),191.22,0.00,1068.93,,,,,,224.08,,257.49,263.97,281.99,76.52
Effective Decode Throughput Per User (tokens/sec/user),51.57,0.00,267.68,,,,,,57.79,,65.23,67.62,76.51,17.57
Effective Latency (CO-aware) (ms),2659.07,655.38,5345.09,132953.35,775.94,1458.91,1742.38,2148.46,2549.22,3178.99,3737.97,4041.64,4736.96,858.02
Effective Prefill Concurrency,0.43,0.00,4.00,,,,,,0.00,,1.00,2.00,3.00,0.73
Effective Prefill Throughput (tokens/sec),400.53,0.00,3175.13,,,,,,0.00,,1828.82,2344.86,3175.13,803.44
Effective Prefill Throughput Per User (tokens/sec/user),389.45,0.00,3175.13,,,,,,0.00,,1788.08,2344.86,3175.13,787.41
Effective Total Throughput (tokens/sec),591.75,0.00,3329.16,,,,,,223.35,,1980.72,2493.31,3329.16,786.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,44.34,8.00,87.00,2217.00,11.43,20.00,25.80,37.00,43.00,52.00,64.60,71.65,80.63,15.38
