Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),101.27,0.00,11944.84,,,,,,101.67,,113.82,117.46,125.79,16.36
Active Decode Throughput Per User (tokens/sec/user),101.27,0.00,11944.84,,,,,,101.67,,113.82,117.46,125.79,16.36
Active Prefill Throughput (tokens/sec),3621.18,83.36,5048.84,,,,,,4162.56,,4933.57,5048.84,5048.84,1487.91
Active Prefill Throughput Per User (tokens/sec/user),3621.18,83.36,5048.84,,,,,,4162.56,,4933.57,5048.84,5048.84,1487.91
Active Total Throughput (tokens/sec),261.47,83.36,5048.84,,,,,,101.70,,113.35,121.69,4830.47,799.41
Credit-to-Start Latency (ms),1.19,0.41,2.47,59.60,0.45,0.50,0.64,0.86,1.15,1.54,1.81,2.05,2.34,0.46
Decode Duration (ms),4878.86,1071.51,8264.08,243942.98,1344.70,2580.76,3037.09,3962.86,4818.08,6186.22,6803.34,7145.60,7963.67,1557.74
E2E Output Token Throughput (tokens/sec/user),97.69,80.64,114.69,4884.44,82.46,85.28,89.18,93.55,97.61,102.31,105.00,109.92,113.25,7.07
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Throughput (tokens/sec),96.60,0.00,11944.84,,,,,,101.17,,113.58,117.21,125.41,26.57
Effective Decode Throughput Per User (tokens/sec/user),96.60,0.00,11944.84,,,,,,101.17,,113.58,117.21,125.41,26.57
Effective Latency (CO-aware) (ms),5115.21,1159.47,8517.28,255760.42,1425.39,2693.63,3276.01,4118.36,5029.94,6460.01,6991.58,7328.70,8156.24,1556.99
Effective Prefill Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.21
Effective Prefill Throughput (tokens/sec),164.71,0.00,5048.84,,,,,,0.00,,0.00,0.00,4830.47,818.56
Effective Prefill Throughput Per User (tokens/sec/user),164.71,0.00,5048.84,,,,,,0.00,,0.00,0.00,4830.47,818.56
Effective Total Throughput (tokens/sec),261.32,0.00,5048.84,,,,,,101.70,,113.35,121.69,4830.47,799.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,184.48,40.00,312.00,9224.00,51.27,98.95,113.90,150.25,182.50,232.00,256.00,272.10,301.71,58.73
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),53.00,11.83,89.26,2649.83,15.07,28.55,33.01,43.17,52.32,66.54,73.28,77.93,86.38,16.70
HTTP Data Sent (KB),4.01,0.19,16.25,200.32,0.19,0.20,0.20,0.24,3.14,6.05,10.32,12.46,15.14,4.15
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5113.91,1156.89,8515.73,255695.26,1423.13,2691.82,3274.42,4117.25,5028.80,6459.09,6990.25,7327.11,8155.00,1557.15
HTTP Receiving (ms),4881.27,1071.53,8264.11,244063.42,1344.72,2580.76,3037.10,3962.87,4818.09,6205.18,6803.35,7145.61,7963.68,1558.01
HTTP Sending (ms),0.24,0.10,0.37,11.85,0.10,0.10,0.10,0.18,0.26,0.30,0.33,0.34,0.36,0.08
HTTP Total Time (ms),5113.91,1156.89,8515.73,255695.26,1423.13,2691.82,3274.42,4117.25,5028.80,6459.09,6990.25,7327.11,8155.00,1557.15
HTTP Waiting (TTFB) (ms),232.40,71.01,697.77,11619.99,71.10,73.11,76.53,84.48,213.83,300.29,468.04,548.48,664.55,160.66
Input Sequence Length (tokens),842.86,6.00,3524.00,42143.00,6.49,8.00,9.00,16.25,642.50,1269.00,2241.00,2689.85,3282.92,909.88
Inter Chunk Latency (ms),26.61,0.23,72.00,243942.98,22.62,24.09,24.63,25.46,26.38,27.43,28.61,29.44,31.69,2.57
Inter Token Latency (ms),9.80,8.22,11.96,490.19,8.31,8.74,8.94,9.27,9.73,10.22,10.73,10.92,11.69,0.75
OSL Mismatch Diff % (%),-1.94,-29.75,0.00,-96.90,-24.08,-13.12,-5.75,-0.31,0.00,0.00,0.00,0.00,0.00,5.51
Output Sequence Length (tokens),495.32,114.00,780.00,24766.00,153.69,267.15,332.60,413.25,486.00,618.50,669.50,722.65,777.55,144.57
Output Token Count (tokens),87.07,39.00,147.00,1219.00,39.26,40.30,41.90,52.50,87.00,114.00,124.70,132.70,144.14,34.53
Output Token Throughput Per User (tokens/sec/user),102.60,83.63,121.69,5129.77,85.56,91.61,93.16,97.81,102.75,107.89,111.80,114.42,120.42,7.77
Prefill Throughput Per User (tokens/sec/user),2518.39,83.36,5048.85,125919.34,85.17,108.17,119.92,187.08,2894.68,4158.84,4813.56,4900.16,5019.64,1829.60
Reasoning Token Count (tokens),470.94,114.00,775.00,23547.00,153.69,262.20,292.60,370.00,472.00,573.00,640.70,705.35,758.83,144.03
Request Latency (ms),5111.62,1157.01,8515.86,255580.89,1423.22,2691.95,3274.49,4117.33,5028.91,6440.18,6990.40,7327.25,8155.12,1556.92
Time to First Output Token (ms),4752.59,2816.43,8034.84,66536.21,2853.80,3003.27,3260.25,3882.97,4117.68,5812.11,6303.03,6999.77,7827.83,1405.30
Time to First Token (ms),232.76,71.27,697.98,11637.91,71.31,73.27,76.74,84.89,214.12,300.69,468.47,548.88,664.74,160.67
Time to Second Token (ms),23.00,18.62,28.77,1149.75,19.15,19.78,20.09,21.27,22.83,24.55,26.00,26.38,27.70,2.20
Tokens In Flight (tokens),1112.25,0.00,3978.00,,,,,,919.70,,2473.88,2906.44,3696.73,878.69

Metric,Value
Benchmark Duration (sec),255.85
Input Token Throughput (tokens/sec),164.71
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),96.80
Request Count,50.00
Request Throughput (requests/sec),0.20
Total Input Sequence Length (tokens),42143.00
Total Output Sequence Length (tokens),24766.00
Total Output Tokens (tokens),1219.00
Total Reasoning Tokens (tokens),23547.00
Total Token Throughput (tokens/sec),261.51
