Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),120.46,0.00,260.83,,,,,,105.15,,174.26,184.66,197.82,37.63
Active Decode Throughput Per User (tokens/sec/user),74.83,0.00,215.55,,,,,,79.55,,101.57,106.24,111.30,19.53
Active Prefill Throughput (tokens/sec),240.46,65.58,286.80,,,,,,286.80,,286.80,286.80,286.80,57.38
Active Prefill Throughput Per User (tokens/sec/user),91.30,65.58,103.84,,,,,,95.60,,95.60,95.60,95.60,5.32
Active Total Throughput (tokens/sec),123.69,65.58,286.80,,,,,,72.58,,188.51,188.51,286.80,58.01
Credit-to-Start Latency (ms),2.15,2.09,2.22,6.46,2.10,2.10,2.10,2.12,2.15,2.18,2.20,2.21,2.22,0.05
Decode Duration (ms),5698.69,3516.90,9300.53,17096.07,3532.13,3593.07,3669.25,3897.77,4278.64,6789.59,8296.15,8798.34,9200.09,2565.80
E2E Output Token Throughput (tokens/sec/user),61.15,52.70,71.28,183.45,52.84,53.38,54.06,56.08,59.46,65.37,68.92,70.10,71.05,7.68
Effective Concurrency,1.85,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.95
Effective Decode Concurrency,1.80,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.96
Effective Decode Throughput (tokens/sec),118.98,0.00,260.83,,,,,,104.78,,174.26,184.66,197.82,39.67
Effective Decode Throughput Per User (tokens/sec/user),73.92,0.00,215.55,,,,,,79.49,,101.57,106.24,111.30,21.08
Effective Latency (CO-aware) (ms),5859.75,3701.97,9485.73,17579.24,3715.77,3770.93,3839.89,4046.76,4391.54,6938.64,8466.89,8976.31,9383.85,2579.36
Effective Prefill Concurrency,0.05,0.00,3.00,,,,,,0.00,,0.00,0.00,3.00,0.36
Effective Prefill Throughput (tokens/sec),4.64,0.00,286.80,,,,,,0.00,,0.00,0.00,286.80,34.02
Effective Prefill Throughput Per User (tokens/sec/user),1.76,0.00,103.84,,,,,,0.00,,0.00,0.00,95.60,12.58
Effective Total Throughput (tokens/sec),123.62,0.00,286.80,,,,,,72.58,,188.51,188.51,286.80,58.07
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.33,64.00,248.00,394.00,64.36,65.80,67.60,73.00,82.00,165.00,214.80,231.40,244.68,82.82
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.32,1.03,1.50,3.97,1.04,1.07,1.12,1.24,1.44,1.47,1.49,1.50,1.50,0.21
HTTP Connection Overhead (ms),1.89,1.48,2.19,5.68,1.49,1.53,1.58,1.75,2.02,2.10,2.15,2.17,2.18,0.30
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),37.90,18.72,71.17,113.69,18.82,19.23,19.74,21.26,23.80,47.49,61.70,66.44,70.23,23.62
HTTP Data Sent (KB),0.24,0.22,0.26,0.71,0.22,0.22,0.22,0.22,0.22,0.24,0.25,0.26,0.26,0.02
HTTP DNS Lookup (ms),0.57,0.44,0.69,1.71,0.45,0.46,0.47,0.51,0.58,0.63,0.66,0.68,0.68,0.10
HTTP Duration (excl. conn) (ms),5857.30,3699.54,9483.21,17571.90,3713.33,3768.50,3837.46,4044.35,4389.15,6936.18,8464.40,8973.80,9381.33,2579.31
HTTP Receiving (ms),5698.75,3516.96,9300.61,17096.25,3532.19,3593.13,3669.30,3897.82,4278.68,6789.65,8296.23,8798.42,9200.17,2565.82
HTTP Sending (ms),1.92,1.50,2.15,5.75,1.51,1.56,1.62,1.80,2.09,2.12,2.14,2.15,2.15,0.29
HTTP Total Time (ms),5859.19,3701.73,9485.22,17577.58,3715.51,3770.62,3839.51,4046.18,4390.63,6937.93,8466.30,8975.76,9383.33,2579.37
HTTP Waiting (TTFB) (ms),156.63,108.97,180.50,469.90,110.40,116.11,123.26,144.70,180.43,180.46,180.48,180.49,180.50,33.70
Input Sequence Length (tokens),14.67,12.00,19.00,44.00,12.02,12.10,12.20,12.50,13.00,16.00,17.80,18.40,18.88,3.09
Inter Chunk Latency (ms),43.72,23.81,123.12,17096.07,24.57,25.92,27.03,31.60,44.25,56.17,60.41,63.78,65.12,13.75
Inter Token Latency (ms),16.12,13.78,18.13,48.36,13.83,14.05,14.31,15.12,16.46,17.29,17.79,17.96,18.09,1.79
OSL Mismatch Diff % (%),-0.13,-0.38,0.00,-0.38,-0.37,-0.34,-0.31,-0.19,0.00,0.00,0.00,0.00,0.00,0.18
Output Sequence Length (tokens),377.33,195.00,676.00,1132.00,196.32,201.60,208.20,228.00,261.00,468.50,593.00,634.50,667.70,212.90
Output Token Throughput Per User (tokens/sec/user),62.84,55.16,72.58,188.51,55.27,55.72,56.28,57.96,60.77,66.67,70.21,71.40,72.34,7.26
Prefill Throughput Per User (tokens/sec/user),95.60,65.58,117.38,286.80,66.35,69.41,73.23,84.71,103.84,110.61,114.67,116.03,117.11,21.93
Reasoning Token Count (tokens),377.33,195.00,676.00,1132.00,196.32,201.60,208.20,228.00,261.00,468.50,593.00,634.50,667.70,212.90
Request Latency (ms),5857.60,3699.88,9483.51,17572.79,3713.67,3768.83,3837.78,4044.64,4389.39,6936.45,8464.69,8974.10,9381.63,2579.32
Time to First Token (ms),158.90,110.75,182.98,476.71,112.20,117.97,125.20,146.87,182.98,182.98,182.98,182.98,182.98,34.05
Time to Second Token (ms),55.11,46.58,72.14,165.34,46.58,46.59,46.59,46.60,46.62,59.38,67.04,69.59,71.63,12.04
Tokens In Flight (tokens),405.30,0.00,695.00,,,,,,421.72,,607.55,651.28,686.80,162.23

Metric,Value
Benchmark Duration (sec),9.48
Input Token Throughput (tokens/sec),4.64
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),119.30
Request Count,3.00
Request Throughput (requests/sec),0.32
Total Input Sequence Length (tokens),44.00
Total Output Sequence Length (tokens),1132.00
Total Reasoning Tokens (tokens),1132.00
Total Token Throughput (tokens/sec),123.94
