Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),240.84,0.00,445.37,,,,,,257.01,,315.17,324.51,343.95,71.93
Active Decode Throughput Per User (tokens/sec/user),35.44,0.00,200.90,,,,,,33.68,,41.82,56.96,94.11,13.72
Active Prefill Throughput (tokens/sec),2213.90,26.73,6582.82,,,,,,2246.67,,3168.56,3452.04,6582.82,1184.30
Active Prefill Throughput Per User (tokens/sec/user),2026.06,26.73,3452.04,,,,,,2245.68,,3130.78,3168.56,3452.04,940.32
Active Total Throughput (tokens/sec),592.74,46.55,6764.77,,,,,,260.05,,2246.99,2899.14,3665.17,930.01
Credit-to-Start Latency (ms),7.33,0.55,28.41,366.70,0.64,0.96,1.19,1.39,1.76,14.33,23.99,26.28,28.08,9.78
Decode Duration (ms),15346.56,8979.42,22011.36,767327.76,9184.49,9504.69,11173.88,12924.95,15103.32,17987.01,20806.50,21276.14,21753.54,3494.85
E2E Output Token Throughput (tokens/sec/user),32.48,25.99,44.72,1623.82,26.92,28.09,28.52,29.15,32.37,34.87,37.10,38.24,42.06,3.70
Effective Concurrency,7.42,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.65
Effective Decode Concurrency,7.23,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.67
Effective Decode Throughput (tokens/sec),240.58,0.00,445.37,,,,,,256.99,,315.17,324.51,343.95,72.33
Effective Decode Throughput Per User (tokens/sec/user),35.40,0.00,200.90,,,,,,33.68,,41.79,56.96,94.11,13.76
Effective Latency (CO-aware) (ms),15761.46,9466.61,22477.02,788072.85,9604.61,9940.84,11472.38,13433.28,15424.35,18536.52,21160.73,21721.90,22355.31,3504.26
Effective Prefill Concurrency,0.19,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.53
Effective Prefill Throughput (tokens/sec),352.12,0.00,6582.82,,,,,,0.00,,2021.22,2671.11,3452.04,937.37
Effective Prefill Throughput Per User (tokens/sec/user),322.25,0.00,3452.04,,,,,,0.00,,1945.92,2633.15,3168.56,830.47
Effective Total Throughput (tokens/sec),592.71,0.00,6764.77,,,,,,260.05,,2246.99,2899.14,3665.17,930.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,179.68,94.00,379.00,8984.00,100.86,114.40,130.30,149.00,171.00,209.75,237.20,242.65,318.24,48.11
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.89,0.00,9.63,44.53,0.00,0.00,0.00,0.00,0.00,0.00,1.48,8.65,9.54,2.60
HTTP Connection Overhead (ms),1.17,0.00,12.61,58.75,0.00,0.00,0.00,0.00,0.00,0.00,1.72,11.63,12.52,3.46
HTTP Connection Reused (ratio),0.86,0.00,1.00,43.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.35
HTTP Data Received (KB),51.62,27.31,108.01,2580.90,29.28,32.97,37.58,42.92,49.14,60.15,68.21,69.80,90.83,13.66
HTTP Data Sent (KB),3.29,0.17,12.04,164.51,0.17,0.18,0.18,0.22,2.45,5.10,7.56,10.03,11.89,3.16
HTTP DNS Lookup (ms),0.28,0.00,3.29,14.22,0.00,0.00,0.00,0.00,0.00,0.00,0.24,2.70,3.24,0.86
HTTP Duration (excl. conn) (ms),15753.74,9465.04,22475.56,787687.00,9602.86,9924.36,11468.58,13431.19,15411.79,18534.92,21157.51,21705.40,22353.94,3504.05
HTTP Receiving (ms),15354.08,8979.42,22011.35,767703.87,9184.49,9504.69,11173.94,12924.95,15120.08,17987.03,20806.48,21316.66,21753.53,3502.96
HTTP Sending (ms),1.70,0.11,15.75,84.97,0.13,0.17,0.19,0.28,0.35,0.62,3.31,12.83,14.78,3.85
HTTP Total Time (ms),15754.91,9465.04,22475.56,787745.74,9602.86,9924.36,11469.84,13431.19,15411.79,18534.92,21157.51,21705.40,22353.94,3504.12
HTTP Waiting (TTFB) (ms),397.96,107.62,1102.31,19898.16,147.36,219.94,255.02,276.96,347.41,461.65,607.38,794.45,1001.78,184.19
Input Sequence Length (tokens),748.12,7.00,2810.00,37406.00,7.49,8.00,9.00,14.25,572.00,1224.50,1653.60,2327.60,2747.28,739.72
Inter Chunk Latency (ms),85.93,23.27,382.65,767327.76,31.78,65.83,70.06,74.01,81.99,90.05,94.27,121.09,218.70,28.83
