Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),46.99,0.00,610.84,,,,,,48.99,,54.26,55.65,58.33,11.20
Active Decode Throughput Per User (tokens/sec/user),24.05,0.00,305.42,,,,,,24.53,,27.20,27.86,29.24,4.52
Active Prefill Throughput (tokens/sec),1068.66,39.93,2471.66,,,,,,984.83,,2330.02,2409.33,2471.66,756.00
Active Prefill Throughput Per User (tokens/sec/user),1067.79,39.93,2471.66,,,,,,984.83,,2330.02,2409.33,2471.66,757.10
Active Total Throughput (tokens/sec),131.16,21.75,2495.29,,,,,,48.76,,52.80,766.14,2016.38,352.31
Credit-to-Start Latency (ms),1.18,0.56,3.54,58.91,0.57,0.68,0.71,0.92,1.08,1.34,1.60,1.75,2.91,0.47
Decode Duration (ms),5285.96,1067.80,10442.64,264297.91,1487.13,2911.52,3165.11,4116.17,5185.70,6182.97,7535.84,8246.87,9929.86,1777.12
E2E Output Token Throughput (tokens/sec/user),23.65,20.98,25.91,1182.39,21.35,22.26,22.57,22.88,23.30,24.57,25.10,25.14,25.88,1.06
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.05
Effective Decode Concurrency,1.92,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.28
Effective Decode Throughput (tokens/sec),46.94,0.00,610.84,,,,,,48.98,,54.26,55.65,58.33,11.29
Effective Decode Throughput Per User (tokens/sec/user),24.03,0.00,305.42,,,,,,24.53,,27.20,27.86,29.24,4.59
Effective Latency (CO-aware) (ms),5507.13,1254.41,10678.10,275356.33,1650.19,3097.41,3435.07,4394.68,5514.84,6449.17,7769.53,8446.69,10150.30,1776.47
Effective Prefill Concurrency,0.08,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.27
Effective Prefill Throughput (tokens/sec),84.21,0.00,2471.66,,,,,,0.00,,0.00,741.03,1992.90,357.68
Effective Prefill Throughput Per User (tokens/sec/user),84.14,0.00,2471.66,,,,,,0.00,,0.00,741.03,1992.90,357.68
Effective Total Throughput (tokens/sec),131.15,0.00,2495.29,,,,,,48.76,,52.80,766.14,2016.38,352.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.42,29.00,249.00,6521.00,38.80,67.40,83.20,104.00,125.50,157.25,178.80,195.10,245.08,42.90
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.09
HTTP Connection Overhead (ms),0.01,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.09
HTTP Connection Reused (ratio),0.98,0.00,1.00,49.00,0.49,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.14
HTTP Data Received (KB),33.02,7.60,62.63,1650.98,10.08,17.24,21.14,26.41,31.79,39.73,45.15,49.27,61.67,10.74
HTTP Data Sent (KB),1.28,0.16,4.90,63.91,0.16,0.17,0.18,0.22,0.97,1.65,2.95,3.91,4.60,1.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5505.84,1253.12,10676.91,275292.04,1649.08,3095.93,3433.59,4393.27,5513.53,6448.12,7768.69,8445.49,10149.16,1776.46
HTTP Receiving (ms),5285.96,1067.80,10442.64,264298.13,1487.13,2911.54,3165.13,4116.17,5185.70,6182.97,7535.86,8246.87,9929.86,1777.12
HTTP Sending (ms),0.23,0.09,0.86,11.50,0.09,0.10,0.12,0.17,0.23,0.26,0.31,0.33,0.62,0.11
HTTP Total Time (ms),5505.85,1253.74,10676.91,275292.66,1649.40,3095.93,3433.59,4393.27,5513.53,6448.12,7768.69,8445.49,10149.16,1776.43
HTTP Waiting (TTFB) (ms),219.65,129.83,400.62,10982.40,130.40,136.29,141.33,154.71,214.85,251.96,308.50,353.52,392.01,68.55
Input Sequence Length (tokens),232.16,6.00,966.00,11608.00,6.49,7.00,9.00,14.50,176.50,311.75,567.50,783.75,901.32,248.37
Inter Chunk Latency (ms),40.84,3.30,224.73,264297.91,33.73,35.71,36.55,38.14,40.36,42.11,43.44,44.22,72.13,8.65
Inter Token Latency (ms),40.81,37.68,45.97,2040.41,37.75,38.02,38.48,39.29,41.09,42.25,42.90,43.29,44.71,1.80
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),130.42,29.00,249.00,6521.00,38.80,67.40,83.20,104.00,125.50,157.25,178.80,195.10,245.08,42.90
Output Token Count (tokens),130.42,29.00,249.00,6521.00,38.80,67.40,83.20,104.00,125.50,157.25,178.80,195.10,245.08,42.90
Output Token Throughput Per User (tokens/sec/user),24.55,21.75,26.54,1227.61,22.39,23.10,23.31,23.67,24.34,25.45,25.99,26.30,26.49,1.08
Prefill Throughput Per User (tokens/sec/user),847.44,39.93,2471.66,42371.80,43.15,49.69,59.66,106.84,764.74,1249.25,1974.52,2178.32,2441.12,728.96
Request Latency (ms),5505.95,1253.20,10677.05,275297.42,1649.15,3096.06,3433.70,4393.38,5513.64,6448.23,7768.77,8445.59,10149.29,1776.46
Time to First Output Token (ms),219.99,130.17,400.94,10999.51,130.73,136.59,141.58,154.94,215.26,252.22,308.80,353.77,392.36,68.55
Time to First Token (ms),219.99,130.17,400.94,10999.51,130.73,136.59,141.58,154.94,215.26,252.22,308.80,353.77,392.36,68.55
Time to Second Token (ms),39.69,33.14,48.15,1984.54,33.66,35.26,36.18,37.50,40.16,41.61,42.65,43.41,46.87,2.86
Tokens In Flight (tokens),603.61,0.00,1396.00,,,,,,577.00,,1034.00,1149.00,1330.00,303.54

Metric,Value
Benchmark Duration (sec),137.84
Input Token Throughput (tokens/sec),84.21
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),47.31
Request Count,50.00
Request Throughput (requests/sec),0.36
Total Input Sequence Length (tokens),11608.00
Total Output Sequence Length (tokens),6521.00
Total Output Tokens (tokens),6521.00
Total Token Throughput (tokens/sec),131.52
