Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),39.46,0.00,1349.21,,,,,,29.84,,55.24,56.69,60.13,16.80
Active Decode Throughput Per User (tokens/sec/user),27.01,0.00,1349.21,,,,,,27.49,,29.31,29.77,30.78,10.94
Active Prefill Throughput (tokens/sec),432.05,56.46,717.97,,,,,,717.97,,717.97,717.97,717.97,305.09
Active Prefill Throughput Per User (tokens/sec/user),410.30,56.46,717.97,,,,,,717.97,,717.97,717.97,717.97,327.48
Active Total Throughput (tokens/sec),53.70,25.80,743.77,,,,,,28.03,,52.27,53.83,743.77,94.88
Credit-to-Start Latency (ms),1.59,0.98,1.94,4.77,1.00,1.07,1.15,1.42,1.85,1.89,1.92,1.93,1.93,0.43
Decode Duration (ms),6462.88,5706.12,7171.72,19388.65,5722.21,5786.59,5867.06,6108.47,6510.81,6841.27,7039.54,7105.63,7158.51,599.29
E2E Output Token Throughput (tokens/sec/user),26.10,25.35,27.25,78.29,25.36,25.39,25.42,25.52,25.68,26.47,26.94,27.09,27.22,0.83
Effective Concurrency,1.50,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.50
Effective Decode Concurrency,1.45,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.52
Effective Decode Throughput (tokens/sec),38.99,0.00,1349.21,,,,,,29.79,,55.24,56.69,60.13,17.24
Effective Decode Throughput Per User (tokens/sec/user),26.69,0.00,1349.21,,,,,,27.47,,29.31,29.76,30.78,11.26
Effective Latency (CO-aware) (ms),6667.29,5920.59,7413.66,20001.88,5935.53,5995.29,6070.00,6294.11,6667.64,7040.65,7264.45,7339.06,7398.74,609.54
Effective Prefill Concurrency,0.05,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.26
Effective Prefill Throughput (tokens/sec),14.70,0.00,717.97,,,,,,0.00,,0.00,0.00,717.97,96.43
Effective Prefill Throughput Per User (tokens/sec/user),13.96,0.00,717.97,,,,,,0.00,,0.00,0.00,717.97,95.81
Effective Total Throughput (tokens/sec),53.68,0.00,743.77,,,,,,28.03,,52.27,53.83,743.77,94.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,174.00,152.00,201.00,522.00,152.34,153.70,155.40,160.50,169.00,185.00,194.60,197.80,200.36,20.31
HTTP Chunks Sent,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.81,0.00,1.27,2.42,0.02,0.11,0.23,0.57,1.14,1.21,1.25,1.26,1.27,0.57
HTTP Connection Overhead (ms),1.16,0.00,1.87,3.49,0.03,0.16,0.32,0.81,1.62,1.74,1.82,1.84,1.86,0.83
HTTP Connection Reused (ratio),0.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.80,0.90,0.98,0.47
HTTP Data Received (KB),44.00,38.38,50.98,132.00,38.47,38.81,39.23,40.51,42.64,46.81,49.31,50.14,50.81,5.23
HTTP Data Sent (KB),0.46,0.21,0.96,1.39,0.21,0.21,0.21,0.22,0.22,0.59,0.81,0.89,0.95,0.35
HTTP DNS Lookup (ms),0.36,0.00,0.59,1.07,0.01,0.05,0.09,0.24,0.47,0.53,0.57,0.58,0.59,0.26
HTTP Duration (excl. conn) (ms),6665.50,5918.41,7412.55,19996.50,5933.35,5993.12,6067.83,6291.97,6665.53,7039.04,7263.15,7337.85,7397.61,609.98
HTTP Receiving (ms),6462.91,5706.16,7171.73,19388.73,5722.25,5786.63,5867.10,6108.50,6510.84,6841.28,7039.55,7105.64,7158.51,599.28
HTTP Sending (ms),1.23,0.35,1.75,3.70,0.37,0.47,0.60,0.97,1.59,1.67,1.72,1.74,1.75,0.63
HTTP Total Time (ms),6666.66,5920.03,7412.55,19999.98,5934.97,5994.76,6069.50,6293.72,6667.40,7039.98,7263.52,7338.04,7397.65,609.32
HTTP Waiting (TTFB) (ms),201.36,152.94,240.47,604.07,154.09,158.71,164.48,181.80,210.66,225.57,234.51,237.49,239.88,36.34
Input Sequence Length (tokens),65.33,11.00,173.00,196.00,11.02,11.10,11.20,11.50,12.00,92.50,140.80,156.90,169.78,76.13
Inter Chunk Latency (ms),37.29,0.00,119.33,19388.65,32.17,33.73,34.29,35.65,36.72,38.54,40.39,41.09,43.72,6.02
Inter Token Latency (ms),37.41,35.68,38.75,112.22,35.72,35.89,36.10,36.73,37.79,38.27,38.56,38.66,38.74,1.28
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),174.33,152.00,202.00,523.00,152.34,153.70,155.40,160.50,169.00,185.50,195.40,198.70,201.34,20.76
Output Token Count (tokens),174.33,152.00,202.00,523.00,152.34,153.70,155.40,160.50,169.00,185.50,195.40,198.70,201.34,20.76
Output Token Throughput Per User (tokens/sec/user),26.76,25.80,28.03,80.29,25.82,25.87,25.94,26.13,26.46,27.24,27.71,27.87,28.00,0.93
